"site_id","year","n_halfhours"
"BJ-Bfg",2008,17568
"BJ-Bfg",2009,17520
"BJ-Bfg",2010,16658
"BJ-Bfg",2011,17520
"BJ-Bfg",2012,17568
"BJ-Bfg",2013,17520
"BJ-Bfg",2014,17520
"BJ-Bfg",2015,17520
"BJ-Bfg",2016,14315
"BJ-Bfg",2017,17520
"BJ-Db1",2022,13090
"BJ-Db1",2023,17520
"BJ-Db1",2024,17568
"BJ-Nhu",2008,17568
"BJ-Nhu",2009,17520
"BJ-Nhu",2010,17520
"BJ-Nhu",2011,17489
"BJ-Nhu",2012,16669
"BJ-Nhu",2013,17520
"BJ-Nhu",2014,17520
"BJ-Nhu",2015,16945
"BJ-Nhu",2016,17568
"BJ-Nhu",2017,17520
"GH-Ank",2011,17373
"GH-Ank",2012,17568
"GH-Ank",2014,17520
"SN-Dhr",2010,6804
"SN-Dhr",2011,15705
"SN-Dhr",2012,17568
"SN-Dhr",2013,17520
"SN-Dhr",2015,10085
"SN-Dhr",2016,17568
"SN-Dhr",2017,17520
"SN-Dhr",2019,17466
"SN-Dhr",2020,17568
"SN-Dhr",2021,17520
"SN-Dhr",2022,17520
"SN-Nkr",2018,15711
"SN-Nkr",2019,17520
"SN-Nkr",2020,17568
"SN-Nkr",2021,17520
"SN-Nkr",2022,17520
"SN-Nkr",2023,17520
"SN-Nkr",2024,17568
