model,variable,filename,url,expected_size_bytes,local_path
CABLE-POP,evapotrans,CABLE-POP_S3_evapotrans.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CABLE-POP/S3/CABLE-POP_S3_evapotrans.nc,227981561,data/external/trendy/v14-gcb2025/CABLE-POP/S3/CABLE-POP_S3_evapotrans.nc
CABLE-POP,gpp,CABLE-POP_S3_gpp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CABLE-POP/S3/CABLE-POP_S3_gpp.nc,180407814,data/external/trendy/v14-gcb2025/CABLE-POP/S3/CABLE-POP_S3_gpp.nc
CABLE-POP,nbp,CABLE-POP_S3_nbp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CABLE-POP/S3/CABLE-POP_S3_nbp.nc,225784229,data/external/trendy/v14-gcb2025/CABLE-POP/S3/CABLE-POP_S3_nbp.nc
CABLE-POP,ra,CABLE-POP_S3_ra.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CABLE-POP/S3/CABLE-POP_S3_ra.nc,210876373,data/external/trendy/v14-gcb2025/CABLE-POP/S3/CABLE-POP_S3_ra.nc
CABLE-POP,rh,CABLE-POP_S3_rh.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CABLE-POP/S3/CABLE-POP_S3_rh.nc,220230798,data/external/trendy/v14-gcb2025/CABLE-POP/S3/CABLE-POP_S3_rh.nc
CARDAMOM,evapotrans,CARDAMOM_S3_evapotrans.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CARDAMOM/S3/CARDAMOM_S3_evapotrans.nc,792196478,data/external/trendy/v14-gcb2025/CARDAMOM/S3/CARDAMOM_S3_evapotrans.nc
CARDAMOM,gpp,CARDAMOM_S3_gpp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CARDAMOM/S3/CARDAMOM_S3_gpp.nc,654617587,data/external/trendy/v14-gcb2025/CARDAMOM/S3/CARDAMOM_S3_gpp.nc
CARDAMOM,nbp,CARDAMOM_S3_nbp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CARDAMOM/S3/CARDAMOM_S3_nbp.nc,794354525,data/external/trendy/v14-gcb2025/CARDAMOM/S3/CARDAMOM_S3_nbp.nc
CARDAMOM,ra,CARDAMOM_S3_ra.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CARDAMOM/S3/CARDAMOM_S3_ra.nc,655198059,data/external/trendy/v14-gcb2025/CARDAMOM/S3/CARDAMOM_S3_ra.nc
CARDAMOM,rh,CARDAMOM_S3_rh.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CARDAMOM/S3/CARDAMOM_S3_rh.nc,786705024,data/external/trendy/v14-gcb2025/CARDAMOM/S3/CARDAMOM_S3_rh.nc
CLASSIC,evapotrans,CLASSIC_S3_evapotrans.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLASSIC/S3/CLASSIC_S3_evapotrans.nc,2015821819,data/external/trendy/v14-gcb2025/CLASSIC/S3/CLASSIC_S3_evapotrans.nc
CLASSIC,gpp,CLASSIC_S3_gpp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLASSIC/S3/CLASSIC_S3_gpp.nc,2015821718,data/external/trendy/v14-gcb2025/CLASSIC/S3/CLASSIC_S3_gpp.nc
CLASSIC,nbp,CLASSIC_S3_nbp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLASSIC/S3/CLASSIC_S3_nbp.nc,2015821864,data/external/trendy/v14-gcb2025/CLASSIC/S3/CLASSIC_S3_nbp.nc
CLASSIC,ra,CLASSIC_S3_ra.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLASSIC/S3/CLASSIC_S3_ra.nc,2015821722,data/external/trendy/v14-gcb2025/CLASSIC/S3/CLASSIC_S3_ra.nc
CLASSIC,rh,CLASSIC_S3_rh.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLASSIC/S3/CLASSIC_S3_rh.nc,2015821741,data/external/trendy/v14-gcb2025/CLASSIC/S3/CLASSIC_S3_rh.nc
CLM-FATES,evapotrans,CLM-FATES_S3_evapotrans.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM-FATES/S3/CLM-FATES_S3_evapotrans.nc,179670309,data/external/trendy/v14-gcb2025/CLM-FATES/S3/CLM-FATES_S3_evapotrans.nc
CLM-FATES,gpp,CLM-FATES_S3_gpp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM-FATES/S3/CLM-FATES_S3_gpp.nc,179670308,data/external/trendy/v14-gcb2025/CLM-FATES/S3/CLM-FATES_S3_gpp.nc
CLM-FATES,nbp,CLM-FATES_S3_nbp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM-FATES/S3/CLM-FATES_S3_nbp.nc,179670302,data/external/trendy/v14-gcb2025/CLM-FATES/S3/CLM-FATES_S3_nbp.nc
CLM-FATES,ra,CLM-FATES_S3_ra.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM-FATES/S3/CLM-FATES_S3_ra.nc,179670313,data/external/trendy/v14-gcb2025/CLM-FATES/S3/CLM-FATES_S3_ra.nc
CLM-FATES,rh,CLM-FATES_S3_rh.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM-FATES/S3/CLM-FATES_S3_rh.nc,179670301,data/external/trendy/v14-gcb2025/CLM-FATES/S3/CLM-FATES_S3_rh.nc
CLM,evapotrans,CLM6.0_S3_evapotrans.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM/S3/CLM6.0_S3_evapotrans.nc,862645719,data/external/trendy/v14-gcb2025/CLM/S3/CLM6.0_S3_evapotrans.nc
CLM,gpp,CLM6.0_S3_gpp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM/S3/CLM6.0_S3_gpp.nc,862645700,data/external/trendy/v14-gcb2025/CLM/S3/CLM6.0_S3_gpp.nc
CLM,nbp,CLM6.0_S3_nbp.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM/S3/CLM6.0_S3_nbp.nc,862645701,data/external/trendy/v14-gcb2025/CLM/S3/CLM6.0_S3_nbp.nc
CLM,ra,CLM6.0_S3_ra.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM/S3/CLM6.0_S3_ra.nc,862645752,data/external/trendy/v14-gcb2025/CLM/S3/CLM6.0_S3_ra.nc
CLM,rh,CLM6.0_S3_rh.nc,https://s3.eu-west-1.wasabisys.com/gcb-2025-upload/land/output/CLM/S3/CLM6.0_S3_rh.nc,862645746,data/external/trendy/v14-gcb2025/CLM/S3/CLM6.0_S3_rh.nc
