site_id,year,has_data
AR-Bal,1981,FALSE
AR-Bal,1982,FALSE
AR-Bal,1983,FALSE
AR-Bal,1984,FALSE
AR-Bal,1985,FALSE
AR-Bal,1986,FALSE
AR-Bal,1987,FALSE
AR-Bal,1988,FALSE
AR-Bal,1989,FALSE
AR-Bal,1990,FALSE
AR-Bal,1991,FALSE
AR-Bal,1992,FALSE
AR-Bal,1993,FALSE
AR-Bal,1994,FALSE
AR-Bal,1995,FALSE
AR-Bal,1996,FALSE
AR-Bal,1997,FALSE
AR-Bal,1998,FALSE
AR-Bal,1999,FALSE
AR-Bal,2000,FALSE
AR-Bal,2001,FALSE
AR-Bal,2002,FALSE
AR-Bal,2003,FALSE
AR-Bal,2004,FALSE
AR-Bal,2005,FALSE
AR-Bal,2006,FALSE
AR-Bal,2007,FALSE
AR-Bal,2008,FALSE
AR-Bal,2009,FALSE
AR-Bal,2010,FALSE
AR-Bal,2011,FALSE
AR-Bal,2012,FALSE
AR-Bal,2012,FALSE
AR-Bal,2013,TRUE
AR-Bal,2013,TRUE
AR-Bal,2014,FALSE
AR-Bal,2015,FALSE
AR-Bal,2016,FALSE
AR-Bal,2017,FALSE
AR-Bal,2018,FALSE
AR-Bal,2019,FALSE
AR-Bal,2020,FALSE
AR-Bal,2021,FALSE
AR-Bal,2022,FALSE
AR-Bal,2023,FALSE
AR-Bal,2024,FALSE
AR-Bal,2025,FALSE
AR-CCa,1981,FALSE
AR-CCa,1982,FALSE
AR-CCa,1983,FALSE
AR-CCa,1984,FALSE
AR-CCa,1985,FALSE
AR-CCa,1986,FALSE
AR-CCa,1987,FALSE
AR-CCa,1988,FALSE
AR-CCa,1989,FALSE
AR-CCa,1990,FALSE
AR-CCa,1991,FALSE
AR-CCa,1992,FALSE
AR-CCa,1993,FALSE
AR-CCa,1994,FALSE
AR-CCa,1995,FALSE
AR-CCa,1996,FALSE
AR-CCa,1997,FALSE
AR-CCa,1998,FALSE
AR-CCa,1999,FALSE
AR-CCa,2000,FALSE
AR-CCa,2001,FALSE
AR-CCa,2002,FALSE
AR-CCa,2003,FALSE
AR-CCa,2004,FALSE
AR-CCa,2005,FALSE
AR-CCa,2006,FALSE
AR-CCa,2007,FALSE
AR-CCa,2008,FALSE
AR-CCa,2009,FALSE
AR-CCa,2010,FALSE
AR-CCa,2011,FALSE
AR-CCa,2012,FALSE
AR-CCa,2012,FALSE
AR-CCa,2013,TRUE
AR-CCa,2014,FALSE
AR-CCa,2014,FALSE
AR-CCa,2015,FALSE
AR-CCa,2015,FALSE
AR-CCa,2016,FALSE
AR-CCa,2016,FALSE
AR-CCa,2017,TRUE
AR-CCa,2018,TRUE
AR-CCa,2019,TRUE
AR-CCa,2020,TRUE
AR-CCa,2021,FALSE
AR-CCa,2022,FALSE
AR-CCa,2023,FALSE
AR-CCa,2024,FALSE
AR-CCa,2025,FALSE
AR-CCg,1981,FALSE
AR-CCg,1982,FALSE
AR-CCg,1983,FALSE
AR-CCg,1984,FALSE
AR-CCg,1985,FALSE
AR-CCg,1986,FALSE
AR-CCg,1987,FALSE
AR-CCg,1988,FALSE
AR-CCg,1989,FALSE
AR-CCg,1990,FALSE
AR-CCg,1991,FALSE
AR-CCg,1992,FALSE
AR-CCg,1993,FALSE
AR-CCg,1994,FALSE
AR-CCg,1995,FALSE
AR-CCg,1996,FALSE
AR-CCg,1997,FALSE
AR-CCg,1998,FALSE
AR-CCg,1999,FALSE
AR-CCg,2000,FALSE
AR-CCg,2001,FALSE
AR-CCg,2002,FALSE
AR-CCg,2003,FALSE
AR-CCg,2004,FALSE
AR-CCg,2005,FALSE
AR-CCg,2006,FALSE
AR-CCg,2007,FALSE
AR-CCg,2008,FALSE
AR-CCg,2009,FALSE
AR-CCg,2010,FALSE
AR-CCg,2011,FALSE
AR-CCg,2012,FALSE
AR-CCg,2013,FALSE
AR-CCg,2014,FALSE
AR-CCg,2015,FALSE
AR-CCg,2016,FALSE
AR-CCg,2017,FALSE
AR-CCg,2018,TRUE
AR-CCg,2018,TRUE
AR-CCg,2019,TRUE
AR-CCg,2020,TRUE
AR-CCg,2021,TRUE
AR-CCg,2022,FALSE
AR-CCg,2022,FALSE
AR-CCg,2023,TRUE
AR-CCg,2023,TRUE
AR-CCg,2024,TRUE
AR-CCg,2024,TRUE
AR-TF1,1981,FALSE
AR-TF1,1982,FALSE
AR-TF1,1983,FALSE
AR-TF1,1984,FALSE
AR-TF1,1985,FALSE
AR-TF1,1986,FALSE
AR-TF1,1987,FALSE
AR-TF1,1988,FALSE
AR-TF1,1989,FALSE
AR-TF1,1990,FALSE
AR-TF1,1991,FALSE
AR-TF1,1992,FALSE
AR-TF1,1993,FALSE
AR-TF1,1994,FALSE
AR-TF1,1995,FALSE
AR-TF1,1996,FALSE
AR-TF1,1997,FALSE
AR-TF1,1998,FALSE
AR-TF1,1999,FALSE
AR-TF1,2000,FALSE
AR-TF1,2001,FALSE
AR-TF1,2002,FALSE
AR-TF1,2003,FALSE
AR-TF1,2004,FALSE
AR-TF1,2005,FALSE
AR-TF1,2006,FALSE
AR-TF1,2007,FALSE
AR-TF1,2008,FALSE
AR-TF1,2009,FALSE
AR-TF1,2010,FALSE
AR-TF1,2011,FALSE
AR-TF1,2012,FALSE
AR-TF1,2013,FALSE
AR-TF1,2014,FALSE
AR-TF1,2015,FALSE
AR-TF1,2016,TRUE
AR-TF1,2016,TRUE
AR-TF1,2017,TRUE
AR-TF1,2018,TRUE
AR-TF1,2018,TRUE
AR-TF1,2019,FALSE
AR-TF1,2020,FALSE
AR-TF1,2021,FALSE
AR-TF1,2022,FALSE
AR-TF1,2023,FALSE
AR-TF1,2024,FALSE
AR-TF2,1981,FALSE
AR-TF2,1982,FALSE
AR-TF2,1983,FALSE
AR-TF2,1984,FALSE
AR-TF2,1985,FALSE
AR-TF2,1986,FALSE
AR-TF2,1987,FALSE
AR-TF2,1988,FALSE
AR-TF2,1989,FALSE
AR-TF2,1990,FALSE
AR-TF2,1991,FALSE
AR-TF2,1992,FALSE
AR-TF2,1993,FALSE
AR-TF2,1994,FALSE
AR-TF2,1995,FALSE
AR-TF2,1996,FALSE
AR-TF2,1997,FALSE
AR-TF2,1998,FALSE
AR-TF2,1999,FALSE
AR-TF2,2000,FALSE
AR-TF2,2001,FALSE
AR-TF2,2002,FALSE
AR-TF2,2003,FALSE
AR-TF2,2004,FALSE
AR-TF2,2005,FALSE
AR-TF2,2006,FALSE
AR-TF2,2007,FALSE
AR-TF2,2008,FALSE
AR-TF2,2009,FALSE
AR-TF2,2010,FALSE
AR-TF2,2011,FALSE
AR-TF2,2012,FALSE
AR-TF2,2013,FALSE
AR-TF2,2014,FALSE
AR-TF2,2015,FALSE
AR-TF2,2016,TRUE
AR-TF2,2016,TRUE
AR-TF2,2017,TRUE
AR-TF2,2018,FALSE
AR-TF2,2018,FALSE
AR-TF2,2019,FALSE
AR-TF2,2020,FALSE
AR-TF2,2021,FALSE
AR-TF2,2022,FALSE
AR-TF2,2023,FALSE
AR-TF2,2024,FALSE
AT-Mmg,1981,FALSE
AT-Mmg,1982,FALSE
AT-Mmg,1983,FALSE
AT-Mmg,1984,FALSE
AT-Mmg,1985,FALSE
AT-Mmg,1986,FALSE
AT-Mmg,1987,FALSE
AT-Mmg,1988,FALSE
AT-Mmg,1989,FALSE
AT-Mmg,1990,FALSE
AT-Mmg,1991,FALSE
AT-Mmg,1992,FALSE
AT-Mmg,1993,FALSE
AT-Mmg,1994,FALSE
AT-Mmg,1995,FALSE
AT-Mmg,1996,FALSE
AT-Mmg,1997,FALSE
AT-Mmg,1998,FALSE
AT-Mmg,1999,FALSE
AT-Mmg,2000,FALSE
AT-Mmg,2001,FALSE
AT-Mmg,2002,FALSE
AT-Mmg,2003,FALSE
AT-Mmg,2004,FALSE
AT-Mmg,2005,FALSE
AT-Mmg,2006,FALSE
AT-Mmg,2007,FALSE
AT-Mmg,2008,FALSE
AT-Mmg,2009,FALSE
AT-Mmg,2010,FALSE
AT-Mmg,2011,FALSE
AT-Mmg,2012,FALSE
AT-Mmg,2013,FALSE
AT-Mmg,2014,FALSE
AT-Mmg,2015,FALSE
AT-Mmg,2016,FALSE
AT-Mmg,2017,FALSE
AT-Mmg,2018,FALSE
AT-Mmg,2019,FALSE
AT-Mmg,2020,FALSE
AT-Mmg,2021,TRUE
AT-Mmg,2021,TRUE
AT-Mmg,2022,TRUE
AT-Mmg,2023,TRUE
AT-Mmg,2024,TRUE
AT-Neu,1981,FALSE
AT-Neu,1982,FALSE
AT-Neu,1983,FALSE
AT-Neu,1984,FALSE
AT-Neu,1985,FALSE
AT-Neu,1986,FALSE
AT-Neu,1987,FALSE
AT-Neu,1988,FALSE
AT-Neu,1989,FALSE
AT-Neu,1990,FALSE
AT-Neu,1991,FALSE
AT-Neu,1992,FALSE
AT-Neu,1993,FALSE
AT-Neu,1994,FALSE
AT-Neu,1995,FALSE
AT-Neu,1996,FALSE
AT-Neu,1997,FALSE
AT-Neu,1998,FALSE
AT-Neu,1999,FALSE
AT-Neu,2000,FALSE
AT-Neu,2001,FALSE
AT-Neu,2002,TRUE
AT-Neu,2003,TRUE
AT-Neu,2004,TRUE
AT-Neu,2005,TRUE
AT-Neu,2006,TRUE
AT-Neu,2007,TRUE
AT-Neu,2008,TRUE
AT-Neu,2009,TRUE
AT-Neu,2010,TRUE
AT-Neu,2011,TRUE
AT-Neu,2012,TRUE
AT-Neu,2013,TRUE
AT-Neu,2014,TRUE
AT-Neu,2015,TRUE
AT-Neu,2016,TRUE
AT-Neu,2017,TRUE
AT-Neu,2018,TRUE
AT-Neu,2019,TRUE
