site_id,igbp,region,network,location_lat,location_long,has_badm_record,has_dom_dist_mgmt,dom_dist_mgmt_values,has_site_desc,mgmt_harvest,mgmt_tillage,mgmt_fertilization,mgmt_grazing,mgmt_irrigation,mgmt_thinning,mgmt_burning,mgmt_drainage_wtd,mgmt_forestry_unspecified,mgmt_other,any_management,wtd_group_present
AR-Bal,CRO,S. America,AmeriFlux,-37.7596,-58.3024,TRUE,TRUE,Agriculture,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
AR-CCa,CRO,S. America,AmeriFlux,-35.621,-61.3181,TRUE,TRUE,Agriculture,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
AR-CCg,GRA,S. America,AmeriFlux,-35.9244,-61.1855,TRUE,TRUE,Grazing; Land cover change,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AR-TF1,WET,S. America,AmeriFlux,-54.9733,-66.7335,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AR-TF2,WET,S. America,AmeriFlux,-54.8269,-68.4549,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AT-Mmg,ENF,Europe,European Fluxes Database,47.316563,10.970089,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AT-Neu,GRA,Europe,CarboEuropeIP;European Fluxes Database;GHG-Europe,47.116318,11.320229,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
AT-Nsd,WET,Europe,European Fluxes Database;LTER,47.76914,16.758492,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AT-PsM,WET,Europe,European Fluxes Database;LTER,47.58145,14.347197,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AT-Zoe,MF,Europe,European Fluxes Database;LTER,47.842247,14.444137,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-APL,WET,Australia,OzFlux,-36.862222,147.320833,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-ASM,SAV,Australia,TERN,-22.283,133.249,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Ade,WSA,Australia,OzFlux,-13.0769,131.1178,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Boy,EBF,Australia,TERN,-32.477093000000004,116.938559,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Col,EBF,Australia,OzFlux,-33.42,116.237,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Cow,EBF,Australia,OzFlux,-16.238189,145.42715,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Cpr,WSA,Australia,TERN,-34.0027,140.5877,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Ctr,EBF,Australia,OzFlux,-16.103219,145.446922,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Cum,EBF,Australia,TERN,-33.615278000000004,150.723611,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-DaP,GRA,Australia,OzFlux,-14.0633,131.3181,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-DaS,WSA,Australia,OzFlux,-14.1592,131.3881,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Dry,WSA,Australia,OzFlux,-15.2588,132.3706,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Emr,GRA,Australia,OzFlux,-23.85872,148.4746,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Fle,WSA,Australia,OzFlux,-19.887285,146.189138,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Fog,GRA,Australia,OzFlux,-12.5452,131.3072,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-GWW,EBF,Australia,OzFlux,-30.1914,120.65417,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Gin,EBF,Australia,OzFlux,-31.376351,115.71377,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-How,WSA,Australia,OzFlux,-12.4952,131.15005,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Lit,WSA,Australia,TERN,-13.17904,130.79455,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Lon,GRA,Australia,OzFlux,-23.52327,144.31042,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Lox,DBF,Australia,OzFlux,-34.47035,140.65512,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-MvA,CRO,Australia,OzFlux,-30.543,150.02,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-MvB,CRO,Australia,OzFlux,-30.697,150.09,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Otw,GRA,Australia,OzFlux,-38.525,142.81,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-RDF,WSA,Australia,OzFlux,-14.563639,132.477567,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Rgf,CVM,Australia,OzFlux,-32.506102,116.966827,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Rig,GRA,Australia,OzFlux,-36.6499,145.5759,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Rob,EBF,Australia,OzFlux,-17.11746943,145.6301375,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Sam,GRA,Australia,OzFlux,-27.38806,152.87778,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Sil,GRA,Australia,OzFlux,-42.090556,147.0875,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Sno,EBF,Australia,OzFlux,-36.375649,148.43585,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Stp,GRA,Australia,OzFlux,-17.1507,133.3502,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-TTE,SAV,Australia,OzFlux,-22.287,133.64,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Tum,EBF,Australia,OzFlux,-35.6566,148.1516,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Wac,EBF,Australia,OzFlux,-37.4259,145.1878,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Wel,GRA,Australia,OzFlux,-32.5727,148.9843,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Wgt,GRA,Australia,OzFlux,-42.09139,147.07944,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Whr,EBF,Australia,OzFlux,-36.6732,145.0294,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Wom,EBF,Australia,TERN,-37.422506,144.094046,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Wrr,EBF,Australia,OzFlux,-43.09502,146.65452,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Ya1,GRA,Australia,OzFlux,-33.613469,150.734864,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Ya2,GRA,Australia,OzFlux,-33.620812,150.763284,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AU-Ync,GRA,Australia,OzFlux,-34.9878,146.2908,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BE-Bra,ENF,Europe,European Fluxes Database;ICOS,51.30761,4.51984,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BE-Dor,GRA,Europe,European Fluxes Database;ICOS,50.311874,4.968113,TRUE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
BE-Lcr,DBF,Europe,European Fluxes Database,51.11218,3.85043,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BE-Lon,CRO,Europe,European Fluxes Database;ICOS,50.55162,4.746234,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BE-Maa,CSH,Europe,European Fluxes Database;ICOS,50.97987,5.631851,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BE-Vie,MF,Europe,European Fluxes Database;ICOS,50.304962,5.998099,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BJ-Bfg,DBF,Africa,Unaffiliated,9.791,1.718,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BJ-Db1,CRO,Africa,Unaffiliated,6.607338,2.543043,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BJ-Nhu,SAV,Africa,Unaffiliated,9.74,1.6,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-CST,DNF,S. America,AmeriFlux,-7.9682,-38.3842,TRUE,TRUE,Drought,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
BR-ITA,EBF,S. America,AmeriFlux,-23.0604,-48.6467,TRUE,TRUE,Drought; Land cover change,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
BR-Ji3,EBF,S. America,AmeriFlux;LBA,-10.1866,-61.8725,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-Ma2,EBF,S. America,AmeriFlux;LBA,-2.6091,-60.2093,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-Ma3,CVM,S. America,AmeriFlux;LBA,-2.3907,-59.8835,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
BR-Npw,WSA,S. America,AmeriFlux,-16.498,-56.412,TRUE,TRUE,Hydrologic event,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-SM1,CRO,S. America,AmeriFlux,-30.2771,-53.1479,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-Sa1,EBF,S. America,AmeriFlux;LBA,-2.8567,-54.9589,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-Sa3,EBF,S. America,AmeriFlux,-3.018,-54.9714,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-Xpw,GRA,S. America,AmeriFlux,-16.373,-56.461,TRUE,TRUE,Grazing; Hydrologic event,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
BW-Gum,WET,Africa,Unaffiliated,-18.964722,22.37111,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BW-Nxr,GRA,Africa,Unaffiliated,-19.548056,23.179167,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CA-ARB,WET,N. America,AmeriFlux,52.695,-83.9452,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-ARF,WET,N. America,AmeriFlux,52.7008,-83.955,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-BOU,WET,N. America,AmeriFlux,50.5244,-63.2064,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CA-CF1,WET,N. America,AmeriFlux,58.6658,-93.83,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
CA-CF2,WET,N. America,AmeriFlux,58.6658,-93.83,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
CA-CF3,WET,N. America,AmeriFlux,58.6658,-93.8304,TRUE,TRUE,Undisturbed,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
