igbp_class,flux,fluxnet2015_median,fluxnet2015_sd,fluxnet2015_n_sites,shuttle_median,shuttle_sd,shuttle_n_sites,diff,pct_diff,excluded,notes
EBF,NEP,443.896,500.58,14,382.157,426.398,38,-61.74,-13.909,FALSE,
MF,NEP,117.541,419.607,9,282.648,339.788,22,165.107,140.468,FALSE,
DBF,NEP,376.955,227.471,22,299.825,291.044,60,-77.13,-20.461,FALSE,
ENF,NEP,179.768,384.544,36,148.171,367.53,95,-31.597,-17.577,FALSE,
CSH,NEP,251.829,105.435,2,40.123,121.635,11,-211.707,-84.067,TRUE,"n=2 in FLUXNET2015, below the n>=5 reliability threshold"
OSH,NEP,-0.164,161.863,8,14.618,137.962,32,14.783,8997.406,FALSE,
WSA,NEP,192.756,351.168,6,282.266,264.28,15,89.51,46.437,FALSE,
SAV,NEP,191.48,115.846,7,27.983,110.306,10,-163.497,-85.386,FALSE,
GRA,NEP,37.334,154.845,34,94.211,189.976,120,56.877,152.348,FALSE,
WET,NEP,72.677,238.273,16,60.057,214.804,90,-12.62,-17.365,FALSE,
CRO,NEP,216.064,193.294,17,184.488,354.571,107,-31.576,-14.614,FALSE,
CVM,NEP,NA,NA,0,24.697,279.733,7,NA,NA,TRUE,absent from FLUXNET2015 release site list (no x-coordinate)
EBF,GPP,2101.17,821.398,14,2326.135,923.501,37,224.965,10.707,FALSE,
MF,GPP,1533.6,496.516,9,1634.5,666.879,22,100.9,6.579,FALSE,
DBF,GPP,1492.855,306.326,22,1596.66,419.982,60,103.805,6.953,FALSE,
ENF,GPP,1280.435,562.729,36,1503.16,630.523,95,222.725,17.394,FALSE,
CSH,GPP,1453.957,496.477,2,914.75,453.425,11,-539.208,-37.086,TRUE,"n=2 in FLUXNET2015, below the n>=5 reliability threshold"
OSH,GPP,267.881,183.948,8,386.835,457.911,31,118.954,44.406,FALSE,
WSA,GPP,1018.412,626.983,6,1248.36,627.784,15,229.948,22.579,FALSE,
SAV,GPP,610.842,489.995,7,923.85,449.458,10,313.008,51.242,FALSE,
GRA,GPP,743.22,715.977,34,1316.742,696.843,120,573.522,77.167,FALSE,
