flux,igbp_class,fluxnet2015_median,fluxnet2015_sd,fluxnet2015_n_sites,shuttle_median,shuttle_sd,shuttle_n_sites,diff,pct_diff,excluded,notes
ET,CRO,613.2878222693878,203.61972920069962,15,613.0546824489796,201.48473211088512,15,-0.23313982040815517,-0.03801474804202913,FALSE,
ET,CSH,943.9071369795918,NA,1,931.0709221714285,NA,1,-12.836214808163277,-1.359902293909746,TRUE,"n=1 sites with >=1 common site-year, below n>=5 reliability threshold"
ET,CVM,NA,NA,0,NA,NA,0,NA,NA,TRUE,0 sites with any common site-year for this class/flux
ET,DBF,440.1856918285714,212.72086114373943,14,441.51368715918363,215.54099355594926,14,1.3279953306122252,0.3016897993879837,FALSE,
ET,EBF,735.035432987755,318.33210108193714,10,753.0738215510204,330.4404259223544,10,18.038388563265357,2.4540842187625342,FALSE,
ET,ENF,385.48188029387757,117.03424333356436,28,426.8590461551021,130.3193505924696,28,41.37716586122451,10.73388088427919,FALSE,
ET,GRA,466.56108308571436,248.58655034791704,24,465.78051551020405,236.26093332889084,24,-0.7805675755103039,-0.1673023327080415,FALSE,
ET,MF,392.41746793469383,214.89951152362354,6,393.3583996408163,192.33424942250116,6,0.9409317061224556,0.23977824205293674,FALSE,
ET,OSH,255.16670319183675,86.28295476383626,6,253.80070993469388,90.11710380789393,6,-1.3659932571428612,-0.535333662290528,FALSE,
ET,SAV,240.84953529795916,88.93393318734944,3,252.6990920816326,90.63558847000907,3,11.84955678367345,4.9199002061657104,TRUE,"n=3 sites with >=1 common site-year, below n>=5 reliability threshold"
ET,WET,522.0077862857142,348.2489041589468,9,516.323554089796,350.39726509890727,9,-5.684232195918298,-1.0889171282987542,FALSE,
ET,WSA,707.8350359020408,319.261051567734,8,715.1634834612246,320.560374425428,8,7.3284475591838145,1.0353326958229316,FALSE,
H,CRO,11.1802,10.203529341063195,15,11.3051,9.960060994998411,15,0.12490000000000023,1.1171535392926804,FALSE,
H,CSH,31.69495,NA,1,31.65085,NA,1,-0.04410000000000025,-0.13913888490122323,TRUE,"n=1 sites with >=1 common site-year, below n>=5 reliability threshold"
H,CVM,NA,NA,0,NA,NA,0,NA,NA,TRUE,0 sites with any common site-year for this class/flux
H,DBF,24.8198,11.870752909694565,14,24.771250000000002,11.929688707928506,14,-0.04854999999999876,-0.19560995656692948,FALSE,
H,EBF,32.3386,18.268383762361385,11,32.7265,19.653513659089054,11,0.3879000000000019,1.199495339934326,FALSE,
H,ENF,31.173625,10.890317778646503,28,31.186875,11.201092113255722,28,0.013249999999999318,0.04250387948145048,FALSE,
H,GRA,35.2418,21.980744593845813,24,35.1465,22.144458907450296,24,-0.09529999999999461,-0.27041751556388893,FALSE,
H,MF,25.23215,10.210561601939435,6,26.002650000000003,10.052402765309395,6,0.770500000000002,3.0536438630873786,FALSE,
H,OSH,58.267825,24.377004227074334,6,58.118475000000004,24.33453074140565,6,-0.14934999999999832,-0.2563164147623467,FALSE,
H,SAV,85.50630000000001,18.70112006598803,3,83.2795,17.182822599498405,3,-2.2268000000000114,-2.604252552151141,TRUE,"n=3 sites with >=1 common site-year, below n>=5 reliability threshold"
H,WET,13.58765,8.257346909433139,9,13.5322,8.437880485517542,9,-0.05545000000000044,-0.40809117102663406,FALSE,
H,WSA,54.992825,8.262096712199698,8,56.540875,8.220224161652316,8,1.5480499999999964,2.8150035936506193,FALSE,
NEP,CRO,214.04500000000002,215.95328959896625,14,218.776,220.33858766811832,14,4.7309999999999945,2.210282884440185,FALSE,
NEP,CSH,326.383,NA,1,344.168,NA,1,17.785000000000025,5.449119592625849,TRUE,"n=1 sites with >=1 common site-year, below n>=5 reliability threshold"
NEP,CVM,NA,NA,0,NA,NA,0,NA,NA,TRUE,0 sites with any common site-year for this class/flux
NEP,DBF,379.327,234.405960821463,14,373.81175,216.35929294463102,14,-5.5152499999999804,-1.4539566126323675,FALSE,
NEP,EBF,283.197,403.2367622865159,10,277.557,473.3420635476204,10,-5.639999999999986,-1.991546520619917,FALSE,
NEP,ENF,179.768,396.7630683197293,26,208.19549999999998,386.48486221112944,26,28.42749999999998,15.813437319211419,FALSE,
NEP,GRA,45.449025,165.54009777378238,24,42.024525,194.42070924315942,24,-3.424500000000002,-7.5348151032942985,FALSE,
NEP,MF,286.7505,291.62884965561966,6,259.80875,317.1422197852986,6,-26.941750000000013,-9.395537235331764,FALSE,
NEP,OSH,-2.421345,187.44354249681865,5,-14.499555,183.63103480843307,5,-12.07821,-498.8223487359299,FALSE,
NEP,SAV,-4.956341,109.43264861992266,3,34.2305,50.643915802007584,3,39.186841,790.6405350237201,TRUE,"n=3 sites with >=1 common site-year, below n>=5 reliability threshold"
NEP,WET,53.378,275.87005870065894,9,51.77555,290.21544001372615,9,-1.6024499999999975,-3.0020795084117005,FALSE,
NEP,WSA,240.969,296.0264455980649,8,233.07925,295.2624073895103,8,-7.889749999999992,-3.2741763463350027,FALSE,
