igbp_class,flux_variable,flux_label,n_sites,median_val,q25,q75,min_val,max_val,cv,spread
EBF,nep,NEP (gC m-2 yr-1),14,443.896,175.705,718.144,-20.222,1804.575,0.901,wide
EBF,gpp,GPP (gC m-2 yr-1),14,2101.17,1577.003,2835.974,1229.25,3707.54,0.366,moderate
EBF,ter,TER (gC m-2 yr-1),14,1327.77,1025.654,2397.458,393.459,3520.95,0.602,wide
EBF,et,ET (mm yr-1),14,733.546,528.208,1090.947,376.661,1385.533,0.421,moderate
EBF,h,H (W m-2),15,25.512,22.125,43.86,18.189,60.197,0.406,moderate
MF,nep,NEP (gC m-2 yr-1),9,117.541,67.876,456.302,-13.207,1269.67,1.283,wide
MF,gpp,GPP (gC m-2 yr-1),9,1533.6,1103.36,1780.92,1017.47,2550.07,0.323,moderate
MF,ter,TER (gC m-2 yr-1),9,1179.32,1076.2,1254.22,882.768,1547.03,0.161,tight
MF,et,ET (mm yr-1),9,363.478,328.645,460.934,310.876,768.171,0.411,moderate
MF,h,H (W m-2),9,20.92,20.023,29.544,18.705,67.898,0.564,moderate
DBF,nep,NEP (gC m-2 yr-1),22,376.955,273.071,534.301,-143.112,842.62,0.575,moderate
DBF,gpp,GPP (gC m-2 yr-1),22,1492.855,1309.402,1731.309,1034.93,2095.795,0.201,tight
DBF,ter,TER (gC m-2 yr-1),22,1055.178,944.266,1259.12,652.567,2055.51,0.312,moderate
DBF,et,ET (mm yr-1),22,458.464,401.19,583.679,359.726,1154.742,0.345,moderate
DBF,h,H (W m-2),22,25.01,21.58,31.615,-3.228,49.434,0.42,moderate
ENF,nep,NEP (gC m-2 yr-1),36,179.768,67.16,443.493,-265.56,1757.59,1.281,wide
ENF,gpp,GPP (gC m-2 yr-1),36,1280.435,715.375,1722.172,477.19,2318.655,0.448,moderate
ENF,ter,TER (gC m-2 yr-1),36,783.712,666.839,1195.306,187.392,1985.595,0.437,moderate
ENF,et,ET (mm yr-1),40,385.482,306.018,546.771,136.347,1172.322,0.425,moderate
ENF,h,H (W m-2),40,32.788,25.555,37.552,-5.288,63.132,0.375,moderate
CSH,nep,NEP (gC m-2 yr-1),2,251.829,NA,NA,177.276,326.383,0.419,moderate
CSH,gpp,GPP (gC m-2 yr-1),2,1453.957,NA,NA,1102.895,1805.02,0.341,moderate
CSH,ter,TER (gC m-2 yr-1),2,1206.419,NA,NA,928.398,1484.44,0.326,moderate
CSH,et,ET (mm yr-1),2,687.456,NA,NA,431.005,943.907,0.528,moderate
CSH,h,H (W m-2),2,46.61,NA,NA,31.695,61.524,0.453,moderate
