igbp_class,flux_variable,flux_label,n_sites,median_val,q25,q75,min_val,max_val,cv,spread
EBF,nep,NEP (gC m-2 yr-1),38,382.157,189.813,756.391,-384.899,1523.075,0.911,wide
EBF,gpp,GPP (gC m-2 yr-1),37,2326.135,1636.655,2988.75,490.605,4277.48,0.396,moderate
EBF,ter,TER (gC m-2 yr-1),37,1826.345,1239.295,2747.135,335.833,4101.87,0.52,moderate
EBF,et,ET (mm yr-1),38,825.023,606.402,1092.304,240.854,1443.934,0.378,moderate
EBF,h,H (W m-2),39,27.552,19.74,43.083,5.318,74.512,0.581,moderate
MF,nep,NEP (gC m-2 yr-1),22,282.648,58.939,456.327,-289.782,1204.07,1.097,wide
MF,gpp,GPP (gC m-2 yr-1),22,1634.5,1198.704,1827.381,816.288,3807.81,0.398,moderate
MF,ter,TER (gC m-2 yr-1),22,1279.695,908.801,1461.598,734.328,3724.87,0.513,moderate
MF,et,ET (mm yr-1),22,526.232,414.866,685.254,185.137,1099.236,0.372,moderate
MF,h,H (W m-2),23,24.93,19.968,33.352,10.278,50.99,0.425,moderate
DBF,nep,NEP (gC m-2 yr-1),60,299.825,175.852,435.052,-436.85,948.503,1.002,wide
DBF,gpp,GPP (gC m-2 yr-1),60,1596.66,1327.925,1827.153,391.213,2472.77,0.264,moderate
DBF,ter,TER (gC m-2 yr-1),60,1274.305,991.734,1560.432,290.794,2768.98,0.369,moderate
DBF,et,ET (mm yr-1),60,509.817,426.543,640.113,112.381,1157.234,0.357,moderate
DBF,h,H (W m-2),60,23.968,18.035,29.415,-1.81,72.954,0.571,moderate
ENF,nep,NEP (gC m-2 yr-1),95,148.171,17.788,426.484,-535.676,1904.45,1.563,wide
ENF,gpp,GPP (gC m-2 yr-1),95,1503.16,841.107,1868.072,-43.516,2929.795,0.455,moderate
ENF,ter,TER (gC m-2 yr-1),95,1140.6,715.793,1514.725,254.466,2267.91,0.421,moderate
ENF,et,ET (mm yr-1),100,449.484,355.514,564.12,70.424,950.633,0.381,moderate
ENF,h,H (W m-2),100,29.8,19.906,36.738,-5.082,103.598,0.523,moderate
CSH,nep,NEP (gC m-2 yr-1),11,40.123,9.999,104.208,-67.752,344.168,1.526,wide
CSH,gpp,GPP (gC m-2 yr-1),11,914.75,822.31,1306.376,249.962,1799.38,0.442,moderate
CSH,ter,TER (gC m-2 yr-1),11,862.156,783.986,1148.09,287.386,1475.33,0.405,moderate
CSH,et,ET (mm yr-1),11,470.575,391.158,497.618,225.764,931.071,0.387,moderate
CSH,h,H (W m-2),11,29.901,12.875,46.469,-3.647,63.266,0.747,wide
OSH,nep,NEP (gC m-2 yr-1),32,14.618,-27.57,132.508,-136.575,407.74,2.289,wide
OSH,gpp,GPP (gC m-2 yr-1),31,386.835,225.856,707.122,104.72,1841.37,0.863,wide
OSH,ter,TER (gC m-2 yr-1),31,322.621,179.09,531.342,112.015,1531.8,0.864,wide
OSH,et,ET (mm yr-1),33,255.771,212.775,438.018,105.21,1174.957,0.646,wide
OSH,h,H (W m-2),34,39.744,14.721,57.573,-2.91,75.23,0.673,wide
WSA,nep,NEP (gC m-2 yr-1),15,282.266,122.139,422.872,-287.393,721.889,0.972,wide
WSA,gpp,GPP (gC m-2 yr-1),15,1248.36,613.252,1586.72,287.807,2189.78,0.545,moderate
WSA,ter,TER (gC m-2 yr-1),15,952.373,494.665,1210.093,249.183,1953.43,0.524,moderate
WSA,et,ET (mm yr-1),17,596.261,385.989,924.583,214.583,1244.435,0.493,moderate
WSA,h,H (W m-2),17,57.802,48.753,62.194,22.525,81.686,0.27,moderate
SAV,nep,NEP (gC m-2 yr-1),10,27.983,-14.193,108.001,-214.743,169.975,4.561,wide
SAV,gpp,GPP (gC m-2 yr-1),10,923.85,539.968,1174.352,292.645,1667.35,0.512,moderate
SAV,ter,TER (gC m-2 yr-1),10,958.216,403.991,1168.49,248.574,1541.08,0.549,moderate
SAV,et,ET (mm yr-1),12,421.261,327.01,484.621,247.602,761.813,0.339,moderate
SAV,h,H (W m-2),12,47.952,39.743,56.871,30.63,84.055,0.329,moderate
GRA,nep,NEP (gC m-2 yr-1),120,94.211,-28.76,205.797,-503.196,501.727,2.103,wide
GRA,gpp,GPP (gC m-2 yr-1),120,1316.742,721.458,1870.556,79.53,3256.58,0.534,moderate
GRA,ter,TER (gC m-2 yr-1),120,1189.995,609.925,1709.495,59.68,3177.26,0.585,moderate
