cci_high_level_class,cci_high_level_class_name,global_land_area_km2,global_land_fraction
1,Cropland,22179255.733634204,0.15054863449943703
2,Forest,42825814.59926517,0.2906936096808776
3,Shrubland,22222318.99465888,0.15084093985098795
4,Grassland,13757005.848433293,0.09337997947972801
5,Wetland,3047128.4484256655,0.02068333728436183
6,Settlement,867652.9704142511,0.005889465881272041
7,Bare,19076032.657165468,0.1294845373845354
8,Snow/Ice,14621824.74031742,0.0992502081666641
9,Water,3659509.690012999,0.024840066474071953
10,Other,5066318.510203145,0.034389221298064196
