cci_high_level_class,cci_high_level_class_name,global_land_area_km2,global_land_fraction
1,Cropland,22179255.733634204,0.150548634499437
2,Forest,42825814.59926517,0.29069360968087754
3,Shrubland,22222318.99465888,0.15084093985098793
4,Grassland,13757005.848433293,0.09337997947972798
5,Wetland,3047128.4484256655,0.020683337284361825
6,Settlement,867652.9704142511,0.0058894658812720406
7,Bare,19076032.657165468,0.12948453738453536
8,Snow/Ice,14621824.74031742,0.09925020816666408
9,Water,3659509.690012999,0.02484006647407195
10,Other,5066318.510203145,0.03438922129806419
