lulc_level2,lulc_level2_name,global_land_area_km2,global_land_fraction
1,Rainfed cropland,15920917.40443702,0.10806820589482298
2,Irrigated cropland,2411744.937450111,0.016370472997587402
3,Mosaic cropland/nat-veg,3846593.3917470723,0.02610995560702662
4,Mosaic nat-veg/cropland,3581685.4568737596,0.024311810153355522
5,BL evergreen forest,12699998.661336988,0.08620521263522463
6,BL deciduous forest,10454778.19120416,0.0709650765374163
7,NL evergreen forest,8763856.57615918,0.05948741726661566
8,NL deciduous forest,4972847.173437908,0.033754755368104974
9,Mixed forest,2139986.1464006007,0.014525825215124697
10,Mosaic tree-shrub/herb,3794347.8507263362,0.025755322658391273
11,Mosaic herb/tree-shrub,1105021.4652661234,0.007500678773278338
12,Shrubland,13238750.18809466,0.08986215710901309
13,Grassland,12651984.38316717,0.08587930070644965
14,Lichens and mosses,1484633.0533293858,0.010077411144708665
15,Sparse vegetation,8983568.80656422,0.06097878274197485
16,Flooded forest (freshwater),879322.1885252148,0.00596867434856148
17,Flooded forest (saline),213636.0941388607,0.0014501218002380921
18,Flooded shrub/herb,1954170.16576159,0.013264541135562254
19,Urban areas,867652.9704142511,0.0058894658812720406
20,Bare areas,19076032.657165468,0.12948453738453536
21,Water bodies,3659509.690012999,0.02484006647407195
22,Permanent snow and ice,14621824.74031742,0.09925020816666408
