site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code
BJ-Nhu,Unaffiliated,SAV,Sub-Saharan Africa,Africa,2008,2017,9,6,66.7,TRUE,Tropical moist forest,12
SN-Nkr,European Fluxes Database,CRO,Sub-Saharan Africa,Africa,2018,2024,6,6,100,TRUE,Tropical dry forest,13
ZA-BfK,EFTEON SAEON;European Fluxes Database,OSH,Sub-Saharan Africa,Africa,2020,2024,4,4,100,FALSE,Tropical desert,15
CD-Ygb,European Fluxes Database;ICOS,MF,Sub-Saharan Africa,Africa,2020,2024,4,3,75,FALSE,Tropical rainforest,11
BJ-Bfg,Unaffiliated,DBF,Sub-Saharan Africa,Africa,2008,2017,9,3,33.3,TRUE,Tropical moist forest,12
SN-Dhr,CarboAfrica;European Fluxes Database;GHG-Europe,GRA,Sub-Saharan Africa,Africa,2010,2022,12,3,25,TRUE,Tropical shrubland,14
ZA-BfS,EFTEON SAEON;European Fluxes Database,OSH,Sub-Saharan Africa,Africa,2020,2024,4,2,50,FALSE,Tropical desert,15
BJ-Db1,Unaffiliated,CRO,Sub-Saharan Africa,Africa,2022,2024,2,2,100,FALSE,Tropical rainforest,11
ZA-Uby,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2023,2024,1,1,100,FALSE,Tropical moist forest,12
ZA-Spk,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2023,2024,1,1,100,FALSE,Subtropical mountain system,25
ZA-Jks,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2024,2024,0,1,NA,FALSE,Subtropical dry forest,22
ML-Kem,CarboAfrica,WSA,Sub-Saharan Africa,Africa,2007,2009,2,1,50,FALSE,Tropical shrubland,14
KE-Mkt,Unaffiliated,CRO,Sub-Saharan Africa,Africa,2019,2024,5,1,20,FALSE,Tropical mountain system,16
KE-Kpt,Unaffiliated,GRA,Sub-Saharan Africa,Africa,2018,2024,6,1,16.7,TRUE,Tropical mountain system,16
BW-Gum,Unaffiliated,WET,Sub-Saharan Africa,Africa,2018,2020,2,1,50,FALSE,Tropical dry forest,13
GH-Ank,CarboAfrica;European Fluxes Database,EBF,Sub-Saharan Africa,Africa,2011,2014,3,1,33.3,FALSE,Tropical rainforest,11
US-Ha1,AmeriFlux;LTER;Phenocam,DBF,Northern America,Americas,1991,2025,34,33,97.1,TRUE,Temperate mountain system,35
US-MMS,AmeriFlux;Phenocam,DBF,Northern America,Americas,1999,2023,24,25,104.2,TRUE,Temperate continental forest,32
US-Ton,AmeriFlux;Phenocam,WSA,Northern America,Americas,2001,2025,24,24,100,TRUE,Subtropical mountain system,25
US-Ne1,AmeriFlux,CRO,Northern America,Americas,2001,2024,23,23,100,TRUE,Temperate steppe,33
CA-Mer,AmeriFlux;Fluxnet-Canada;Phenocam,WET,Northern America,Americas,1998,2020,22,22,100,FALSE,Temperate continental forest,32
US-Ne3,AmeriFlux,CRO,Northern America,Americas,2001,2024,23,22,95.7,FALSE,Temperate steppe,33
US-SRM,AmeriFlux;LTAR;Phenocam,WSA,Northern America,Americas,2004,2025,21,22,104.8,FALSE,Subtropical desert,24
