site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main
BJ-Nhu,Unaffiliated,SAV,Sub-Saharan Africa,Africa,2008,2017,9,6,66.7,TRUE,Tropical moist forest,12,Aw,Aw,A
SN-Nkr,European Fluxes Database,CRO,Sub-Saharan Africa,Africa,2018,2024,6,6,100,TRUE,Tropical dry forest,13,Aw,Aw,A
ZA-BfK,EFTEON SAEON;European Fluxes Database,OSH,Sub-Saharan Africa,Africa,2020,2024,4,4,100,FALSE,Tropical desert,15,Bsh,Bs,B
CD-Ygb,European Fluxes Database;ICOS,MF,Sub-Saharan Africa,Africa,2020,2024,4,3,75,FALSE,Tropical rainforest,11,Af,Af,A
BJ-Bfg,Unaffiliated,DBF,Sub-Saharan Africa,Africa,2008,2017,9,3,33.3,TRUE,Tropical moist forest,12,NA,NA,NA
SN-Dhr,CarboAfrica;European Fluxes Database;GHG-Europe,GRA,Sub-Saharan Africa,Africa,2010,2022,12,3,25,TRUE,Tropical shrubland,14,Aw,Aw,A
ZA-BfS,EFTEON SAEON;European Fluxes Database,OSH,Sub-Saharan Africa,Africa,2020,2024,4,2,50,FALSE,Tropical desert,15,Bsh,Bs,B
BJ-Db1,Unaffiliated,CRO,Sub-Saharan Africa,Africa,2022,2024,2,2,100,FALSE,Tropical rainforest,11,NA,NA,NA
SD-Dem,NA,SAV,Northern Africa,Africa,2007,2009,2,2,100,FALSE,Tropical shrubland,14,NA,NA,NA
ZA-Uby,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2023,2024,1,1,100,FALSE,Tropical moist forest,12,Aw,Aw,A
ZA-Spk,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2023,2024,1,1,100,FALSE,Subtropical mountain system,25,Cwb,Cw,C
ZA-Jks,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2024,2024,0,1,NA,FALSE,Subtropical dry forest,22,Csb,Cs,C
ML-Kem,CarboAfrica,WSA,Sub-Saharan Africa,Africa,2007,2009,2,1,50,FALSE,Tropical shrubland,14,Aw,Aw,A
KE-Mkt,Unaffiliated,CRO,Sub-Saharan Africa,Africa,2019,2024,5,1,20,FALSE,Tropical mountain system,16,Bsh,Bs,B
KE-Kpt,Unaffiliated,GRA,Sub-Saharan Africa,Africa,2018,2024,6,1,16.7,TRUE,Tropical mountain system,16,NA,NA,NA
