site_id,location_lat,location_long,ai_value,unep_class,aridity_method
AR-Bal,-37.7596,-58.3024,0.7566,Humid,exact
AR-CCa,-35.621,-61.3181,0.7807000000000001,Humid,exact
AR-CCg,-35.9244,-61.1855,0.7667,Humid,exact
AR-TF1,-54.9733,-66.7335,1.2126000000000001,Humid,exact
AR-TF2,-54.8269,-68.4549,0.9117000000000001,Humid,exact
BR-CST,-7.9682,-38.3842,0.5013000000000001,Dry Sub-Humid,exact
BR-ITA,-23.0604,-48.6467,1.0764,Humid,exact
BR-Ji3,-10.1866,-61.8725,1.8476000000000001,Humid,exact
BR-Ma2,-2.6091,-60.2093,1.9752,Humid,exact
BR-Ma3,-2.3907,-59.8835,1.9913,Humid,exact
BR-Npw,-16.498,-56.412,0.9944000000000001,Humid,exact
BR-Sa1,-2.8567,-54.9589,1.6127,Humid,exact
BR-Sa3,-3.018,-54.9714,1.5936000000000001,Humid,exact
BR-SM1,-30.2771,-53.1479,1.2062000000000002,Humid,exact
BR-Xpw,-16.373,-56.461,0.9997,Humid,exact
CA-ARB,52.695,-83.9452,1.1386,Humid,exact
CA-ARF,52.7008,-83.955,1.1267,Humid,exact
CA-BOU,50.5244,-63.2064,1.8448,Humid,exact
CA-Ca1,49.8673,-125.3336,2.3803,Humid,exact
CA-Ca2,49.8705,-125.2909,2.2007000000000003,Humid,exact
CA-Ca3,49.5346,-124.9004,2.1289000000000002,Humid,exact
CA-Cbo,44.3184,-79.9341,1.1329,Humid,exact
CA-CF1,58.6658,-93.83,0.9860000000000001,Humid,exact
CA-CF2,58.6658,-93.83,0.9860000000000001,Humid,exact
CA-CF3,58.6658,-93.8304,0.9860000000000001,Humid,exact
CA-DB2,49.119,-122.9951,1.7744,Humid,exact
CA-DBB,49.1293,-122.9849,1.8238,Humid,exact
CA-DSM,49.0887,-122.8954,1.7831000000000001,Humid,exact
CA-EM1,50.3623,-100.2024,0.6687000000000001,Humid,exact
CA-EM2,50.3706,-100.5339,0.6595000000000001,Humid,exact
CA-Gro,48.2167,-82.1556,1.1280000000000001,Humid,exact
CA-HPC,68.3203,-133.5188,0.5971000000000001,Dry Sub-Humid,exact
CA-KLP,51.5902,-81.7684,1.1069,Humid,exact
CA-LP1,55.1119,-122.8414,1.0997000000000001,Humid,exact
CA-LU1,59.5951,-117.2862,0.5538000000000001,Dry Sub-Humid,exact
CA-LU2,59.4405,-117.2422,0.5497000000000001,Dry Sub-Humid,exact
CA-MA1,50.1645,-97.8762,0.7329,Humid,exact
CA-MA2,50.171,-97.8762,0.7324,Humid,exact
CA-MA3,50.1774,-97.8686,0.7344,Humid,exact
CA-Man,55.8796,-98.4808,0.8530000000000001,Humid,exact
CA-Mer,45.4094,-75.5186,1.2047,Humid,exact
CA-Mtk,72.6695,-77.9981,0.8112,Humid,exact
CA-Na1,46.4722,-67.1,1.6822000000000001,Humid,exact
CA-Ojp,53.9163,-104.692,0.7127,Humid,exact
CA-PB1,54.9417,-83.4579,1.0883,Humid,exact
CA-PB2,54.9389,-83.4736,1.0873000000000002,Humid,exact
CA-Qc2,49.7598,-74.5711,1.6634,Humid,exact
CA-Qfo,49.6925,-74.3421,1.6927,Humid,exact
CA-RBM,49.1313,-123.1964,1.4918,Humid,exact
CA-SCB,61.3089,-121.2984,0.7012,Humid,exact
CA-SCC,61.3079,-121.2992,0.7002,Humid,exact
CA-SF1,54.485,-105.8176,0.7603000000000001,Humid,exact
CA-SF2,54.2539,-105.8775,0.7308,Humid,exact
CA-SF3,54.0916,-106.0053,0.7185,Humid,exact
CA-SJ2,53.945,-104.649,0.7098,Humid,exact
CA-SMC,63.1534,-123.2522,0.6497,Dry Sub-Humid,exact
CA-TP1,42.6609,-80.5595,1.1596,Humid,exact
CA-TP2,42.7744,-80.4588,1.1576,Humid,exact
CA-TP3,42.7068,-80.3483,1.1678,Humid,exact
CA-TP4,42.7102,-80.3574,1.173,Humid,exact
CA-TPA,42.6947,-80.3487,1.1646,Humid,exact
CA-TPD,42.6353,-80.5577,1.1644,Humid,exact
CA-TVC,68.7462,-133.5017,0.5908,Dry Sub-Humid,exact
CL-ACF,-40.1726,-73.4439,2.7265,Humid,exact
CL-SDF,-41.883,-73.676,3.7939000000000003,Humid,exact
CL-SDP,-41.879,-73.666,3.7791,Humid,exact
CR-Fsc,10.4189,-85.4732,0.9541000000000001,Humid,exact
MX-Aog,26.9968,-108.7892,0.3655,Semi-Arid,exact
MX-PMm,20.8462,-86.8992,0.7725000000000001,Humid,exact
MX-Tes,27.8446,-109.2977,0.3627,Semi-Arid,exact
