site_id,location_lat,location_long,ai_value,unep_class_5,unep_class_7,aridity_method
AR-SLu,-33.4648,-66.4598,0.24480000000000002,Semi-Arid,Semi-Arid,exact
AR-Vir,-28.2395,-56.1886,1.1475,Humid,Humid (moderate),exact
AT-Neu,47.1167,11.3175,1.5045000000000002,Humid,Humid (moderate),exact
AU-Ade,-13.0769,131.1178,0.7246,Humid,Humid (low),exact
AU-ASM,-22.283,133.249,0.1457,Arid,Arid,exact
AU-Cpr,-34.0021,140.5891,0.1442,Arid,Arid,exact
AU-Cum,-33.6152,150.7236,0.6305000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
AU-DaP,-14.0633,131.3181,0.5918,Dry Sub-Humid,Dry Sub-Humid,exact
AU-DaS,-14.1593,131.3881,0.5692,Dry Sub-Humid,Dry Sub-Humid,exact
AU-Dry,-15.2588,132.3706,0.4025,Semi-Arid,Semi-Arid,exact
AU-Emr,-23.8587,148.4746,0.3341,Semi-Arid,Semi-Arid,exact
AU-Fog,-12.5452,131.3072,0.7933,Humid,Humid (low),exact
AU-Gin,-31.3764,115.7138,0.37460000000000004,Semi-Arid,Semi-Arid,exact
AU-GWW,-30.1913,120.6541,0.125,Arid,Arid,exact
AU-How,-12.4943,131.1523,0.8719,Humid,Humid (low),exact
AU-Lox,-34.4704,140.6551,0.1539,Arid,Arid,exact
AU-RDF,-14.5636,132.4776,0.46740000000000004,Semi-Arid,Semi-Arid,exact
AU-Rig,-36.6499,145.5759,0.4302,Semi-Arid,Semi-Arid,exact
AU-Rob,-17.1175,145.6301,1.8353000000000002,Humid,Humid (moderate),exact
AU-Stp,-17.1507,133.3502,0.2741,Semi-Arid,Semi-Arid,exact
AU-TTE,-22.287,133.64,0.1008,Arid,Arid,exact
AU-Tum,-35.6566,148.1517,1.4463000000000001,Humid,Humid (moderate),exact
AU-Wac,-37.4259,145.1878,1.327,Humid,Humid (moderate),exact
AU-Whr,-36.6732,145.0294,0.4179,Semi-Arid,Semi-Arid,exact
AU-Wom,-37.4222,144.0944,1.0042,Humid,Humid (moderate),exact
AU-Ync,-34.9893,146.2907,0.273,Semi-Arid,Semi-Arid,exact
BE-Bra,51.3076,4.5198,1.103,Humid,Humid (moderate),exact
BE-Lon,50.5516,4.7462,1.1205,Humid,Humid (moderate),exact
BE-Vie,50.3049,5.9981,1.6283,Humid,Humid (moderate),exact
BR-Sa1,-2.8567,-54.9589,1.6127,Humid,Humid (moderate),exact
BR-Sa3,-3.018,-54.9714,1.5936000000000001,Humid,Humid (moderate),exact
CA-Gro,48.2167,-82.1556,1.1280000000000001,Humid,Humid (moderate),exact
CA-Man,55.8796,-98.4808,0.8530000000000001,Humid,Humid (low),exact
CA-NS1,55.8792,-98.4839,0.8534,Humid,Humid (low),exact
CA-NS2,55.9058,-98.5247,0.8571000000000001,Humid,Humid (low),exact
CA-NS3,55.9117,-98.3822,0.8634000000000001,Humid,Humid (low),exact
CA-NS4,55.9144,-98.3806,0.8634000000000001,Humid,Humid (low),exact
CA-NS5,55.8631,-98.485,0.8543000000000001,Humid,Humid (low),exact
CA-NS6,55.9167,-98.9644,0.8484,Humid,Humid (low),exact
CA-NS7,56.6358,-99.9483,0.8246,Humid,Humid (low),exact
CA-Oas,53.6289,-106.1978,0.681,Humid,Humid (low),exact
CA-Obs,53.9872,-105.1178,0.6947,Humid,Humid (low),exact
CA-Qfo,49.6925,-74.3421,1.6927,Humid,Humid (moderate),exact
CA-SF1,54.485,-105.8176,0.7603000000000001,Humid,Humid (low),exact
CA-SF2,54.2539,-105.8775,0.7308,Humid,Humid (low),exact
CA-SF3,54.0916,-106.0053,0.7185,Humid,Humid (low),exact
CA-TP1,42.6609,-80.5595,1.1596,Humid,Humid (moderate),exact
CA-TP2,42.7744,-80.4588,1.1576,Humid,Humid (moderate),exact
CA-TP3,42.7068,-80.3483,1.1678,Humid,Humid (moderate),exact
CA-TP4,42.7102,-80.3574,1.173,Humid,Humid (moderate),exact
CA-TPD,42.6353,-80.5577,1.1644,Humid,Humid (moderate),exact
CG-Tch,-4.2892,11.6564,1.1685,Humid,Humid (moderate),exact
CH-Cha,47.2102,8.4104,1.6485,Humid,Humid (moderate),exact
CH-Dav,46.8153,9.8559,1.5879,Humid,Humid (moderate),exact
CH-Fru,47.1158,8.5378,2.176,Humid,Hyper-Humid,exact
CH-Lae,47.4783,8.3644,1.7717,Humid,Humid (moderate),exact
CH-Oe1,47.2858,7.7319,1.5710000000000002,Humid,Humid (moderate),exact
CH-Oe2,47.2864,7.7337,1.5711000000000002,Humid,Humid (moderate),exact
