site_id,location_lat,location_long,ai_value,unep_class_5,unep_class_7,aridity_method
AT-Neu,47.116668701171875,11.317500114440918,1.5045000000000002,Humid,Humid (moderate),exact
AU-Fog,-12.542499542236328,131.3070068359375,0.7933,Humid,Humid (low),exact
AU-How,-12.49429988861084,131.15199279785156,0.8719,Humid,Humid (low),exact
AU-Tum,-35.65570068359375,148.15199279785156,1.4463000000000001,Humid,Humid (moderate),exact
AU-Wac,-37.42900085449219,145.18699645996094,1.327,Humid,Humid (moderate),exact
BE-Bra,51.309200286865234,4.520559787750244,1.1023,Humid,Humid (moderate),exact
BE-Jal,50.56389999389648,6.073329925537109,1.6540000000000001,Humid,Humid (moderate),exact
BE-Lon,50.55220031738281,4.744939804077148,1.1205,Humid,Humid (moderate),exact
BE-Vie,50.30550003051758,5.996829986572266,1.6283,Humid,Humid (moderate),exact
BR-Ban,-9.824419975280762,-50.15909957885742,1.31,Humid,Humid (moderate),exact
BR-Cax,-1.7197200059890747,-51.45899963378906,1.7623,Humid,Humid (moderate),exact
BR-Ji1,-10.761799812316896,-62.357200622558594,1.7100000000000002,Humid,Humid (moderate),exact
BR-Ji2,-10.083200454711914,-61.93090057373047,1.8555000000000001,Humid,Humid (moderate),exact
BR-Ma2,-2.609100103378296,-60.20930099487305,1.9752,Humid,Humid (moderate),exact
BR-Sa1,-2.8566699028015137,-54.95890045166016,1.6127,Humid,Humid (moderate),exact
BR-Sa2,-3.011899948120117,-54.5364990234375,1.499,Humid,Humid (moderate),exact
BR-Sa3,-3.0180299282073975,-54.97140121459961,1.5936000000000001,Humid,Humid (moderate),exact
BR-Sp1,-21.61949920654297,-47.649898529052734,1.1042,Humid,Humid (moderate),exact
BW-Ghg,-21.510000228881836,21.739999771118164,0.16920000000000002,Arid,Arid,exact
BW-Ghm,-21.200000762939453,21.75,0.16570000000000001,Arid,Arid,exact
BW-Ma1,-19.91550064086914,23.56049919128418,0.1874,Arid,Arid,exact
CA-Ca1,49.8671989440918,-125.33399963378906,2.3803,Humid,Hyper-Humid,exact
CA-Ca2,49.87049865722656,-125.29100036621094,2.2007000000000003,Humid,Hyper-Humid,exact
CA-Ca3,49.53459930419922,-124.9000015258789,2.1289000000000002,Humid,Hyper-Humid,exact
CA-Gro,48.21670150756836,-82.15560150146484,1.1280000000000001,Humid,Humid (moderate),exact
CA-Let,49.70930099487305,-112.94000244140624,0.3578,Semi-Arid,Semi-Arid,exact
CA-Man,55.879600524902344,-98.48079681396484,0.8530000000000001,Humid,Humid (low),exact
CA-Mer,45.409400939941406,-75.51860046386719,1.2047,Humid,Humid (moderate),exact
CA-NS1,55.87919998168945,-98.48390197753906,0.8534,Humid,Humid (low),exact
CA-NS2,55.905799865722656,-98.52469635009766,0.8571000000000001,Humid,Humid (low),exact
CA-NS3,55.91170120239258,-98.3822021484375,0.8634000000000001,Humid,Humid (low),exact
CA-NS4,55.91170120239258,-98.3822021484375,0.8634000000000001,Humid,Humid (low),exact
CA-NS5,55.86309814453125,-98.48500061035156,0.8543000000000001,Humid,Humid (low),exact
CA-NS6,55.91669845581055,-98.9644012451172,0.8484,Humid,Humid (low),exact
CA-NS7,56.635799407958984,-99.94830322265624,0.8246,Humid,Humid (low),exact
CA-Oas,53.62889862060547,-106.197998046875,0.681,Humid,Humid (low),exact
CA-Obs,53.98720169067383,-105.11799621582033,0.6947,Humid,Humid (low),exact
CA-Ojp,53.91630172729492,-104.69200134277344,0.7127,Humid,Humid (low),exact
CA-Qcu,49.2671012878418,-74.0364990234375,1.6507,Humid,Humid (moderate),exact
CA-Qfo,49.692501068115234,-74.34210205078125,1.6927,Humid,Humid (moderate),exact
CA-SF1,54.48500061035156,-105.81800079345705,0.7603000000000001,Humid,Humid (low),exact
CA-SF2,54.25389862060547,-105.87799835205078,0.7308,Humid,Humid (low),exact
CA-SF3,54.09159851074219,-106.00499725341795,0.7185,Humid,Humid (low),exact
CA-SJ1,53.90800094604492,-104.65599822998048,0.7068,Humid,Humid (low),exact
CA-SJ2,53.94499969482422,-104.64900207519533,0.7098,Humid,Humid (low),exact
CA-SJ3,53.87580108642578,-104.6449966430664,0.7006,Humid,Humid (low),exact
CA-TP1,42.6609001159668,-80.55950164794922,1.1596,Humid,Humid (moderate),exact
CA-TP2,42.77439880371094,-80.45880126953125,1.1576,Humid,Humid (moderate),exact
CA-TP3,42.7067985534668,-80.348297119140625,1.1678,Humid,Humid (moderate),exact
CA-TP4,42.70980072021485,-80.3573989868164,1.173,Humid,Humid (moderate),exact
