site_id,location_lat,location_long,ai_value,unep_class_5,unep_class_7,aridity_method
UK-Gri,56.60721969604492,-3.798059940338135,2.4888,Humid,Hyper-Humid,exact
US-Atq,70.46959686279297,-157.4089965820312,0.5095000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-Brw,71.32250213623047,-156.6259002685547,0.5747,Dry Sub-Humid,Dry Sub-Humid,exact
US-HVa,69.13330078125,-148.8329925537109,0.5862,Dry Sub-Humid,Dry Sub-Humid,exact
US-Blo,38.89519882202148,-120.6327514648438,1.1022,Humid,Humid (moderate),exact
US-NR1,40.03290176391602,-105.5459976196289,0.5048,Dry Sub-Humid,Dry Sub-Humid,exact
BE-Bra,51.30920028686523,4.520559787750244,1.1023,Humid,Humid (moderate),exact
US-Bo1,40.00619888305664,-88.29039764404297,0.9748,Humid,Humid (low),exact
IT-Cpz,41.7052001953125,12.37609958648682,0.7343000000000001,Humid,Humid (low),exact
US-Dk3,35.97819900512695,-79.09420013427734,0.9898,Humid,Humid (low),exact
SE-Fla,64.11280059814453,19.45689964294434,1.3834,Humid,Humid (moderate),exact
IS-Gun,63.83330154418945,-20.21669960021973,2.6545,Humid,Hyper-Humid,exact
FR-Hes,48.67419815063477,7.064620018005371,1.0959,Humid,Humid (moderate),exact
US-Ho1,45.2041015625,-68.74019622802734,1.3368,Humid,Humid (moderate),exact
US-Ha1,42.53779983520508,-72.17150115966797,1.3047,Humid,Humid (moderate),exact
FI-Hyy,61.8474006652832,24.2947998046875,1.3074000000000001,Humid,Humid (moderate),exact
CA-Ojp,53.91630172729492,-104.6920013427734,0.7127,Humid,Humid (low),exact
NL-Loo,52.16790008544922,5.743959903717041,1.2784,Humid,Humid (moderate),exact
US-LWW,34.96039962768555,-97.97889709472656,0.5014000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
BR-Ma2,-2.609100103378296,-60.20930099487305,1.9752,Humid,Humid (moderate),exact
US-Me2,44.45230102539062,-121.5574035644531,0.8419000000000001,Humid,Humid (low),exact
CA-Obs,53.98720169067383,-105.1179962158203,0.6947,Humid,Humid (low),exact
SE-Nor,60.08649826049805,17.4795036315918,1.0546,Humid,Humid (moderate),exact
US-Pon,36.76670074462891,-97.13330078125,0.6001000000000001,Dry Sub-Humid,Dry Sub-Humid,exact
US-SO2,33.3739013671875,-116.6228866577148,0.33290000000000003,Semi-Arid,Semi-Arid,exact
US-SO3,33.37720108032227,-116.622688293457,0.3513,Semi-Arid,Semi-Arid,exact
DK-Sor,55.48690032958984,11.64579963684082,0.9109,Humid,Humid (low),exact
DE-Tha,50.96360015869141,13.5669002532959,1.0115,Humid,Humid (moderate),exact
US-Upa,70.28150177001953,-148.8849945068359,0.6976,Humid,Humid (low),exact
BE-Vie,50.30550003051758,5.996829986572266,1.6283,Humid,Humid (moderate),exact
US-WBW,35.95880126953125,-84.28739929199219,1.1607,Humid,Humid (moderate),exact
DE-Bay,50.14189910888672,11.86690044403076,1.8325,Humid,Humid (moderate),exact
US-PFa,45.94589996337891,-90.27230072021484,1.0739,Humid,Humid (moderate),exact
US-WCr,45.80590057373047,-90.07990264892578,1.096,Humid,Humid (moderate),exact
US-Wrc,45.82049942016602,-121.9520034790039,2.2241,Humid,Hyper-Humid,exact
