site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30,biomass_bin_12,biomass_bin_18,biomass_bin_20
AR-Bal,-37.7596,-58.3024,14,3,13.0–27.0 Mg/ha,exact,7,4,5,5
AR-CCa,-35.621,-61.3181,7,2,5–13.0 Mg/ha,exact,3,2,2,3
AR-CCg,-35.9244,-61.1855,4,1,0–5 Mg/ha,exact,1,1,1,1
AR-TF1,-54.9733,-66.7335,35,4,27.0–51.0 Mg/ha,exact,13,6,8,9
AR-TF2,-54.8269,-68.4549,45,4,27.0–51.0 Mg/ha,exact,15,7,9,10
BR-CST,-7.9682,-38.3842,18,3,13.0–27.0 Mg/ha,exact,9,4,6,6
BR-ITA,-23.0604,-48.6467,70,5,51.0–94.0 Mg/ha,exact,19,8,11,13
BR-Ji3,-10.1866,-61.8725,248,7,>171.0 Mg/ha,exact,28,11,17,19
BR-Ma2,-2.6091,-60.2093,264,7,>171.0 Mg/ha,exact,28,12,17,19
BR-Ma3,-2.3907,-59.8835,242,7,>171.0 Mg/ha,exact,28,11,17,19
BR-Npw,-16.498,-56.412,52,5,51.0–94.0 Mg/ha,exact,16,7,10,11
BR-Sa1,-2.8567,-54.9589,253,7,>171.0 Mg/ha,exact,28,11,17,19
BR-Sa3,-3.018,-54.9714,265,7,>171.0 Mg/ha,exact,28,12,17,19
BR-SM1,-30.2771,-53.1479,8,2,5–13.0 Mg/ha,exact,4,2,3,3
BR-Xpw,-16.373,-56.461,9,2,5–13.0 Mg/ha,exact,4,3,3,3
CA-ARB,52.695,-83.9452,29,4,27.0–51.0 Mg/ha,exact,12,5,8,8
CA-ARF,52.7008,-83.955,49,4,27.0–51.0 Mg/ha,exact,16,7,10,11
CA-BOU,50.5244,-63.2064,80,5,51.0–94.0 Mg/ha,exact,20,8,12,13
CA-Ca1,49.8673,-125.3336,151,6,94.0–171.0 Mg/ha,exact,25,10,15,17
CA-Ca2,49.8705,-125.2909,232,7,>171.0 Mg/ha,exact,27,11,17,18
CA-Ca3,49.5346,-124.9004,296,7,>171.0 Mg/ha,exact,29,12,18,20
CA-Cbo,44.3184,-79.9341,163,6,94.0–171.0 Mg/ha,exact,25,11,15,17
