site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method
AR-SLu,-33.4648,-66.4598,28,4,27.0–51.0 Mg/ha,exact
AR-Vir,-28.2395,-56.1886,75,5,51.0–94.0 Mg/ha,exact
AT-Neu,47.1167,11.3175,69,5,51.0–94.0 Mg/ha,exact
AU-Ade,-13.0769,131.1178,8,2,5–13.0 Mg/ha,exact
AU-ASM,-22.283,133.249,16,3,13.0–27.0 Mg/ha,exact
AU-Cpr,-34.0021,140.5891,0,1,0–5 Mg/ha,exact
AU-Cum,-33.6152,150.7236,87,5,51.0–94.0 Mg/ha,exact
AU-DaP,-14.0633,131.3181,6,2,5–13.0 Mg/ha,exact
AU-DaS,-14.1593,131.3881,8,2,5–13.0 Mg/ha,exact
AU-Dry,-15.2588,132.3706,6,2,5–13.0 Mg/ha,exact
AU-Emr,-23.8587,148.4746,0,1,0–5 Mg/ha,exact
AU-Fog,-12.5452,131.3072,53,5,51.0–94.0 Mg/ha,exact
AU-Gin,-31.3764,115.7138,128,6,94.0–171.0 Mg/ha,exact
AU-GWW,-30.1913,120.6541,7,2,5–13.0 Mg/ha,exact
AU-How,-12.4943,131.1523,30,4,27.0–51.0 Mg/ha,exact
AU-Lox,-34.4704,140.6551,2,1,0–5 Mg/ha,exact
AU-RDF,-14.5636,132.4776,6,2,5–13.0 Mg/ha,exact
AU-Rig,-36.6499,145.5759,0,1,0–5 Mg/ha,exact
AU-Rob,-17.1175,145.6301,296,7,>171.0 Mg/ha,exact
AU-Stp,-17.1507,133.3502,1,1,0–5 Mg/ha,exact
AU-TTE,-22.287,133.64,1,1,0–5 Mg/ha,exact
AU-Tum,-35.6566,148.1517,120,6,94.0–171.0 Mg/ha,exact
AU-Wac,-37.4259,145.1878,230,7,>171.0 Mg/ha,exact
AU-Whr,-36.6732,145.0294,74,5,51.0–94.0 Mg/ha,exact
AU-Wom,-37.4222,144.0944,214,7,>171.0 Mg/ha,exact
AU-Ync,-34.9893,146.2907,0,1,0–5 Mg/ha,exact
BE-Bra,51.3076,4.5198,100,6,94.0–171.0 Mg/ha,exact
BE-Lon,50.5516,4.7462,8,2,5–13.0 Mg/ha,exact
BE-Vie,50.3049,5.9981,149,6,94.0–171.0 Mg/ha,exact
BR-Sa1,-2.8567,-54.9589,253,7,>171.0 Mg/ha,exact
BR-Sa3,-3.018,-54.9714,265,7,>171.0 Mg/ha,exact
CA-Gro,48.2167,-82.1556,196,7,>171.0 Mg/ha,exact
CA-Man,55.8796,-98.4808,105,6,94.0–171.0 Mg/ha,exact
CA-NS1,55.8792,-98.4839,105,6,94.0–171.0 Mg/ha,exact
CA-NS2,55.9058,-98.5247,94,6,94.0–171.0 Mg/ha,exact
CA-NS3,55.9117,-98.3822,77,5,51.0–94.0 Mg/ha,exact
CA-NS4,55.9144,-98.3806,77,5,51.0–94.0 Mg/ha,exact
CA-NS5,55.8631,-98.485,110,6,94.0–171.0 Mg/ha,exact
CA-NS6,55.9167,-98.9644,124,6,94.0–171.0 Mg/ha,exact
CA-NS7,56.6358,-99.9483,77,5,51.0–94.0 Mg/ha,exact
CA-Oas,53.6289,-106.1978,161,6,94.0–171.0 Mg/ha,exact
CA-Obs,53.9872,-105.1178,119,6,94.0–171.0 Mg/ha,exact
CA-Qfo,49.6925,-74.3421,94,6,94.0–171.0 Mg/ha,exact
CA-SF1,54.485,-105.8176,63,5,51.0–94.0 Mg/ha,exact
CA-SF2,54.2539,-105.8775,139,6,94.0–171.0 Mg/ha,exact
CA-SF3,54.0916,-106.0053,160,6,94.0–171.0 Mg/ha,exact
CA-TP1,42.6609,-80.5595,55,5,51.0–94.0 Mg/ha,exact
CA-TP2,42.7744,-80.4588,103,6,94.0–171.0 Mg/ha,exact
CA-TP3,42.7068,-80.3483,124,6,94.0–171.0 Mg/ha,exact
CA-TP4,42.7102,-80.3574,134,6,94.0–171.0 Mg/ha,exact
CA-TPD,42.6353,-80.5577,145,6,94.0–171.0 Mg/ha,exact
CG-Tch,-4.2892,11.6564,1,1,0–5 Mg/ha,exact
CH-Cha,47.2102,8.4104,39,4,27.0–51.0 Mg/ha,exact
CH-Dav,46.8153,9.8559,39,4,27.0–51.0 Mg/ha,exact
CH-Fru,47.1158,8.5378,52,5,51.0–94.0 Mg/ha,exact
CH-Lae,47.4783,8.3644,259,7,>171.0 Mg/ha,exact
CH-Oe1,47.2858,7.7319,48,4,27.0–51.0 Mg/ha,exact
CH-Oe2,47.2864,7.7337,48,4,27.0–51.0 Mg/ha,exact
CN-Cha,42.4025,128.0958,102,6,94.0–171.0 Mg/ha,exact
