site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30
AT-Neu,47.116668701171875,11.317500114440918,69,5,51.0–94.0 Mg/ha,exact,18
AU-Fog,-12.542499542236328,131.3070068359375,53,5,51.0–94.0 Mg/ha,exact,16
AU-How,-12.49429988861084,131.15199279785156,30,4,27.0–51.0 Mg/ha,exact,12
AU-Tum,-35.65570068359375,148.15199279785156,120,6,94.0–171.0 Mg/ha,exact,23
AU-Wac,-37.42900085449219,145.18699645996094,230,7,>171.0 Mg/ha,exact,27
BE-Bra,51.309200286865234,4.520559787750244,112,6,94.0–171.0 Mg/ha,exact,22
BE-Jal,50.56389999389648,6.073329925537109,182,7,>171.0 Mg/ha,exact,26
BE-Lon,50.55220031738281,4.744939804077148,8,2,5–13.0 Mg/ha,exact,4
BE-Vie,50.30550003051758,5.996829986572266,149,6,94.0–171.0 Mg/ha,exact,25
BR-Ban,-9.824419975280762,-50.15909957885742,92,5,51.0–94.0 Mg/ha,exact,21
BR-Cax,-1.7197200059890747,-51.45899963378906,288,7,>171.0 Mg/ha,exact,29
BR-Ji1,-10.761799812316896,-62.357200622558594,5,2,5–13.0 Mg/ha,exact,2
BR-Ji2,-10.083200454711914,-61.93090057373047,129,6,94.0–171.0 Mg/ha,exact,24
BR-Ma2,-2.609100103378296,-60.20930099487305,264,7,>171.0 Mg/ha,exact,28
BR-Sa1,-2.8566699028015137,-54.95890045166016,253,7,>171.0 Mg/ha,exact,28
BR-Sa2,-3.011899948120117,-54.5364990234375,99,6,94.0–171.0 Mg/ha,exact,21
BR-Sa3,-3.0180299282073975,-54.97140121459961,265,7,>171.0 Mg/ha,exact,28
BR-Sp1,-21.61949920654297,-47.649898529052734,35,4,27.0–51.0 Mg/ha,exact,13
BW-Ghg,-21.510000228881836,21.739999771118164,4,1,0–5 Mg/ha,exact,1
BW-Ghm,-21.200000762939453,21.75,10,2,5–13.0 Mg/ha,exact,5
BW-Ma1,-19.91550064086914,23.56049919128418,6,2,5–13.0 Mg/ha,exact,2
CA-Ca1,49.8671989440918,-125.33399963378906,151,6,94.0–171.0 Mg/ha,exact,25
CA-Ca2,49.87049865722656,-125.29100036621094,232,7,>171.0 Mg/ha,exact,27
CA-Ca3,49.53459930419922,-124.9000015258789,296,7,>171.0 Mg/ha,exact,29
CA-Gro,48.21670150756836,-82.15560150146484,196,7,>171.0 Mg/ha,exact,27
CA-Let,49.70930099487305,-112.94000244140624,0,1,0–5 Mg/ha,exact,1
CA-Man,55.879600524902344,-98.48079681396484,105,6,94.0–171.0 Mg/ha,exact,22
CA-Mer,45.409400939941406,-75.51860046386719,69,5,51.0–94.0 Mg/ha,exact,18
CA-NS1,55.87919998168945,-98.48390197753906,105,6,94.0–171.0 Mg/ha,exact,22
CA-NS2,55.905799865722656,-98.52469635009766,94,6,94.0–171.0 Mg/ha,exact,21
CA-NS3,55.91170120239258,-98.3822021484375,77,5,51.0–94.0 Mg/ha,exact,19
CA-NS4,55.91170120239258,-98.3822021484375,77,5,51.0–94.0 Mg/ha,exact,19
CA-NS5,55.86309814453125,-98.48500061035156,110,6,94.0–171.0 Mg/ha,exact,22
CA-NS6,55.91669845581055,-98.9644012451172,124,6,94.0–171.0 Mg/ha,exact,23
CA-NS7,56.635799407958984,-99.94830322265624,77,5,51.0–94.0 Mg/ha,exact,19
CA-Oas,53.62889862060547,-106.197998046875,161,6,94.0–171.0 Mg/ha,exact,25
CA-Obs,53.98720169067383,-105.11799621582033,119,6,94.0–171.0 Mg/ha,exact,23
CA-Ojp,53.91630172729492,-104.69200134277344,89,5,51.0–94.0 Mg/ha,exact,20
CA-Qcu,49.2671012878418,-74.0364990234375,79,5,51.0–94.0 Mg/ha,exact,19
CA-Qfo,49.692501068115234,-74.34210205078125,94,6,94.0–171.0 Mg/ha,exact,21
CA-SF1,54.48500061035156,-105.81800079345705,63,5,51.0–94.0 Mg/ha,exact,18
CA-SF2,54.25389862060547,-105.87799835205078,139,6,94.0–171.0 Mg/ha,exact,24
CA-SF3,54.09159851074219,-106.00499725341795,160,6,94.0–171.0 Mg/ha,exact,25
CA-SJ1,53.90800094604492,-104.65599822998048,92,5,51.0–94.0 Mg/ha,exact,21
CA-SJ2,53.94499969482422,-104.64900207519533,74,5,51.0–94.0 Mg/ha,exact,19
CA-SJ3,53.87580108642578,-104.6449966430664,95,6,94.0–171.0 Mg/ha,exact,21
CA-TP1,42.6609001159668,-80.55950164794922,55,5,51.0–94.0 Mg/ha,exact,17
CA-TP2,42.77439880371094,-80.45880126953125,103,6,94.0–171.0 Mg/ha,exact,22
CA-TP3,42.7067985534668,-80.348297119140625,124,6,94.0–171.0 Mg/ha,exact,23
CA-TP4,42.70980072021485,-80.3573989868164,110,6,94.0–171.0 Mg/ha,exact,22
CA-WP1,54.953800201416016,-112.46700286865234,122,6,94.0–171.0 Mg/ha,exact,23
CA-WP2,55.537498474121094,-112.33399963378906,85,5,51.0–94.0 Mg/ha,exact,20
CA-WP3,54.470001220703125,-113.31999969482422,108,6,94.0–171.0 Mg/ha,exact,22
CG-Tch,-4.289169788360596,11.656399726867676,1,1,0–5 Mg/ha,exact,1
CH-Oe1,47.28559875488281,7.732140064239502,48,4,27.0–51.0 Mg/ha,exact,16
CH-Oe2,47.28630065917969,7.734330177307129,48,4,27.0–51.0 Mg/ha,exact,16
CN-Anh,33,117,0,1,0–5 Mg/ha,exact,1
CN-Bed,39.53060150146485,116.2519989013672,2,1,0–5 Mg/ha,exact,1
CN-Cha,42.40250015258789,128.0959930419922,102,6,94.0–171.0 Mg/ha,exact,22
CN-Do1,31.516700744628903,121.96099853515624,0,1,0–5 Mg/ha,exact,1
CN-Do2,31.584699630737305,121.90299987792967,0,1,0–5 Mg/ha,exact,1
CN-Do3,31.51689910888672,121.97200012207033,0,1,0–5 Mg/ha,exact,1
CN-Du1,42.04560089111328,116.6709976196289,0,1,0–5 Mg/ha,exact,1
CN-Du2,42.04669952392578,116.28399658203124,0,1,0–5 Mg/ha,exact,1
CN-HaM,37.369998931884766,101.18000030517578,0,1,0–5 Mg/ha,exact,1
CN-Hny,29.309999465942383,112.51000213623048,2,1,0–5 Mg/ha,exact,1
CN-Ku1,40.538299560546875,108.69400024414062,0,1,0–5 Mg/ha,exact,1
CN-Ku2,40.38079833984375,108.54900360107422,0,1,0–5 Mg/ha,exact,1
CN-Xfs,44.1341667175293,116.32861328125,0,1,0–5 Mg/ha,exact,1
CN-Xi1,43.54583358764648,116.6777801513672,0,1,0–5 Mg/ha,exact,1
CN-Xi2,43.55440139770508,116.6709976196289,0,1,0–5 Mg/ha,exact,1
CZ-BK1,49.50260162353515,18.538400650024418,243,7,>171.0 Mg/ha,exact,28
CZ-BK2,49.49530029296875,18.544700622558594,222,7,>171.0 Mg/ha,exact,27
CZ-wet,49.025001525878906,14.772000312805176,55,5,51.0–94.0 Mg/ha,exact,17
DE-Bay,50.14189910888672,11.866900444030762,181,7,>171.0 Mg/ha,exact,26
DE-Geb,51.100101470947266,10.914299964904783,0,1,0–5 Mg/ha,exact,1
DE-Gri,50.949501037597656,13.512499809265137,135,6,94.0–171.0 Mg/ha,exact,24
DE-Hai,51.07929992675781,10.45199966430664,205,7,>171.0 Mg/ha,exact,27
DE-Har,47.93439865112305,7.60099983215332,49,4,27.0–51.0 Mg/ha,exact,16
DE-Kli,50.89289855957031,13.522500038146973,29,4,27.0–51.0 Mg/ha,exact,12
