site_id,location_lat,location_long,biomass_value_mg_ha,biomass_bin,biomass_bin_label,biomass_method,biomass_bin_30
UK-Gri,56.60721969604492,-3.798059940338135,114,6,94.0–171.0 Mg/ha,exact,22
US-Atq,70.46959686279297,-157.4089965820312,10,2,5–13.0 Mg/ha,exact,5
US-Brw,71.32250213623047,-156.6259002685547,2,1,0–5 Mg/ha,exact,1
US-HVa,69.13330078125,-148.8329925537109,0,1,0–5 Mg/ha,exact,1
US-Blo,38.89519882202148,-120.6327514648438,272,7,>171.0 Mg/ha,exact,28
US-NR1,40.03290176391602,-105.5459976196289,53,5,51.0–94.0 Mg/ha,exact,16
BE-Bra,51.30920028686523,4.520559787750244,112,6,94.0–171.0 Mg/ha,exact,22
US-Bo1,40.00619888305664,-88.29039764404297,0,1,0–5 Mg/ha,exact,1
IT-Cpz,41.7052001953125,12.37609958648682,39,4,27.0–51.0 Mg/ha,exact,14
US-Dk3,35.97819900512695,-79.09420013427734,155,6,94.0–171.0 Mg/ha,exact,25
SE-Fla,64.11280059814453,19.45689964294434,71,5,51.0–94.0 Mg/ha,exact,19
IS-Gun,63.83330154418945,-20.21669960021973,0,1,0–5 Mg/ha,exact,1
FR-Hes,48.67419815063477,7.064620018005371,124,6,94.0–171.0 Mg/ha,exact,23
US-Ho1,45.2041015625,-68.74019622802734,134,6,94.0–171.0 Mg/ha,exact,24
US-Ha1,42.53779983520508,-72.17150115966797,169,6,94.0–171.0 Mg/ha,exact,26
FI-Hyy,61.8474006652832,24.2947998046875,114,6,94.0–171.0 Mg/ha,exact,22
CA-Ojp,53.91630172729492,-104.6920013427734,89,5,51.0–94.0 Mg/ha,exact,20
NL-Loo,52.16790008544922,5.743959903717041,150,6,94.0–171.0 Mg/ha,exact,25
US-LWW,34.96039962768555,-97.97889709472656,0,1,0–5 Mg/ha,exact,1
BR-Ma2,-2.609100103378296,-60.20930099487305,264,7,>171.0 Mg/ha,exact,28
US-Me2,44.45230102539062,-121.5574035644531,44,4,27.0–51.0 Mg/ha,exact,15
CA-Obs,53.98720169067383,-105.1179962158203,119,6,94.0–171.0 Mg/ha,exact,23
SE-Nor,60.08649826049805,17.4795036315918,94,6,94.0–171.0 Mg/ha,exact,21
US-Pon,36.76670074462891,-97.13330078125,2,1,0–5 Mg/ha,exact,1
US-SO2,33.3739013671875,-116.6228866577148,20,3,13.0–27.0 Mg/ha,exact,9
US-SO3,33.37720108032227,-116.622688293457,20,3,13.0–27.0 Mg/ha,exact,9
DK-Sor,55.48690032958984,11.64579963684082,82,5,51.0–94.0 Mg/ha,exact,20
DE-Tha,50.96360015869141,13.5669002532959,170,6,94.0–171.0 Mg/ha,exact,26
US-Upa,70.28150177001953,-148.8849945068359,1,1,0–5 Mg/ha,exact,1
BE-Vie,50.30550003051758,5.996829986572266,149,6,94.0–171.0 Mg/ha,exact,25
US-WBW,35.95880126953125,-84.28739929199219,118,6,94.0–171.0 Mg/ha,exact,23
DE-Bay,50.14189910888672,11.86690044403076,181,7,>171.0 Mg/ha,exact,26
US-PFa,45.94589996337891,-90.27230072021484,117,6,94.0–171.0 Mg/ha,exact,23
US-WCr,45.80590057373047,-90.07990264892578,112,6,94.0–171.0 Mg/ha,exact,22
US-Wrc,45.82049942016602,-121.9520034790039,264,7,>171.0 Mg/ha,exact,28
