site_id,data_hub,igbp,un_subregion,continent,first_year,last_year,span_years,n_years_valid_nee,pct_coverage,currently_selected,gez_name,gez_code,kg_class,kg_second,kg_main,mat_worldclim,map_worldclim,aridity_index,aridity_class
BJ-Nhu,Unaffiliated,SAV,Sub-Saharan Africa,Africa,2008,2017,9,6,66.7,TRUE,Tropical moist forest,12,Aw,Aw,A,26.350666046142575,1205,0.6811,Humid
SN-Nkr,European Fluxes Database,CRO,Sub-Saharan Africa,Africa,2018,2024,6,6,100,TRUE,Tropical dry forest,13,Aw,Aw,A,27.456167221069336,529,0.2519,Semi-arid
ZA-BfK,EFTEON SAEON;European Fluxes Database,OSH,Sub-Saharan Africa,Africa,2020,2024,4,4,100,FALSE,Tropical desert,15,Bsh,Bs,B,18.048166275024418,440,0.2346,Semi-arid
CD-Ygb,European Fluxes Database;ICOS,MF,Sub-Saharan Africa,Africa,2020,2024,4,3,75,FALSE,Tropical rainforest,11,Af,Af,A,24.28300094604492,1774,1.5046,Humid
BJ-Bfg,Unaffiliated,DBF,Sub-Saharan Africa,Africa,2008,2017,9,3,33.3,TRUE,Tropical moist forest,12,NA,NA,NA,26.533666610717773,1173,0.6861,Humid
SN-Dhr,CarboAfrica;European Fluxes Database;GHG-Europe,GRA,Sub-Saharan Africa,Africa,2010,2022,12,3,25,TRUE,Tropical shrubland,14,Aw,Aw,A,28.160667419433594,387,0.1584,Arid
ZA-BfS,EFTEON SAEON;European Fluxes Database,OSH,Sub-Saharan Africa,Africa,2020,2024,4,2,50,FALSE,Tropical desert,15,Bsh,Bs,B,18.018667221069336,437,0.233,Semi-arid
BJ-Db1,Unaffiliated,CRO,Sub-Saharan Africa,Africa,2022,2024,2,2,100,FALSE,Tropical rainforest,11,NA,NA,NA,27.347333908081055,1194,0.8524,Humid
ZA-Uby,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2023,2024,1,1,100,FALSE,Tropical moist forest,12,Aw,Aw,A,22.23200035095215,793,0.5601,Dry sub-humid
ZA-Spk,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2023,2024,1,1,100,FALSE,Subtropical mountain system,25,Cwb,Cw,C,17.641332626342773,801,0.5687,Dry sub-humid
ZA-Jks,EFTEON SAEON;European Fluxes Database,GRA,Sub-Saharan Africa,Africa,2024,2024,0,1,NA,FALSE,Subtropical dry forest,22,Csb,Cs,C,15.134833335876465,839,0.6355,Dry sub-humid
ML-Kem,CarboAfrica,WSA,Sub-Saharan Africa,Africa,2007,2009,2,1,50,FALSE,Tropical shrubland,14,Aw,Aw,A,29.992834091186523,306,0.1099,Arid
KE-Mkt,Unaffiliated,CRO,Sub-Saharan Africa,Africa,2019,2024,5,1,20,FALSE,Tropical mountain system,16,Bsh,Bs,B,21.652833938598633,645,0.421,Semi-arid
KE-Kpt,Unaffiliated,GRA,Sub-Saharan Africa,Africa,2018,2024,6,1,16.7,TRUE,Tropical mountain system,16,NA,NA,NA,18.98699951171875,572,0.3797,Semi-arid
BW-Gum,Unaffiliated,WET,Sub-Saharan Africa,Africa,2018,2020,2,1,50,FALSE,Tropical dry forest,13,Bsh,Bs,B,23.19183349609375,462,0.2209,Semi-arid
GH-Ank,CarboAfrica;European Fluxes Database,EBF,Sub-Saharan Africa,Africa,2011,2014,3,1,33.3,FALSE,Tropical rainforest,11,NA,NA,NA,26.374834060668945,1874,1.4441,Humid
US-Ha1,AmeriFlux;LTER;Phenocam,DBF,Northern America,Americas,1991,2025,34,33,97.1,TRUE,Temperate mountain system,35,Dfb,Df,D,7.120166778564453,1103,1.3047,Humid
US-MMS,AmeriFlux;Phenocam,DBF,Northern America,Americas,1999,2023,24,25,104.2,TRUE,Temperate continental forest,32,Cfa,Cf,C,11.230833053588867,1092,1.0892,Humid
US-Ton,AmeriFlux;Phenocam,WSA,Northern America,Americas,2001,2025,24,24,100,TRUE,Subtropical mountain system,25,Csa,Cs,C,16.239665985107422,623,0.4123,Semi-arid
US-Ne1,AmeriFlux,CRO,Northern America,Americas,2001,2024,23,23,100,TRUE,Temperate steppe,33,Dfa,Df,D,10.27483367919922,799,0.6666,Humid
CA-Mer,AmeriFlux;Fluxnet-Canada;Phenocam,WET,Northern America,Americas,1998,2020,22,22,100,FALSE,Temperate continental forest,32,Dfb,Df,D,5.511833667755127,943,1.2047,Humid
US-Ne3,AmeriFlux,CRO,Northern America,Americas,2001,2024,23,22,95.7,FALSE,Temperate steppe,33,Dfa,Df,D,10.188833236694336,797,0.6652,Humid
US-SRM,AmeriFlux;LTAR;Phenocam,WSA,Northern America,Americas,2004,2025,21,22,104.8,FALSE,Subtropical desert,24,BSk,BS,B,18.298166275024418,474,0.2203,Semi-arid
US-Ne2,AmeriFlux,CRO,Northern America,Americas,2001,2024,23,21,91.3,TRUE,Temperate steppe,33,Dfa,Df,D,10.27483367919922,799,0.6686,Humid
US-CMW,AmeriFlux,DBF,Northern America,Americas,2001,2021,20,19,95,FALSE,Subtropical desert,24,Bsh,Bs,B,17.609832763671875,352,0.1689,Arid
US-Seg,AmeriFlux;Phenocam,GRA,Northern America,Americas,2007,2025,18,19,105.6,FALSE,Subtropical steppe,23,BSk,BS,B,13.015666961669922,255,0.1365,Arid
