site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee,network
AR-SLu,MF,-33.4648,-66.4598,1,1,1,1,1,1269.67,2550.07,1179.32,356.5738306285714,67.8983,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AR-Vir,ENF,-28.2395,-56.1886,0,0,0,1,1,NA,NA,NA,1172.322333844898,-5.2878,NA,NA,NA,NA,NA,NA,fluxnet2015
AT-Neu,GRA,47.1167,11.3175,11,11,11,11,11,-326.481,2167.86,2610.75,458.8062859102041,0.85649,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Ade,WSA,-13.0769,131.1178,1,1,1,1,1,271.71,1379.32,1125.01,995.5212018612244,54.9765,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-ASM,SAV,-22.283,133.249,4,4,4,4,4,-4.956341,213.3255,236.28699999999998,240.84953529795916,89.968,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Cpr,SAV,-34.0021,140.5891,3,3,3,3,3,210.228,610.842,401.929,308.81494520816324,68.7593,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Cum,EBF,-33.6152,150.7236,2,2,2,2,2,162.8363,1229.25,1025.6085,696.9972544163265,42.752849999999995,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-DaP,GRA,-14.0633,131.3181,4,4,4,4,4,195.0653,1329.9099999999999,1143.155,735.122055379592,52.98075,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-DaS,SAV,-14.1593,131.3881,6,6,6,6,6,275.666,1574.165,1277.455,876.9947204571428,52.2685,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Dry,SAV,-15.2588,132.3706,2,2,2,2,2,311.7765,1243.4899999999998,922.4480000000001,766.5637295020408,55.009150000000005,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Emr,GRA,-23.8587,148.4746,2,2,2,2,2,-52.6618,462.44500000000005,516.838,390.84667229387753,57.8561,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Fog,WET,-12.5452,131.3072,2,2,2,2,2,467.2545,939.64,457.571,1482.7377001959185,28.228099999999998,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Gin,WSA,-31.3764,115.7138,1,1,1,2,2,352.083,1147.27,793.639,494.54108169795916,71.80795,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-GWW,SAV,-30.1913,120.6541,2,2,2,2,2,105.12299999999999,459.204,355.09799999999996,275.25826785306117,61.34095,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-How,WSA,-12.4943,131.1523,8,8,8,9,9,701.795,2083.4700000000003,1398.505,1127.6367722448979,41.2393,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Lox,DBF,-34.4704,140.6551,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fluxnet2015
AU-RDF,WSA,-14.5636,132.4776,1,1,1,1,1,-329.078,647.128,975.977,649.1063423020408,62.1659,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Rig,GRA,-36.6499,145.5759,3,3,3,3,3,158.731,1088.55,946.838,475.3076905469387,37.3462,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Rob,EBF,-17.1175,145.6301,1,1,1,1,1,743.947,1994.35,1250.4,1025.9762179591837,32.3386,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Stp,GRA,-17.1507,133.3502,5,5,5,5,5,33.2614,445.999,385.675,543.0328762775509,66.3412,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-TTE,GRA,-22.287,133.64,2,2,2,2,2,-155.2725,18.344550000000005,172.14350000000002,223.04010034285716,85.50630000000001,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Tum,EBF,-35.6566,148.1517,10,10,10,11,11,640.7365,3287.8450000000003,2697.135,855.9644782040817,33.3585,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Wac,EBF,-37.4259,145.1878,2,2,2,2,2,1804.5749999999998,2196.71,393.459,729.4816174040816,20.540349999999997,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Whr,EBF,-36.6732,145.0294,3,3,3,3,3,365.435,1260.61,902.549,500.69416966530616,60.1968,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Wom,EBF,-37.4222,144.0944,4,4,4,5,5,1234.7150000000001,2301.43,1047.51,737.6105975510204,25.5122,VUT,VUT,VUT,NT,NT,1,fluxnet2015
AU-Ync,GRA,-34.9893,146.2907,1,1,1,1,1,33.2736,347.785,309.23,238.86140649795917,59.8021,VUT,VUT,VUT,NT,NT,1,fluxnet2015
BE-Bra,MF,51.3076,4.5198,13,13,13,15,17,117.541,1345.79,1254.22,318.42262432653064,18.705,VUT,VUT,VUT,NT,NT,1,fluxnet2015
BE-Lon,CRO,50.5516,4.7462,10,10,10,10,10,393.8945,1544.155,1125.025,355.32183115102043,6.015265,VUT,VUT,VUT,NT,NT,1,fluxnet2015
BE-Vie,MF,50.3049,5.9981,17,17,17,17,18,456.302,1780.92,1216.3,310.87584969795915,19.50175,VUT,VUT,VUT,NT,NT,1,fluxnet2015
BR-Sa1,EBF,-2.8567,-54.9589,5,5,5,7,7,-20.2223,3332.91,3401.24,1112.6037620571428,19.5503,VUT,VUT,VUT,NT,NT,1,fluxnet2015
BR-Sa3,EBF,-3.018,-54.9714,3,3,3,3,3,83.1141,2956.81,2934.48,1198.1879732571429,23.8306,VUT,VUT,VUT,NT,NT,1,fluxnet2015
CA-Gro,MF,48.2167,-82.1556,10,10,10,10,10,117.19899999999998,1026.36,882.7675,376.51436963265303,29.5439,BOTH,BOTH,BOTH,NT,NT,0.9,fluxnet2015
CA-Man,ENF,55.8796,-98.4808,6,6,6,11,12,24.704639999999998,670.9304999999999,622.332,276.7691684571429,35.47155,VUT,VUT,VUT,NT,NT,1,fluxnet2015
