site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee
AR-Bal,CRO,-37.7596,-58.3024,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AR-CCa,CRO,-35.621,-61.3181,5,5,5,5,6,212.893,1476.58,1283.85,723.9068707591837,30.393549999999998,VUT,VUT,VUT,NT,NT,1
AR-CCg,GRA,-35.9244,-61.1855,3,3,3,3,3,53.8944,1642.97,1705.18,754.8938578285714,19.4781,VUT,VUT,VUT,NT,NT,1
AR-TF1,WET,-54.9733,-66.7335,1,1,1,1,1,69.2258,688.924,619.493,309.4782988408163,-6.73078,VUT,VUT,VUT,NT,NT,1
AR-TF2,WET,-54.8269,-68.4549,1,1,1,1,1,7.49191,300.672,295.777,312.536165877551,-3.09495,VUT,VUT,VUT,NT,NT,1
BR-CST,DNF,-7.9682,-38.3842,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR-ITA,EBF,-23.0604,-48.6467,1,1,1,2,2,326.932,1727.65,1329.43,824.831939755102,44.4125,VUT,VUT,VUT,NT,NT,1
BR-Ji3,EBF,-10.1866,-61.8725,2,0,0,2,2,1523.075,NA,NA,1399.2028008979592,19.80085,VUT,NA,NA,NA,NA,1
BR-Ma2,EBF,-2.6091,-60.2093,5,5,5,8,15,338.394,3436.45,2914.88,1143.046541534694,27.5518,VUT,VUT,VUT,DT,DT,1
BR-Ma3,CVM,-2.3907,-59.8835,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR-Npw,WSA,-16.498,-56.412,2,2,2,2,2,523.3885,2189.7799999999997,1953.4299999999998,1244.4346700081633,22.5246,VUT,VUT,VUT,NT,NT,1
BR-Sa1,EBF,-2.8567,-54.9589,5,5,5,7,7,-384.899,2988.75,3486.94,1256.9044302367347,19.6795,VUT,VUT,VUT,DT,DT,1
BR-Sa3,EBF,-3.018,-54.9714,3,3,3,3,3,78.2333,3382.14,3822.31,1197.1510806857143,23.8077,VUT,VUT,VUT,DT,DT,1
BR-SM1,CRO,-30.2771,-53.1479,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR-Xpw,GRA,-16.373,-56.461,3,3,3,4,4,-238.111,1322.53,1529.04,938.3201537142857,37.30945,VUT,VUT,VUT,NT,NT,1
CA-ARB,WET,52.695,-83.9452,4,4,4,5,5,79.21255,388.1225,309.5865,296.2679010612245,14.0181,VUT,VUT,VUT,NT,NT,1
CA-ARF,WET,52.7008,-83.955,5,5,5,5,4,60.6579,467.07,405.689,262.3840551183673,18.277749999999997,VUT,VUT,VUT,NT,NT,1
CA-BOU,WET,50.5244,-63.2064,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-Ca1,ENF,49.8673,-125.3336,13,11,11,13,13,321.887,2461.1,2123.51,405.28073211428574,19.9483,VUT,VUT,VUT,NT,NT,1
CA-Ca2,ENF,49.8705,-125.2909,10,10,10,10,10,-535.6765,939.2185,1558.585,294.36864876734694,23.42525,VUT,VUT,VUT,NT,NT,1
CA-Ca3,ENF,49.5346,-124.9004,14,8,8,23,23,455.1275,1644.545,1178.32,381.53653626122446,32.3134,CUT,CUT,CUT,NT,NT,0
CA-Cbo,DBF,44.3184,-79.9341,18,18,18,22,24,275.9335,1657.875,1274,454.05203686530615,27.43945,VUT,VUT,VUT,NT,NT,1
CA-CF1,WET,58.6658,-93.83,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-CF2,WET,58.6658,-93.83,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-CF3,WET,58.6658,-93.8304,3,3,3,3,3,40.7518,226.604,182.219,188.91281005714285,4.3979,BOTH,BOTH,BOTH,NT,NT,0.6666666666666666
CA-DB2,WET,49.119,-122.9951,5,5,5,5,5,-35.9919,488.795,543.796,390.2116560979592,30.3695,VUT,VUT,VUT,NT,NT,1
CA-DBB,WET,49.1293,-122.9849,5,5,5,6,6,10.7323,339.157,289.115,445.35630798367345,26.34995,VUT,VUT,VUT,NT,NT,1
CA-DSM,WET,49.0887,-122.8954,3,3,3,3,3,77.231,1518.45,1438.85,574.3727932408163,22.7082,VUT,VUT,VUT,NT,NT,1
CA-EM1,WET,50.3623,-100.2024,2,2,2,2,2,12.13975,672.9545,661.2175,507.7276502693877,9.533555,VUT,VUT,VUT,NT,NT,1
