site_id,gez_name,gez_code,gez_method
AR-Bal,Subtropical humid forest,21,within
AR-CCa,Subtropical humid forest,21,within
AR-CCg,Subtropical humid forest,21,within
AR-TF1,Temperate oceanic forest,31,nearest_feature
AR-TF2,Temperate oceanic forest,31,within
BR-CST,Tropical dry forest,13,within
BR-ITA,Tropical moist forest,12,within
BR-Ji3,Tropical rainforest,11,within
BR-Ma2,Tropical rainforest,11,within
BR-Ma3,Tropical rainforest,11,within
BR-Npw,Tropical moist forest,12,within
BR-Sa1,Tropical rainforest,11,within
BR-Sa3,Tropical rainforest,11,within
BR-SM1,Subtropical humid forest,21,within
CA-ARB,Boreal tundra woodland,42,within
CA-ARF,Boreal tundra woodland,42,within
CA-BOU,Boreal coniferous forest,41,within
CA-Ca1,Temperate oceanic forest,31,within
CA-Ca2,Temperate oceanic forest,31,within
CA-Ca3,Temperate oceanic forest,31,within
CA-CF1,Boreal tundra woodland,42,within
CA-CF2,Boreal tundra woodland,42,within
CA-CF3,Boreal tundra woodland,42,within
CA-DB2,Temperate oceanic forest,31,within
CA-DBB,Temperate oceanic forest,31,within
CA-DSM,Temperate oceanic forest,31,within
CA-EM1,Temperate steppe,33,within
CA-EM2,Temperate steppe,33,within
CA-Gro,Temperate continental forest,32,within
CA-HPC,Polar,50,within
CA-KLP,Boreal tundra woodland,42,within
CA-LP1,Temperate mountain system,35,within
CA-LU1,Boreal tundra woodland,42,within
CA-LU2,Boreal tundra woodland,42,within
CA-MA1,Temperate steppe,33,within
CA-MA2,Temperate steppe,33,within
CA-MA3,Temperate steppe,33,within
CA-Man,Boreal coniferous forest,41,within
CA-Mer,Temperate continental forest,32,within
CA-Na1,Temperate continental forest,32,within
CA-PB1,Boreal tundra woodland,42,within
CA-PB2,Boreal tundra woodland,42,within
CA-Qc2,Boreal coniferous forest,41,within
CA-Qfo,Boreal coniferous forest,41,within
CA-RBM,Temperate oceanic forest,31,nearest_feature
CA-SCB,Boreal tundra woodland,42,within
CA-SCC,Boreal tundra woodland,42,within
CA-SF1,Boreal coniferous forest,41,within
CA-SF3,Boreal coniferous forest,41,within
CA-SMC,Boreal tundra woodland,42,within
CA-TP1,Temperate continental forest,32,within
CA-TP3,Temperate continental forest,32,within
CA-TPA,Temperate continental forest,32,within
CA-TPD,Temperate continental forest,32,within
CL-ACF,Temperate oceanic forest,31,within
CL-SDF,Temperate oceanic forest,31,within
CL-SDP,Temperate oceanic forest,31,within
CR-Fsc,Tropical moist forest,12,within
MX-Aog,Tropical dry forest,13,within
MX-PMm,Tropical moist forest,12,within
MX-Tes,Tropical dry forest,13,within
PE-QFR,Tropical rainforest,11,within
PR-xLA,Tropical moist forest,12,within
US-A10,Polar,50,within
US-A32,Temperate steppe,33,within
US-A37,Temperate steppe,33,within
US-A39,Subtropical steppe,23,within
US-A74,Temperate steppe,33,within
US-ADR,Subtropical desert,24,within
US-Akn,Subtropical humid forest,21,within
US-ALQ,Temperate continental forest,32,within
US-AR1,Temperate steppe,33,within
US-AR2,Temperate steppe,33,within
US-ARb,Temperate steppe,33,within
US-ARc,Temperate steppe,33,within
US-ASH,Subtropical dry forest,22,within
US-ASM,Subtropical dry forest,22,within
US-Bar,Temperate mountain system,35,within
US-Bi1,Subtropical dry forest,22,within
US-Bi2,Subtropical dry forest,22,within
US-BRG,Temperate continental forest,32,within
US-BZB,Boreal tundra woodland,42,within
US-BZo,Boreal tundra woodland,42,within
US-CAK,Boreal tundra woodland,42,within
US-CdM,Temperate desert,34,within
US-Ced,Temperate continental forest,32,within
US-CF1,Temperate desert,34,within
US-CF2,Temperate desert,34,within
US-CF3,Temperate desert,34,within
US-CF4,Temperate desert,34,within
US-CGG,Subtropical mountain system,25,within
US-ChR,Temperate mountain system,35,within
US-CLF,Temperate mountain system,35,within
US-Cms,Polar,50,within
US-CMW,Subtropical desert,24,within
US-Cop,Temperate desert,34,within
US-CRK,Subtropical humid forest,21,within
US-CRT,Temperate continental forest,32,within
US-CS1,Temperate continental forest,32,within
US-CS2,Temperate continental forest,32,within
US-CS3,Temperate continental forest,32,within
US-CS4,Temperate continental forest,32,within
US-CS5,Temperate continental forest,32,within
US-CS6,Temperate continental forest,32,within
US-CS8,Temperate continental forest,32,within
US-Cst,Subtropical humid forest,21,within
US-Cwt,Temperate mountain system,35,within
US-DFC,Temperate continental forest,32,within
US-DFK,Temperate continental forest,32,within
US-Dix,Temperate continental forest,32,within
US-Dk1,Subtropical humid forest,21,within
US-Dk2,Subtropical humid forest,21,within
US-Dk3,Subtropical humid forest,21,within
US-Dmg,Subtropical dry forest,22,within
US-DPW,Subtropical humid forest,21,within
US-DS1,Subtropical dry forest,22,within
US-DS2,Subtropical dry forest,22,within
US-DS3,Subtropical dry forest,22,within
US-EA4,Subtropical steppe,23,within
US-EA5,Subtropical steppe,23,within
US-EA6,Subtropical steppe,23,within
US-EDN,Subtropical mountain system,25,within
US-EKH,Subtropical mountain system,25,within
US-EKN,Subtropical mountain system,25,within
US-EKP,Subtropical mountain system,25,within
US-Elm,Tropical moist forest,12,within
US-EML,Boreal mountain system,43,within
US-Esm,Tropical moist forest,12,within
US-EvM,Tropical moist forest,12,within
US-Fcr,Boreal tundra woodland,42,within
US-Fmf,Subtropical mountain system,25,within
US-Fo1,Polar,50,within
US-Fuf,Subtropical mountain system,25,within
US-Fwf,Subtropical mountain system,25,within
US-GLE,Temperate mountain system,35,within
US-Ha1,Temperate mountain system,35,within
US-HB1,Subtropical humid forest,21,within
US-HB2,Subtropical humid forest,21,within
US-HB3,Subtropical humid forest,21,within
US-HB4,Subtropical humid forest,21,within
US-HBK,Temperate mountain system,35,within
US-Hn2,Temperate desert,34,within
US-Hn3,Temperate desert,34,within
US-Ho2,Temperate continental forest,32,within
US-HRA,Subtropical humid forest,21,within
US-HRC,Subtropical humid forest,21,within
US-Hsm,Subtropical dry forest,22,within
US-HVs,Polar,50,within
US-HWB,Temperate mountain system,35,within
US-IAB,Temperate steppe,33,within
US-IAC,Temperate steppe,33,within
US-IAM,Temperate steppe,33,within
US-ICh,Polar,50,within
US-ICs,Polar,50,within
US-ICt,Polar,50,within
US-Jo1,Subtropical desert,24,within
US-KFS,Temperate steppe,33,within
US-Kon,Temperate steppe,33,within
US-KPL,Boreal mountain system,43,within
US-KS1,Subtropical humid forest,21,within
US-KS2,Subtropical humid forest,21,within
US-KS3,Subtropical humid forest,21,within
US-LA2,Subtropical humid forest,21,within
US-LA3,Subtropical humid forest,21,within
US-Lin,Subtropical dry forest,22,within
US-Los,Temperate continental forest,32,within
US-LS1,Subtropical desert,24,within
US-MBP,Temperate continental forest,32,within
US-Me1,Temperate mountain system,35,within
US-Me3,Temperate mountain system,35,within
US-Me6,Temperate mountain system,35,within
US-Me7,Temperate mountain system,35,within
US-MEF,Temperate mountain system,35,within
US-MMS,Temperate continental forest,32,within
US-MN1,Temperate steppe,33,within
US-MN2,Temperate steppe,33,within
US-MN3,Temperate steppe,33,within
US-Mo1,Temperate steppe,33,within
US-Mo2,Temperate steppe,33,within
US-Mo3,Temperate steppe,33,within
US-MOz,Temperate continental forest,32,within
US-Mpj,Subtropical steppe,23,within
US-MtB,Subtropical desert,24,within
US-Myb,Subtropical dry forest,22,within
US-MZA,Temperate continental forest,32,within
US-NC1,Subtropical humid forest,21,within
US-NC2,Subtropical humid forest,21,within
US-NC3,Subtropical humid forest,21,within
US-NC4,Subtropical humid forest,21,within
US-Ne1,Temperate steppe,33,within
US-Ne2,Temperate steppe,33,within
US-Ne3,Temperate steppe,33,within
US-NGB,Polar,50,within
US-NGC,Boreal tundra woodland,42,within
US-NR1,Temperate mountain system,35,within
US-NSa,Subtropical dry forest,22,within
US-NSb,Subtropical dry forest,22,within
US-Oho,Temperate continental forest,32,within
US-ONA,Subtropical humid forest,21,within
US-OPE,Subtropical humid forest,21,within
US-OWC,Temperate continental forest,32,within
US-PAS,Subtropical humid forest,21,within
US-PFb,Temperate continental forest,32,within
US-PFc,Temperate continental forest,32,within
US-PFd,Temperate continental forest,32,within
US-PFf,Temperate continental forest,32,within
US-PFg,Temperate continental forest,32,within
US-PFh,Temperate continental forest,32,within
US-PFi,Temperate continental forest,32,within
US-PFj,Temperate continental forest,32,within
US-PFk,Temperate continental forest,32,within
US-PFL,Temperate continental forest,32,within
US-PFm,Temperate continental forest,32,within
US-PFn,Temperate continental forest,32,within
US-PFp,Temperate continental forest,32,within
US-PFq,Temperate continental forest,32,within
US-PFr,Temperate continental forest,32,within
US-PFt,Temperate continental forest,32,within
US-PLo,Temperate continental forest,32,within
US-Prr,Boreal mountain system,43,within
US-PSH,Subtropical dry forest,22,within
US-PSL,Subtropical dry forest,22,within
US-RC1,Temperate desert,34,within
US-RC2,Temperate desert,34,within
US-RC4,Temperate mountain system,35,within
US-RC5,Temperate desert,34,within
US-RGA,Subtropical humid forest,21,within
US-RGB,Subtropical dry forest,22,within
US-RGF,Subtropical dry forest,22,within
US-RGo,Subtropical dry forest,22,within
US-RGW,Subtropical humid forest,21,within
US-Rls,Temperate desert,34,within
US-Rms,Temperate desert,34,within
US-Ro1,Temperate steppe,33,within
US-Ro2,Temperate steppe,33,within
US-Ro3,Temperate steppe,33,within
US-Ro4,Temperate steppe,33,within
US-Ro5,Temperate steppe,33,within
US-Ro6,Temperate steppe,33,within
US-Rpf,Boreal mountain system,43,within
US-RRC,Subtropical humid forest,21,within
US-Rwe,Temperate desert,34,within
US-Rwf,Temperate desert,34,within
US-Rws,Temperate desert,34,within
US-Sag,Polar,50,within
US-SD1,Temperate continental forest,32,within
US-SD2,Temperate continental forest,32,within
US-Seg,Subtropical steppe,23,within
US-Ses,Subtropical steppe,23,within
US-SHC,Subtropical mountain system,25,within
US-Sne,Subtropical dry forest,22,within
US-Snf,Subtropical dry forest,22,within
US-SP1,Subtropical humid forest,21,within
US-SRC,Subtropical desert,24,within
US-SRG,Subtropical desert,24,within
US-SRM,Subtropical desert,24,within
US-Srr,Subtropical mountain system,25,within
US-SRS,Subtropical desert,24,within
US-SSH,Temperate mountain system,35,within
US-Sta,Temperate desert,34,within
US-StJ,Subtropical humid forest,21,within
US-TKs,Polar,50,within
US-TLR,Subtropical humid forest,21,within
US-Ton,Subtropical mountain system,25,within
US-Tw1,Subtropical dry forest,22,within
US-Tw2,Subtropical dry forest,22,within
US-Tw3,Subtropical dry forest,22,within
US-Tw4,Subtropical dry forest,22,within
US-Tw5,Subtropical dry forest,22,within
US-Twt,Subtropical dry forest,22,within
US-Uaf,Boreal tundra woodland,42,within
US-UC1,Temperate mountain system,35,within
US-UC2,Temperate mountain system,35,within
US-UiA,Temperate steppe,33,within
US-UiB,Temperate steppe,33,within
US-UiC,Temperate steppe,33,within
US-UiD,Temperate steppe,33,within
US-UiE,Temperate steppe,33,within
US-UiF,Temperate steppe,33,within
US-UiG,Temperate steppe,33,within
US-UMd,Temperate continental forest,32,within
US-UTB,Temperate desert,34,within
US-UTD,Temperate desert,34,within
US-UTE,Temperate desert,34,within
US-UTJ,Temperate desert,34,within
US-UTW,Temperate desert,34,within
US-Vcm,Temperate mountain system,35,within
US-Vcp,Temperate mountain system,35,within
US-VT1,Temperate steppe,33,within
US-VT2,Temperate steppe,33,within
US-WCr,Temperate continental forest,32,within
US-Whs,Subtropical desert,24,within
US-Wjs,Subtropical steppe,23,within
US-WPT,Temperate continental forest,32,within
US-WT1,Subtropical steppe,23,within
US-xAB,Temperate mountain system,35,within
US-xAE,Temperate steppe,33,within
US-xBA,Polar,50,within
US-xBL,Temperate mountain system,35,within
US-xBN,Boreal mountain system,43,within
US-xBR,Temperate mountain system,35,within
US-xCL,Subtropical steppe,23,within
US-xCP,Temperate steppe,33,within
US-xDC,Temperate steppe,33,within
US-xDJ,Boreal tundra woodland,42,within
US-xDL,Subtropical humid forest,21,within
US-xDS,Subtropical humid forest,21,within
US-xGR,Temperate mountain system,35,within
US-xHE,Boreal mountain system,43,within
US-xJE,Subtropical humid forest,21,within
US-xJR,Subtropical desert,24,within
US-xKZ,Temperate steppe,33,within
US-xLE,Subtropical humid forest,21,within
US-xMB,Temperate desert,34,within
US-xML,Temperate mountain system,35,within
US-xNG,Temperate steppe,33,within
US-xNQ,Temperate desert,34,within
US-xNW,Temperate mountain system,35,within
US-xPU,Tropical mountain system,16,within
US-xRM,Temperate mountain system,35,within
US-xRN,Temperate mountain system,35,within
US-xSB,Subtropical humid forest,21,within
US-xSC,Temperate mountain system,35,within
US-xSE,Subtropical humid forest,21,within
US-xSJ,Subtropical mountain system,25,within
US-xSL,Temperate steppe,33,within
US-xSP,Subtropical mountain system,25,within
US-xSR,Subtropical desert,24,within
US-xST,Temperate continental forest,32,within
US-xTE,Subtropical mountain system,25,within
US-xTL,Polar,50,within
US-xTR,Temperate continental forest,32,within
US-xUK,Temperate steppe,33,within
US-xUN,Temperate continental forest,32,within
US-xWD,Temperate steppe,33,within
US-xWR,Temperate mountain system,35,within
US-xYE,Temperate mountain system,35,within
US-YK1,Polar,50,within
US-YK2,Polar,50,within
US-ZF2,Temperate steppe,33,within
ZA-Uby,Tropical moist forest,12,within
ZA-Spk,Subtropical mountain system,25,within
ZA-Jks,Subtropical dry forest,22,within
ZA-BfS,Tropical desert,15,within
ZA-BfK,Tropical desert,15,within
KR-WdE,Subtropical humid forest,21,within
KR-UAO,Temperate continental forest,32,within
KR-TwC,Temperate continental forest,32,within
KR-TwB,Temperate continental forest,32,within
KR-SmM,Temperate continental forest,32,within
KR-ScC,Temperate continental forest,32,within
KR-PcD,Temperate continental forest,32,within
KR-Nj2,Temperate continental forest,32,within
KR-Nj1,Temperate continental forest,32,within
KR-Kw2,Temperate continental forest,32,within
KR-Kw1,Temperate continental forest,32,within
KR-JjM,Subtropical humid forest,21,within
KR-Hnm,Subtropical humid forest,21,within
KR-HcM,Temperate continental forest,32,within
KR-HPK,Subtropical humid forest,21,within
KR-GmS,Temperate continental forest,32,within
