site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_twoletter,koppen_main,koppen_main_name,koppen_method
AR-SLu,-33.4648,-66.4598,6,BSh,"Arid, steppe, hot",BS,B,Arid,exact
AR-Vir,-28.2395,-56.1886,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
AT-Neu,47.1167,11.3175,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
AU-Ade,-13.0769,131.1178,3,Aw,"Tropical, savannah",Aw,A,Tropical,exact
AU-ASM,-22.283,133.249,4,BWh,"Arid, desert, hot",BW,B,Arid,exact
AU-Cpr,-34.0021,140.5891,7,BSk,"Arid, steppe, cold",BS,B,Arid,exact
AU-Cum,-33.6152,150.7236,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
AU-DaP,-14.0633,131.3181,3,Aw,"Tropical, savannah",Aw,A,Tropical,exact
AU-DaS,-14.1593,131.3881,3,Aw,"Tropical, savannah",Aw,A,Tropical,exact
AU-Dry,-15.2588,132.3706,3,Aw,"Tropical, savannah",Aw,A,Tropical,exact
AU-Emr,-23.8587,148.4746,6,BSh,"Arid, steppe, hot",BS,B,Arid,exact
AU-Fog,-12.5452,131.3072,3,Aw,"Tropical, savannah",Aw,A,Tropical,exact
AU-Gin,-31.3764,115.7138,8,Csa,"Temperate, dry summer, hot summer",Cs,C,Temperate,exact
AU-GWW,-30.1913,120.6541,4,BWh,"Arid, desert, hot",BW,B,Arid,exact
AU-How,-12.4943,131.1523,3,Aw,"Tropical, savannah",Aw,A,Tropical,exact
AU-Lox,-34.4704,140.6551,7,BSk,"Arid, steppe, cold",BS,B,Arid,exact
AU-RDF,-14.5636,132.4776,3,Aw,"Tropical, savannah",Aw,A,Tropical,exact
AU-Rig,-36.6499,145.5759,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
AU-Rob,-17.1175,145.6301,11,Cwa,"Temperate, dry winter, hot summer",Cw,C,Temperate,exact
AU-Stp,-17.1507,133.3502,6,BSh,"Arid, steppe, hot",BS,B,Arid,exact
AU-TTE,-22.287,133.64,4,BWh,"Arid, desert, hot",BW,B,Arid,exact
AU-Tum,-35.6566,148.1517,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
AU-Wac,-37.4259,145.1878,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
AU-Whr,-36.6732,145.0294,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
AU-Wom,-37.4222,144.0944,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
AU-Ync,-34.9893,146.2907,7,BSk,"Arid, steppe, cold",BS,B,Arid,exact
BE-Bra,51.3076,4.5198,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
BE-Lon,50.5516,4.7462,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
BE-Vie,50.3049,5.9981,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
BR-Sa1,-2.8567,-54.9589,2,Am,"Tropical, monsoon",Am,A,Tropical,exact
BR-Sa3,-3.018,-54.9714,2,Am,"Tropical, monsoon",Am,A,Tropical,exact
CA-Gro,48.2167,-82.1556,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-Man,55.8796,-98.4808,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-NS1,55.8792,-98.4839,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-NS2,55.9058,-98.5247,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-NS3,55.9117,-98.3822,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-NS4,55.9144,-98.3806,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-NS5,55.8631,-98.485,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-NS6,55.9167,-98.9644,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-NS7,56.6358,-99.9483,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-Oas,53.6289,-106.1978,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-Obs,53.9872,-105.1178,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-Qfo,49.6925,-74.3421,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-SF1,54.485,-105.8176,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CA-SF2,54.2539,-105.8775,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-SF3,54.0916,-106.0053,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-TP1,42.6609,-80.5595,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-TP2,42.7744,-80.4588,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-TP3,42.7068,-80.3483,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-TP4,42.7102,-80.3574,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CA-TPD,42.6353,-80.5577,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CG-Tch,-4.2892,11.6564,3,Aw,"Tropical, savannah",Aw,A,Tropical,exact
CH-Cha,47.2102,8.4104,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
CH-Dav,46.8153,9.8559,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
CH-Fru,47.1158,8.5378,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CH-Lae,47.4783,8.3644,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
CH-Oe1,47.2858,7.7319,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
CH-Oe2,47.2864,7.7337,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
CN-Cha,42.4025,128.0958,22,Dwb,"Cold, dry winter, warm summer",Dw,D,Cold,exact
CN-Cng,44.5934,123.5092,21,Dwa,"Cold, dry winter, hot summer",Dw,D,Cold,exact
CN-Dan,30.4978,91.0664,23,Dwc,"Cold, dry winter, cold summer",Dw,D,Cold,exact
CN-Din,23.1733,112.5361,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
CN-Du2,42.0467,116.2836,22,Dwb,"Cold, dry winter, warm summer",Dw,D,Cold,exact
CN-Du3,42.0551,116.2809,22,Dwb,"Cold, dry winter, warm summer",Dw,D,Cold,exact
CN-Ha2,37.6086,101.3269,23,Dwc,"Cold, dry winter, cold summer",Dw,D,Cold,exact
CN-HaM,37.37,101.18,29,ET,"Polar, tundra",ET,E,Polar,exact
CN-Qia,26.7414,115.0581,14,Cfa,"Temperate, no dry season, hot summer",Cf,C,Temperate,exact
CN-Sw2,41.7902,111.8971,7,BSk,"Arid, steppe, cold",BS,B,Arid,exact
CZ-BK1,49.5021,18.5369,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CZ-BK2,49.4944,18.5429,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
CZ-wet,49.0247,14.7704,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Akm,53.8662,13.6834,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-Geb,51.0997,10.9146,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-Gri,50.95,13.5126,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Hai,51.0792,10.4522,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Kli,50.8931,13.5224,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Lkb,49.0996,13.3047,27,Dfc,"Cold, no dry season, cold summer",Df,D,Cold,exact
DE-Lnf,51.3282,10.3678,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Obe,50.7867,13.7213,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-RuR,50.6219,6.3041,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-RuS,50.8659,6.4471,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-Seh,50.8706,6.4497,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-SfN,47.8064,11.3275,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Spw,51.8922,14.0337,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DE-Tha,50.9626,13.5651,26,Dfb,"Cold, no dry season, warm summer",Df,D,Cold,exact
DE-Zrk,53.8759,12.889,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DK-Eng,55.6905,12.1918,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DK-Fou,56.4842,9.5872,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
DK-Sor,55.4859,11.6446,15,Cfb,"Temperate, no dry season, warm summer",Cf,C,Temperate,exact
ES-Amo,36.8336,-2.2523,4,BWh,"Arid, desert, hot",BW,B,Arid,exact
