site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
AR-Bal,-37.7596,-58.3024,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
AR-CCa,-35.621,-61.3181,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
AR-CCg,-35.9244,-61.1855,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
AR-TF1,-54.9733,-66.7335,16,Cfc,"Temperate, no dry season, cold summer",C,Temperate,exact
AR-TF2,-54.8269,-68.4549,29,ET,"Polar, tundra",E,Polar,exact
BR-CST,-7.9682,-38.3842,3,Aw,"Tropical, savannah",A,Tropical,exact
BR-ITA,-23.0604,-48.6467,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
BR-Ji3,-10.1866,-61.8725,3,Aw,"Tropical, savannah",A,Tropical,exact
BR-Ma2,-2.6091,-60.2093,1,Af,"Tropical, rainforest",A,Tropical,exact
BR-Ma3,-2.3907,-59.8835,1,Af,"Tropical, rainforest",A,Tropical,exact
BR-Npw,-16.498,-56.412,3,Aw,"Tropical, savannah",A,Tropical,exact
BR-Sa1,-2.8567,-54.9589,2,Am,"Tropical, monsoon",A,Tropical,exact
BR-Sa3,-3.018,-54.9714,2,Am,"Tropical, monsoon",A,Tropical,exact
BR-SM1,-30.2771,-53.1479,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
BR-Xpw,-16.373,-56.461,3,Aw,"Tropical, savannah",A,Tropical,exact
CA-ARB,52.695,-83.9452,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-ARF,52.7008,-83.955,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-BOU,50.5244,-63.2064,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-Ca1,49.8673,-125.3336,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
CA-Ca2,49.8705,-125.2909,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
CA-Ca3,49.5346,-124.9004,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
CA-Cbo,44.3184,-79.9341,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-CF1,58.6658,-93.83,19,Dsc,"Cold, dry summer, cold summer",D,Cold,exact
CA-CF2,58.6658,-93.83,19,Dsc,"Cold, dry summer, cold summer",D,Cold,exact
CA-CF3,58.6658,-93.8304,19,Dsc,"Cold, dry summer, cold summer",D,Cold,exact
CA-DB2,49.119,-122.9951,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
CA-DBB,49.1293,-122.9849,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
CA-DSM,49.0887,-122.8954,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
CA-EM1,50.3623,-100.2024,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-EM2,50.3706,-100.5339,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-Gro,48.2167,-82.1556,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-HPC,68.3203,-133.5188,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
CA-KLP,51.5902,-81.7684,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-LP1,55.1119,-122.8414,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-LU1,59.5951,-117.2862,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-LU2,59.4405,-117.2422,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-MA1,50.1645,-97.8762,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-MA2,50.171,-97.8762,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-MA3,50.1774,-97.8686,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-Man,55.8796,-98.4808,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-Mer,45.4094,-75.5186,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-Mtk,72.6695,-77.9981,29,ET,"Polar, tundra",E,Polar,exact
CA-Na1,46.4722,-67.1,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-Ojp,53.9163,-104.692,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-PB1,54.9417,-83.4579,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
CA-PB2,54.9389,-83.4736,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
CA-Qc2,49.7598,-74.5711,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-Qfo,49.6925,-74.3421,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-RBM,49.1313,-123.1964,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
CA-SCB,61.3089,-121.2984,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-SCC,61.3079,-121.2992,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-SF1,54.485,-105.8176,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-SF2,54.2539,-105.8775,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-SF3,54.0916,-106.0053,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-SJ2,53.945,-104.649,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-SMC,63.1534,-123.2522,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
CA-TP1,42.6609,-80.5595,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-TP2,42.7744,-80.4588,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-TP3,42.7068,-80.3483,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-TP4,42.7102,-80.3574,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-TPA,42.6947,-80.3487,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-TPD,42.6353,-80.5577,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-TVC,68.7462,-133.5017,27,Dfc,"Cold, no dry season, cold summer",D,Cold,exact
CL-ACF,-40.1726,-73.4439,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
CL-SDF,-41.883,-73.676,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
CL-SDP,-41.879,-73.666,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
CR-Fsc,10.4189,-85.4732,3,Aw,"Tropical, savannah",A,Tropical,exact
MX-Aog,26.9968,-108.7892,6,BSh,"Arid, steppe, hot",B,Arid,exact
MX-PMm,20.8462,-86.8992,3,Aw,"Tropical, savannah",A,Tropical,exact
