site_id,location_lat,location_long,koppen_class_code,koppen_class,koppen_class_name,koppen_main,koppen_main_name,koppen_method
AT-Neu,47.116668701171875,11.317500114440918,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
AU-Fog,-12.542499542236328,131.3070068359375,3,Aw,"Tropical, savannah",A,Tropical,exact
AU-How,-12.49429988861084,131.15199279785156,3,Aw,"Tropical, savannah",A,Tropical,exact
AU-Tum,-35.65570068359375,148.15199279785156,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
AU-Wac,-37.42900085449219,145.18699645996094,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
BE-Bra,51.309200286865234,4.520559787750244,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
BE-Jal,50.56389999389648,6.073329925537109,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
BE-Lon,50.55220031738281,4.744939804077148,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
BE-Vie,50.30550003051758,5.996829986572266,15,Cfb,"Temperate, no dry season, warm summer",C,Temperate,exact
BR-Ban,-9.824419975280762,-50.15909957885742,3,Aw,"Tropical, savannah",A,Tropical,exact
BR-Cax,-1.7197200059890747,-51.45899963378906,2,Am,"Tropical, monsoon",A,Tropical,exact
BR-Ji1,-10.761799812316896,-62.357200622558594,3,Aw,"Tropical, savannah",A,Tropical,exact
BR-Ji2,-10.083200454711914,-61.93090057373047,3,Aw,"Tropical, savannah",A,Tropical,exact
BR-Ma2,-2.609100103378296,-60.20930099487305,1,Af,"Tropical, rainforest",A,Tropical,exact
BR-Sa1,-2.8566699028015137,-54.95890045166016,3,Aw,"Tropical, savannah",A,Tropical,exact
BR-Sa2,-3.011899948120117,-54.5364990234375,3,Aw,"Tropical, savannah",A,Tropical,exact
BR-Sa3,-3.0180299282073975,-54.97140121459961,2,Am,"Tropical, monsoon",A,Tropical,exact
BR-Sp1,-21.61949920654297,-47.649898529052734,3,Aw,"Tropical, savannah",A,Tropical,exact
BW-Ghg,-21.510000228881836,21.739999771118164,4,BWh,"Arid, desert, hot",B,Arid,exact
BW-Ghm,-21.200000762939453,21.75,4,BWh,"Arid, desert, hot",B,Arid,exact
BW-Ma1,-19.91550064086914,23.56049919128418,4,BWh,"Arid, desert, hot",B,Arid,exact
CA-Ca1,49.8671989440918,-125.33399963378906,9,Csb,"Temperate, dry summer, warm summer",C,Temperate,exact
CA-Ca2,49.87049865722656,-125.29100036621094,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
CA-Ca3,49.53459930419922,-124.9000015258789,8,Csa,"Temperate, dry summer, hot summer",C,Temperate,exact
CA-Gro,48.21670150756836,-82.15560150146484,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-Let,49.70930099487305,-112.94000244140624,7,BSk,"Arid, steppe, cold",B,Arid,exact
CA-Man,55.879600524902344,-98.48079681396484,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-Mer,45.409400939941406,-75.51860046386719,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-NS1,55.87919998168945,-98.48390197753906,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-NS2,55.905799865722656,-98.52469635009766,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-NS3,55.91170120239258,-98.3822021484375,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-NS4,55.91170120239258,-98.3822021484375,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-NS5,55.86309814453125,-98.48500061035156,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-NS6,55.91669845581055,-98.9644012451172,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-NS7,56.635799407958984,-99.94830322265624,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-Oas,53.62889862060547,-106.197998046875,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-Obs,53.98720169067383,-105.11799621582033,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-Ojp,53.91630172729492,-104.69200134277344,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-Qcu,49.2671012878418,-74.0364990234375,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-Qfo,49.692501068115234,-74.34210205078125,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-SF1,54.48500061035156,-105.81800079345705,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-SF2,54.25389862060547,-105.87799835205078,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-SF3,54.09159851074219,-106.00499725341795,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-SJ1,53.90800094604492,-104.65599822998048,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-SJ2,53.94499969482422,-104.64900207519533,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-SJ3,53.87580108642578,-104.6449966430664,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-TP1,42.6609001159668,-80.55950164794922,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CA-TP2,42.77439880371094,-80.45880126953125,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CA-TP3,42.7067985534668,-80.348297119140625,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CA-TP4,42.70980072021485,-80.3573989868164,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CA-WP1,54.953800201416016,-112.46700286865234,25,Dfa,"Cold, no dry season, hot summer",D,Cold,exact
CA-WP2,55.537498474121094,-112.33399963378906,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CA-WP3,54.470001220703125,-113.31999969482422,26,Dfb,"Cold, no dry season, warm summer",D,Cold,exact
CG-Tch,-4.289169788360596,11.656399726867676,3,Aw,"Tropical, savannah",A,Tropical,exact
CH-Oe1,47.28559875488281,7.732140064239502,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CH-Oe2,47.28630065917969,7.734330177307129,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CN-Anh,33,117,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CN-Bed,39.53060150146485,116.2519989013672,11,Cwa,"Temperate, dry winter, hot summer",C,Temperate,exact
CN-Cha,42.40250015258789,128.0959930419922,21,Dwa,"Cold, dry winter, hot summer",D,Cold,exact
CN-Do1,31.516700744628903,121.96099853515624,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CN-Do2,31.584699630737305,121.90299987792967,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,nearest_land_0.006deg
CN-Do3,31.51689910888672,121.97200012207033,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,nearest_land_0.010deg
CN-Du1,42.04560089111328,116.6709976196289,21,Dwa,"Cold, dry winter, hot summer",D,Cold,exact
CN-Du2,42.04669952392578,116.28399658203124,7,BSk,"Arid, steppe, cold",B,Arid,exact
CN-HaM,37.369998931884766,101.18000030517578,23,Dwc,"Cold, dry winter, cold summer",D,Cold,exact
CN-Hny,29.309999465942383,112.51000213623048,14,Cfa,"Temperate, no dry season, hot summer",C,Temperate,exact
CN-Ku1,40.538299560546875,108.69400024414062,5,BWk,"Arid, desert, cold",B,Arid,exact
