site_id,n_years_used,mat_degc,map_mm,kg_class,kg_second,kg_main,koppen_class,koppen_twoletter,koppen_main,koppen_method,koppen_class_code,koppen_class_name,koppen_main_name,badm_kg_class,beck2023_kg_class,agree_badm,agree_beck2023
AR-Bal,30,13.340605555555555,422.3624666666667,BSk,BS,B,BSk,BS,B,era5_local,7,"Arid, steppe, cold",Arid,Cfb,Cfb,FALSE,FALSE
AR-CCa,29,16.526724137931033,3495.3052068965517,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,Cfa,Cfa,TRUE,TRUE
AR-CCg,27,14.345175925925925,3267.9639999999995,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,Cfa,Cfa,FALSE,FALSE
AR-TF1,30,6.021894444444444,3586.6913333333337,ET,ET,E,ET,ET,E,era5_local,29,"Polar, tundra",Polar,NA,ET,NA,TRUE
AR-TF2,30,5.161247222222222,3849.4612666666667,ET,ET,E,ET,ET,E,era5_local,29,"Polar, tundra",Polar,NA,ET,NA,TRUE
AT-Mmg,30,7.949513888888889,812.6036333333334,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Cfb,Dfb,FALSE,TRUE
AT-Neu,30,6.601152777777778,769.6289333333333,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
AT-Nsd,30,11.218380555555555,490.7579999999999,BSk,BS,B,BSk,BS,B,era5_local,7,"Arid, steppe, cold",Arid,Dfb,Cfa,FALSE,FALSE
AT-PsM,30,7.221102777777778,1263.2589,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
AT-Zoe,30,7.345805555555556,1781.0322333333331,Dfb,Df,D,Dfb,Df,D,era5_local,26,"Cold, no dry season, warm summer",Cold,Dfb,Dfb,TRUE,TRUE
AU-APL,24,6.117826388888889,3923.045166666667,Cfc,Cf,C,Cfc,Cf,C,era5_local,16,"Temperate, no dry season, cold summer",Temperate,NA,Dfc,NA,FALSE
AU-ASM,30,22.74806388888889,311.54563333333334,BWh,BW,B,BWh,BW,B,era5_local,4,"Arid, desert, hot",Arid,NA,BWh,NA,TRUE
AU-Ade,30,27.085116666666668,1611.3440666666668,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,NA,Aw,NA,TRUE
AU-Boy,30,16.24181666666667,508.7504333333333,BSk,BS,B,BSk,BS,B,era5_local,7,"Arid, steppe, cold",Arid,NA,Csa,NA,FALSE
AU-Col,30,15.769119444444446,2023.5442333333333,Cfb,Cf,C,Cfb,Cf,C,era5_local,15,"Temperate, no dry season, warm summer",Temperate,NA,Csb,NA,FALSE
AU-Cow,28,24.08148511904762,3200.6977857142865,Am,Am,A,Am,Am,A,era5_local,2,"Tropical, monsoon",Tropical,NA,Am,NA,TRUE
AU-Cpr,30,17.955202777777778,256.22166666666664,BWk,BW,B,BWk,BW,B,era5_local,5,"Arid, desert, cold",Arid,NA,BSk,NA,FALSE
AU-Ctr,26,23.89686217948718,3620.712769230769,Af,Af,A,Af,Af,A,era5_local,1,"Tropical, rainforest",Tropical,NA,Af,NA,TRUE
AU-Cum,30,18.068469444444446,839.5806,Cfa,Cf,C,Cfa,Cf,C,era5_local,14,"Temperate, no dry season, hot summer",Temperate,NA,Cfa,NA,TRUE
AU-DaP,30,25.576172222222223,1249.5877,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,NA,Aw,NA,TRUE
AU-DaS,30,26.655430555555554,1165.4386333333334,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,NA,Aw,NA,TRUE
AU-Dry,30,26.712747222222223,868.1355333333331,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,NA,Aw,NA,TRUE
AU-Emr,30,22.30276388888889,650.5638666666666,BSh,BS,B,BSh,BS,B,era5_local,6,"Arid, steppe, hot",Arid,NA,BSh,NA,TRUE
AU-Fle,30,23.495247222222222,560.8474,BSh,BS,B,BSh,BS,B,era5_local,6,"Arid, steppe, hot",Arid,NA,BSh,NA,TRUE
AU-Fog,0,NA,NA,NA,NA,NA,NA,NA,NA,era5_local,NA,NA,NA,NA,Aw,NA,NA
AU-GWW,30,19.376738888888887,340.5570666666667,BSh,BS,B,BSh,BS,B,era5_local,6,"Arid, steppe, hot",Arid,NA,BWh,NA,FALSE
AU-Gin,30,18.102819444444446,623.8964333333334,Csa,Cs,C,Csa,Cs,C,era5_local,8,"Temperate, dry summer, hot summer",Temperate,NA,Csa,NA,TRUE
AU-How,30,26.85321666666667,1675.783733333333,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,NA,Aw,NA,TRUE
AU-Lit,30,26.25025,1649.2909333333337,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,NA,Aw,NA,TRUE
AU-Lon,30,23.67893888888889,277.0809333333333,BWh,BW,B,BWh,BW,B,era5_local,4,"Arid, desert, hot",Arid,NA,BSh,NA,FALSE
AU-Lox,30,16.916272222222222,143.38846666666666,BWk,BW,B,BWk,BW,B,era5_local,5,"Arid, desert, cold",Arid,NA,BSk,NA,FALSE
AU-MvA,30,18.52945,560.3471999999999,BSh,BS,B,BSh,BS,B,era5_local,6,"Arid, steppe, hot",Arid,NA,Cfa,NA,FALSE
AU-MvB,30,17.608627777777777,593.9288333333334,BSk,BS,B,BSk,BS,B,era5_local,7,"Arid, steppe, cold",Arid,NA,Cfa,NA,FALSE
AU-Otw,30,12.87566111111111,719.6304666666665,Csb,Cs,C,Csb,Cs,C,era5_local,9,"Temperate, dry summer, warm summer",Temperate,NA,Csb,NA,TRUE
AU-RDF,30,26.79982777777778,999.6309000000001,Aw,Aw,A,Aw,Aw,A,era5_local,3,"Tropical, savannah",Tropical,NA,Aw,NA,TRUE
