site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method
AR-Bal,-37.7596,-58.3024,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
AR-CCa,-35.621,-61.3181,11,Herbaceous cover,1,Cropland,exact
AR-CCg,-35.9244,-61.1855,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact
AR-TF1,-54.9733,-66.7335,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
AR-TF2,-54.8269,-68.4549,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
BR-CST,-7.9682,-38.3842,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact
BR-ITA,-23.0604,-48.6467,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
BR-Ji3,-10.1866,-61.8725,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
BR-Ma2,-2.6091,-60.2093,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
BR-Ma3,-2.3907,-59.8835,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
BR-Npw,-16.498,-56.412,120,Shrubland,3,Shrubland,exact
BR-Sa1,-2.8567,-54.9589,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
BR-Sa3,-3.018,-54.9714,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact
BR-SM1,-30.2771,-53.1479,180,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",5,Wetland,exact
BR-Xpw,-16.373,-56.461,40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%) ",10,Other,exact
CA-ARB,52.695,-83.9452,120,Shrubland,3,Shrubland,exact
CA-ARF,52.7008,-83.955,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact
CA-BOU,50.5244,-63.2064,130,Grassland,4,Grassland,exact
CA-Ca1,49.8673,-125.3336,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
CA-Ca2,49.8705,-125.2909,120,Shrubland,3,Shrubland,exact
CA-Ca3,49.5346,-124.9004,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact
CA-Cbo,44.3184,-79.9341,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact
CA-CF1,58.6658,-93.83,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact
CA-CF2,58.6658,-93.83,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact
CA-CF3,58.6658,-93.8304,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact
CA-DB2,49.119,-122.9951,200,Bare areas,7,Bare,exact
CA-DBB,49.1293,-122.9849,200,Bare areas,7,Bare,exact
CA-DSM,49.0887,-122.8954,11,Herbaceous cover,1,Cropland,exact
CA-EM1,50.3623,-100.2024,11,Herbaceous cover,1,Cropland,exact
CA-EM2,50.3706,-100.5339,11,Herbaceous cover,1,Cropland,exact
CA-Gro,48.2167,-82.1556,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact
CA-HPC,68.3203,-133.5188,150,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",3,Shrubland,exact
CA-KLP,51.5902,-81.7684,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact
