site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
AR-SLu,-33.4648,-66.4598,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
AR-Vir,-28.2395,-56.1886,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
AT-Neu,47.1167,11.3175,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
AU-Ade,-13.0769,131.1178,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
AU-ASM,-22.283,133.249,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
AU-Cpr,-34.0021,140.5891,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
AU-Cum,-33.6152,150.7236,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
AU-DaP,-14.0633,131.3181,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
AU-DaS,-14.1593,131.3881,122,Shrubland deciduous,3,Shrubland,exact,122,Shrubland deciduous,12,Shrubland,3,Shrubland
AU-Dry,-15.2588,132.3706,122,Shrubland deciduous,3,Shrubland,exact,122,Shrubland deciduous,12,Shrubland,3,Shrubland
AU-Emr,-23.8587,148.4746,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
AU-Fog,-12.5452,131.3072,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
AU-Gin,-31.3764,115.7138,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact,62,"Tree cover, broadleaved, deciduous, open (15-40%)",6,BL deciduous forest,2,Forest
AU-GWW,-30.1913,120.6541,122,Shrubland deciduous,3,Shrubland,exact,122,Shrubland deciduous,12,Shrubland,3,Shrubland
AU-How,-12.4943,131.1523,122,Shrubland deciduous,3,Shrubland,exact,122,Shrubland deciduous,12,Shrubland,3,Shrubland
AU-Lox,-34.4704,140.6551,20,"Cropland, irrigated or post-flooding",1,Cropland,exact,20,"Cropland, irrigated or post-flooding",2,Irrigated cropland,1,Cropland
