site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
AT-Neu,47.116668701171875,11.317500114440918,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
AU-Fog,-12.542499542236328,131.3070068359375,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
AU-How,-12.49429988861084,131.15199279785156,122,Shrubland deciduous,3,Shrubland,exact,122,Shrubland deciduous,12,Shrubland,3,Shrubland
AU-Tum,-35.65570068359375,148.15199279785156,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
AU-Wac,-37.42900085449219,145.18699645996094,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
BE-Bra,51.309200286865234,4.520559787750244,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
BE-Jal,50.56389999389648,6.073329925537109,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
BE-Lon,50.55220031738281,4.744939804077148,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
BE-Vie,50.30550003051758,5.996829986572266,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
BR-Ban,-9.824419975280762,-50.15909957885742,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
BR-Cax,-1.7197200059890747,-51.45899963378906,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
BR-Ji1,-10.761799812316896,-62.357200622558594,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
BR-Ji2,-10.083200454711914,-61.93090057373047,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
BR-Ma2,-2.609100103378296,-60.20930099487305,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
BR-Sa1,-2.8566699028015137,-54.95890045166016,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
BR-Sa2,-3.011899948120117,-54.5364990234375,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
BR-Sa3,-3.0180299282073975,-54.97140121459961,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
BR-Sp1,-21.61949920654297,-47.649898529052734,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",2,Forest,exact,50,"Tree cover, broadleaved, evergreen, closed to open (>15%)",5,BL evergreen forest,2,Forest
BW-Ghg,-21.510000228881836,21.739999771118164,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
BW-Ghm,-21.200000762939453,21.75,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
BW-Ma1,-19.91550064086914,23.56049919128418,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
CA-Ca1,49.8671989440918,-125.33399963378906,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
CA-Ca2,49.87049865722656,-125.29100036621094,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
CA-Ca3,49.53459930419922,-124.9000015258789,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-Gro,48.21670150756836,-82.15560150146484,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
CA-Let,49.70930099487305,-112.94000244140624,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CA-Man,55.879600524902344,-98.48079681396484,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-Mer,45.409400939941406,-75.51860046386719,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-NS1,55.87919998168945,-98.48390197753906,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-NS2,55.905799865722656,-98.52469635009766,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-NS3,55.91170120239258,-98.3822021484375,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-NS4,55.91170120239258,-98.3822021484375,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-NS5,55.86309814453125,-98.48500061035156,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
CA-NS6,55.91669845581055,-98.9644012451172,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
CA-NS7,56.635799407958984,-99.94830322265624,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-Oas,53.62889862060547,-106.197998046875,61,"Tree cover, broadleaved, deciduous, closed (>40%)",2,Forest,exact,61,"Tree cover, broadleaved, deciduous, closed (>40%)",6,BL deciduous forest,2,Forest
CA-Obs,53.98720169067383,-105.11799621582033,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-Ojp,53.91630172729492,-104.69200134277344,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-Qcu,49.2671012878418,-74.0364990234375,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2,Forest,exact,100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),10,Mosaic tree-shrub/herb,2,Forest
CA-Qfo,49.692501068115234,-74.34210205078125,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-SF1,54.48500061035156,-105.81800079345705,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-SF2,54.25389862060547,-105.87799835205078,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
CA-SF3,54.09159851074219,-106.00499725341795,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-SJ1,53.90800094604492,-104.65599822998048,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-SJ2,53.94499969482422,-104.64900207519533,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
CA-SJ3,53.87580108642578,-104.6449966430664,71,"Tree cover, needleleaved, evergreen, closed (>40%)",2,Forest,exact,71,"Tree cover, needleleaved, evergreen, closed (>40%)",7,NL evergreen forest,2,Forest
CA-TP1,42.6609001159668,-80.55950164794922,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CA-TP2,42.77439880371094,-80.45880126953125,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CA-TP3,42.7067985534668,-80.348297119140625,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-TP4,42.70980072021485,-80.3573989868164,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-WP1,54.953800201416016,-112.46700286865234,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
CA-WP2,55.537498474121094,-112.33399963378906,120,Shrubland,3,Shrubland,exact,120,Shrubland,12,Shrubland,3,Shrubland
CA-WP3,54.470001220703125,-113.31999969482422,210,Water bodies,9,Water,exact,210,Water bodies,21,Water bodies,9,Water
CG-Tch,-4.289169788360596,11.656399726867676,62,"Tree cover, broadleaved, deciduous, open (15-40%)",2,Forest,exact,62,"Tree cover, broadleaved, deciduous, open (15-40%)",6,BL deciduous forest,2,Forest
CH-Oe1,47.28559875488281,7.732140064239502,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CH-Oe2,47.28630065917969,7.734330177307129,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CN-Anh,33,117,20,"Cropland, irrigated or post-flooding",1,Cropland,exact,20,"Cropland, irrigated or post-flooding",2,Irrigated cropland,1,Cropland
CN-Bed,39.53060150146485,116.2519989013672,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
CN-Cha,42.40250015258789,128.0959930419922,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
CN-Do1,31.516700744628903,121.96099853515624,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
CN-Do2,31.584699630737305,121.90299987792967,210,Water bodies,9,Water,exact,210,Water bodies,21,Water bodies,9,Water
CN-Do3,31.51689910888672,121.97200012207033,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",1,Cropland,exact,30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",3,Mosaic cropland/nat-veg,1,Cropland
CN-Du1,42.04560089111328,116.6709976196289,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
CN-Du2,42.04669952392578,116.28399658203124,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
CN-HaM,37.369998931884766,101.18000030517578,130,Grassland,4,Grassland,exact,130,Grassland,13,Grassland,4,Grassland
CN-Hny,29.309999465942383,112.51000213623048,20,"Cropland, irrigated or post-flooding",1,Cropland,exact,20,"Cropland, irrigated or post-flooding",2,Irrigated cropland,1,Cropland
