site_id,location_lat,location_long,cci_native_class,cci_native_class_name,cci_high_level_class,cci_high_level_class_name,landcover_method,lulc_native,lulc_native_name,lulc_level2,lulc_level2_name,lulc_highlevel,lulc_highlevel_name
UK-Gri,56.60721969604492,-3.798059940338135,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-Atq,70.46959686279297,-157.4089965820312,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
US-Brw,71.32250213623047,-156.6259002685547,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
US-HVa,69.13330078125,-148.8329925537109,200,Bare areas,7,Bare,exact,200,Bare areas,20,Bare areas,7,Bare
US-Blo,38.89519882202148,-120.6327514648438,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-NR1,40.03290176391602,-105.5459976196289,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
BE-Bra,51.30920028686523,4.520559787750244,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
US-Bo1,40.00619888305664,-88.29039764404297,11,Herbaceous cover,1,Cropland,exact,11,Herbaceous cover,1,Rainfed cropland,1,Cropland
IT-Cpz,41.7052001953125,12.37609958648682,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
US-Dk3,35.97819900512695,-79.09420013427734,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",2,Forest,exact,90,"Tree cover, mixed leaf type (broadleaved and needleleaved)",9,Mixed forest,2,Forest
SE-Fla,64.11280059814453,19.45689964294434,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",2,Forest,exact,70,"Tree cover, needleleaved, evergreen, closed to open (>15%)",7,NL evergreen forest,2,Forest
IS-Gun,63.83330154418945,-20.21669960021973,140,Lichens and mosses,10,Other,exact,140,Lichens and mosses,14,Lichens and mosses,10,Other
FR-Hes,48.67419815063477,7.064620018005371,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",2,Forest,exact,60,"Tree cover, broadleaved, deciduous, closed to open (>15%)",6,BL deciduous forest,2,Forest
US-Ho1,45.2041015625,-68.74019622802734,160,"Tree cover, flooded, fresh or brakish water",5,Wetland,exact,160,"Tree cover, flooded, fresh or brakish water",16,Flooded forest (freshwater),5,Wetland
