site_id,igbp,network,n_record_years,ge_10yr,ge_20yr
AR-Bal,CRO,AmeriFlux,0,FALSE,FALSE
AR-CCa,CRO,AmeriFlux,8,FALSE,FALSE
AR-CCg,GRA,AmeriFlux,6,FALSE,FALSE
AR-TF1,WET,AmeriFlux,2,FALSE,FALSE
AR-TF2,WET,AmeriFlux,2,FALSE,FALSE
BR-CST,DNF,AmeriFlux,2,FALSE,FALSE
BR-ITA,EBF,AmeriFlux,4,FALSE,FALSE
BR-Ji3,EBF,AmeriFlux;LBA,5,FALSE,FALSE
BR-Ma2,EBF,AmeriFlux;LBA,18,TRUE,FALSE
BR-Ma3,CVM,AmeriFlux;LBA,7,FALSE,FALSE
BR-Npw,WSA,AmeriFlux,4,FALSE,FALSE
BR-Sa1,EBF,AmeriFlux;LBA,7,FALSE,FALSE
BR-Sa3,EBF,AmeriFlux,4,FALSE,FALSE
BR-SM1,CRO,AmeriFlux,1,FALSE,FALSE
BR-Xpw,GRA,AmeriFlux,5,FALSE,FALSE
CA-ARB,WET,AmeriFlux,12,TRUE,FALSE
CA-ARF,WET,AmeriFlux,13,TRUE,FALSE
CA-BOU,WET,AmeriFlux,1,FALSE,FALSE
CA-Ca1,ENF,AmeriFlux;Fluxnet-Canada,13,TRUE,FALSE
CA-Ca2,ENF,AmeriFlux;Fluxnet-Canada,10,TRUE,FALSE
CA-Ca3,ENF,AmeriFlux;Fluxnet-Canada;Phenocam,20,TRUE,TRUE
CA-Cbo,DBF,AmeriFlux;Fluxnet-Canada,28,TRUE,TRUE
CA-CF1,WET,AmeriFlux,0,FALSE,FALSE
CA-CF2,WET,AmeriFlux,2,FALSE,FALSE
CA-CF3,WET,AmeriFlux,3,FALSE,FALSE
CA-DB2,WET,AmeriFlux,5,FALSE,FALSE
CA-DBB,WET,AmeriFlux,9,FALSE,FALSE
CA-DSM,WET,AmeriFlux,3,FALSE,FALSE
CA-EM1,WET,AmeriFlux,3,FALSE,FALSE
CA-EM2,WET,AmeriFlux,3,FALSE,FALSE
CA-Gro,MF,AmeriFlux;Fluxnet-Canada;Phenocam,10,TRUE,FALSE
CA-HPC,ENF,AmeriFlux,1,FALSE,FALSE
CA-KLP,WET,AmeriFlux,10,TRUE,FALSE
CA-LP1,ENF,AmeriFlux,18,TRUE,FALSE
CA-LU1,OSH,AmeriFlux,2,FALSE,FALSE
CA-LU2,OSH,AmeriFlux,2,FALSE,FALSE
CA-MA1,CRO,AmeriFlux,3,FALSE,FALSE
CA-MA2,CRO,AmeriFlux,2,FALSE,FALSE
CA-MA3,GRA,AmeriFlux,3,FALSE,FALSE
CA-Man,ENF,AmeriFlux;Fluxnet-Canada,15,TRUE,FALSE
CA-Mer,WET,AmeriFlux;Fluxnet-Canada;Phenocam,23,TRUE,TRUE
CA-Mtk,GRA,AmeriFlux,0,FALSE,FALSE
