site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30
AR-Bal,-37.7596,-58.3024,44.81358337402344,exact,6,41.8–58.1 mm yr-1,22
AR-CCa,-35.621,-61.3181,47.77531433105469,exact,6,41.8–58.1 mm yr-1,23
AR-CCg,-35.9244,-61.1855,47.77531433105469,exact,6,41.8–58.1 mm yr-1,23
AR-TF1,-54.9733,-66.7335,25.902324676513672,exact,4,24.2–32.0 mm yr-1,12
AR-TF2,-54.8269,-68.4549,20.701353073120117,exact,3,17.5–24.2 mm yr-1,9
BR-CST,-7.9682,-38.3842,104.50213623046876,exact,7,>58.1 mm yr-1,30
BR-ITA,-23.0604,-48.6467,54.2691650390625,exact,6,41.8–58.1 mm yr-1,25
BR-Ji3,-10.1866,-61.8725,33.5329704284668,exact,5,32.0–41.8 mm yr-1,17
BR-Ma2,-2.6091,-60.2093,61.611812591552734,exact,7,>58.1 mm yr-1,26
BR-Ma3,-2.3907,-59.8835,62.08590316772461,exact,7,>58.1 mm yr-1,26
BR-Npw,-16.498,-56.412,46.775123596191406,exact,6,41.8–58.1 mm yr-1,23
BR-Sa1,-2.8567,-54.9589,65.48383331298828,exact,7,>58.1 mm yr-1,27
BR-Sa3,-3.018,-54.9714,66.11839294433594,exact,7,>58.1 mm yr-1,27
BR-SM1,-30.2771,-53.1479,40.11595916748047,exact,5,32.0–41.8 mm yr-1,20
BR-Xpw,-16.373,-56.461,46.775123596191406,exact,6,41.8–58.1 mm yr-1,23
CA-ARB,52.695,-83.9452,23.886287689208984,exact,3,17.5–24.2 mm yr-1,11
CA-ARF,52.7008,-83.955,23.886287689208984,exact,3,17.5–24.2 mm yr-1,11
CA-BOU,50.5244,-63.2064,22.65873908996582,exact,3,17.5–24.2 mm yr-1,10
CA-Ca1,49.8673,-125.3336,28.13716697692871,exact,4,24.2–32.0 mm yr-1,14
