site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30,trendy_et_iav_bin_12,trendy_et_iav_bin_18,trendy_et_iav_bin_20
AT-Neu,47.116668701171875,11.317500114440918,24.13471794128418,exact,3,17.5–24.2 mm yr-1,11,5,7,8
AU-Fog,-12.542499542236328,131.3070068359375,86.31398010253906,exact,7,>58.1 mm yr-1,29,12,18,20
AU-How,-12.49429988861084,131.15199279785156,83.79655456542969,exact,7,>58.1 mm yr-1,29,12,18,19
AU-Tum,-35.65570068359375,148.15199279785156,82.04784393310547,exact,7,>58.1 mm yr-1,29,12,18,19
AU-Wac,-37.42900085449219,145.18699645996094,81.7247085571289,exact,7,>58.1 mm yr-1,29,12,17,19
BE-Bra,51.309200286865234,4.520559787750244,32.68758773803711,exact,5,32.0–41.8 mm yr-1,16,7,10,11
BE-Jal,50.56389999389648,6.073329925537109,21.39668846130371,exact,3,17.5–24.2 mm yr-1,9,4,6,7
BE-Lon,50.55220031738281,4.744939804077148,30.07001495361328,exact,4,24.2–32.0 mm yr-1,15,7,9,10
BE-Vie,50.30550003051758,5.996829986572266,28.133655548095703,exact,4,24.2–32.0 mm yr-1,14,6,9,10
BR-Ban,-9.824419975280762,-50.15909957885742,53.30817794799805,exact,6,41.8–58.1 mm yr-1,25,10,15,17
BR-Cax,-1.7197200059890747,-51.45899963378906,56.03593826293945,exact,6,41.8–58.1 mm yr-1,25,10,15,17
BR-Ji1,-10.761799812316896,-62.357200622558594,33.724246978759766,exact,5,32.0–41.8 mm yr-1,17,7,11,12
BR-Ji2,-10.083200454711914,-61.93090057373047,33.5329704284668,exact,5,32.0–41.8 mm yr-1,17,7,10,12
BR-Ma2,-2.609100103378296,-60.20930099487305,61.611812591552734,exact,7,>58.1 mm yr-1,26,11,16,18
BR-Sa1,-2.8566699028015137,-54.95890045166016,65.48383331298828,exact,7,>58.1 mm yr-1,27,11,16,18
BR-Sa2,-3.011899948120117,-54.5364990234375,66.11839294433594,exact,7,>58.1 mm yr-1,27,11,16,18
BR-Sa3,-3.0180299282073975,-54.97140121459961,66.11839294433594,exact,7,>58.1 mm yr-1,27,11,16,18
BR-Sp1,-21.61949920654297,-47.649898529052734,50.65265655517578,exact,6,41.8–58.1 mm yr-1,24,10,15,16
BW-Ghg,-21.510000228881836,21.739999771118164,54.16634750366211,exact,6,41.8–58.1 mm yr-1,25,10,15,17
BW-Ghm,-21.200000762939453,21.75,56.179012298583984,exact,6,41.8–58.1 mm yr-1,25,11,15,17
BW-Ma1,-19.91550064086914,23.56049919128418,56.59271240234375,exact,6,41.8–58.1 mm yr-1,25,11,15,17
CA-Ca1,49.8671989440918,-125.33399963378906,28.13716697692871,exact,4,24.2–32.0 mm yr-1,14,6,9,10
CA-Ca2,49.87049865722656,-125.29100036621094,28.13716697692871,exact,4,24.2–32.0 mm yr-1,14,6,9,10
CA-Ca3,49.53459930419922,-124.9000015258789,17.89432716369629,exact,3,17.5–24.2 mm yr-1,7,3,4,5
CA-Gro,48.21670150756836,-82.15560150146484,25.809736251831055,exact,4,24.2–32.0 mm yr-1,12,6,8,9
CA-Let,49.70930099487305,-112.94000244140624,31.12058448791504,exact,4,24.2–32.0 mm yr-1,16,7,10,11
CA-Man,55.879600524902344,-98.48079681396484,21.131481170654297,exact,3,17.5–24.2 mm yr-1,9,4,6,6
CA-Mer,45.409400939941406,-75.51860046386719,21.71001243591309,exact,3,17.5–24.2 mm yr-1,9,5,6,7
CA-NS1,55.87919998168945,-98.48390197753906,21.131481170654297,exact,3,17.5–24.2 mm yr-1,9,4,6,6
CA-NS2,55.905799865722656,-98.52469635009766,23.360034942626953,exact,3,17.5–24.2 mm yr-1,11,5,7,7
CA-NS3,55.91170120239258,-98.3822021484375,21.131481170654297,exact,3,17.5–24.2 mm yr-1,9,4,6,6
CA-NS4,55.91170120239258,-98.3822021484375,21.131481170654297,exact,3,17.5–24.2 mm yr-1,9,4,6,6
CA-NS5,55.86309814453125,-98.48500061035156,21.131481170654297,exact,3,17.5–24.2 mm yr-1,9,4,6,6
CA-NS6,55.91669845581055,-98.9644012451172,23.360034942626953,exact,3,17.5–24.2 mm yr-1,11,5,7,7
