site_id,location_lat,location_long,trendy_et_iav_value,trendy_et_iav_method,trendy_et_iav_bin,trendy_et_iav_bin_label,trendy_et_iav_bin_30
UK-Gri,56.60721969604492,-3.798059940338135,17.6687068939209,exact,3,17.5–24.2 mm yr-1,6
US-Atq,70.46959686279297,-157.4089965820312,16.660850524902344,exact,2,5.0–17.5 mm yr-1,6
US-Brw,71.32250213623047,-156.6259002685547,15.54870891571045,exact,2,5.0–17.5 mm yr-1,5
US-HVa,69.13330078125,-148.8329925537109,23.259965896606445,exact,3,17.5–24.2 mm yr-1,11
US-Blo,38.89519882202148,-120.6327514648438,44.38163757324219,exact,6,41.8–58.1 mm yr-1,22
US-NR1,40.03290176391602,-105.5459976196289,29.9481258392334,exact,4,24.2–32.0 mm yr-1,15
BE-Bra,51.30920028686523,4.520559787750244,32.68758773803711,exact,5,32.0–41.8 mm yr-1,16
US-Bo1,40.00619888305664,-88.29039764404297,34.049278259277344,exact,5,32.0–41.8 mm yr-1,17
IT-Cpz,41.7052001953125,12.37609958648682,35.20032501220703,exact,5,32.0–41.8 mm yr-1,18
US-Dk3,35.97819900512695,-79.09420013427734,31.15877914428711,exact,4,24.2–32.0 mm yr-1,16
SE-Fla,64.11280059814453,19.45689964294434,18.75200843811035,exact,3,17.5–24.2 mm yr-1,7
IS-Gun,63.83330154418945,-20.21669960021973,19.597761154174805,exact,3,17.5–24.2 mm yr-1,8
FR-Hes,48.67419815063477,7.064620018005371,28.27851676940918,exact,4,24.2–32.0 mm yr-1,14
US-Ho1,45.2041015625,-68.74019622802734,24.91582679748535,exact,4,24.2–32.0 mm yr-1,12
US-Ha1,42.53779983520508,-72.17150115966797,22.274150848388672,exact,3,17.5–24.2 mm yr-1,10
FI-Hyy,61.8474006652832,24.2947998046875,20.633230209350582,exact,3,17.5–24.2 mm yr-1,9
CA-Ojp,53.91630172729492,-104.6920013427734,30.31418800354004,exact,4,24.2–32.0 mm yr-1,15
NL-Loo,52.16790008544922,5.743959903717041,31.945024490356445,exact,4,24.2–32.0 mm yr-1,16
US-LWW,34.96039962768555,-97.97889709472656,72.55506134033203,exact,7,>58.1 mm yr-1,28
BR-Ma2,-2.609100103378296,-60.20930099487305,61.611812591552734,exact,7,>58.1 mm yr-1,26
US-Me2,44.45230102539062,-121.5574035644531,27.824106216430664,exact,4,24.2–32.0 mm yr-1,14
CA-Obs,53.98720169067383,-105.1179962158203,28.55257225036621,exact,4,24.2–32.0 mm yr-1,14
SE-Nor,60.08649826049805,17.4795036315918,23.866788864135746,exact,3,17.5–24.2 mm yr-1,11
US-Pon,36.76670074462891,-97.13330078125,66.58199310302734,exact,7,>58.1 mm yr-1,27
US-SO2,33.3739013671875,-116.6228866577148,73.4427719116211,exact,7,>58.1 mm yr-1,28
US-SO3,33.37720108032227,-116.622688293457,73.4427719116211,exact,7,>58.1 mm yr-1,28
DK-Sor,55.48690032958984,11.64579963684082,28.594581604003903,exact,4,24.2–32.0 mm yr-1,14
DE-Tha,50.96360015869141,13.5669002532959,26.51685905456543,exact,4,24.2–32.0 mm yr-1,13
US-Upa,70.28150177001953,-148.8849945068359,19.3133487701416,exact,3,17.5–24.2 mm yr-1,8
BE-Vie,50.30550003051758,5.996829986572266,28.133655548095703,exact,4,24.2–32.0 mm yr-1,14
US-WBW,35.95880126953125,-84.28739929199219,36.88323974609375,exact,5,32.0–41.8 mm yr-1,18
DE-Bay,50.14189910888672,11.86690044403076,26.425701141357425,exact,4,24.2–32.0 mm yr-1,13
US-PFa,45.94589996337891,-90.27230072021484,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-WCr,45.80590057373047,-90.07990264892578,27.34905242919922,exact,4,24.2–32.0 mm yr-1,13
US-Wrc,45.82049942016602,-121.9520034790039,34.412635803222656,exact,5,32.0–41.8 mm yr-1,17
