site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30,trendy_et_median_bin_12,trendy_et_median_bin_18,trendy_et_median_bin_20
AR-Bal,-37.7596,-58.3024,665.5504150390625,exact,6,634.7–968.6 mm yr-1,21,9,13,14
AR-CCa,-35.621,-61.3181,769.0166625976564,exact,6,634.7–968.6 mm yr-1,23,10,14,15
AR-CCg,-35.9244,-61.1855,769.0166625976564,exact,6,634.7–968.6 mm yr-1,23,10,14,15
AR-TF1,-54.9733,-66.7335,305.5079345703125,exact,4,263.9–394.0 mm yr-1,13,6,8,9
AR-TF2,-54.8269,-68.4549,315.72100830078125,exact,4,263.9–394.0 mm yr-1,13,6,8,9
BR-CST,-7.9682,-38.3842,581.6319580078125,exact,5,394.0–634.7 mm yr-1,20,9,12,14
BR-ITA,-23.0604,-48.6467,915.5062255859376,exact,6,634.7–968.6 mm yr-1,25,10,15,17
BR-Ji3,-10.1866,-61.8725,1090.2716064453125,exact,7,>968.6 mm yr-1,30,12,18,20
BR-Ma2,-2.6091,-60.2093,1175.1846923828125,exact,7,>968.6 mm yr-1,30,12,18,20
BR-Ma3,-2.3907,-59.8835,1177.093017578125,exact,7,>968.6 mm yr-1,30,12,18,20
BR-Npw,-16.498,-56.412,1024.5352783203125,exact,7,>968.6 mm yr-1,30,12,18,20
BR-Sa1,-2.8567,-54.9589,1111.390625,exact,7,>968.6 mm yr-1,30,12,18,20
BR-Sa3,-3.018,-54.9714,1118.89794921875,exact,7,>968.6 mm yr-1,30,12,18,20
BR-SM1,-30.2771,-53.1479,887.019775390625,exact,6,634.7–968.6 mm yr-1,25,10,15,17
BR-Xpw,-16.373,-56.461,1024.5352783203125,exact,7,>968.6 mm yr-1,30,12,18,20
CA-ARB,52.695,-83.9452,323.6162414550781,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-ARF,52.7008,-83.955,323.6162414550781,exact,4,263.9–394.0 mm yr-1,14,6,9,9
CA-BOU,50.5244,-63.2064,356.5845642089844,exact,4,263.9–394.0 mm yr-1,15,7,9,10
CA-Ca1,49.8673,-125.3336,460.1975708007813,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CA-Ca2,49.8705,-125.2909,460.1975708007813,exact,5,394.0–634.7 mm yr-1,18,8,11,12
CA-Ca3,49.5346,-124.9004,432.8990173339844,exact,5,394.0–634.7 mm yr-1,17,7,11,12
CA-Cbo,44.3184,-79.9341,516.54071044921875,exact,5,394.0–634.7 mm yr-1,19,8,12,13
CA-CF1,58.6658,-93.83,223.15382385253903,exact,3,143.4–263.9 mm yr-1,9,5,6,7
CA-CF2,58.6658,-93.83,223.15382385253903,exact,3,143.4–263.9 mm yr-1,9,5,6,7
CA-CF3,58.6658,-93.8304,223.15382385253903,exact,3,143.4–263.9 mm yr-1,9,5,6,7
CA-DB2,49.119,-122.9951,487.0632019042969,exact,5,394.0–634.7 mm yr-1,18,8,11,13
CA-DBB,49.1293,-122.9849,487.0632019042969,exact,5,394.0–634.7 mm yr-1,18,8,11,13
CA-DSM,49.0887,-122.8954,487.0632019042969,exact,5,394.0–634.7 mm yr-1,18,8,11,13
CA-EM1,50.3623,-100.2024,372.9131164550781,exact,4,263.9–394.0 mm yr-1,15,7,10,11
