site_id,location_lat,location_long,trendy_et_median_value,trendy_et_median_method,trendy_et_median_bin,trendy_et_median_bin_label,trendy_et_median_bin_30
AT-Neu,47.116668701171875,11.317500114440918,538.36212158203125,exact,5,394.0–634.7 mm yr-1,19
AU-Fog,-12.542499542236328,131.3070068359375,927.01641845703125,exact,6,634.7–968.6 mm yr-1,25
AU-How,-12.49429988861084,131.15199279785156,1013.4210205078124,exact,7,>968.6 mm yr-1,30
AU-Tum,-35.65570068359375,148.15199279785156,732.27984619140625,exact,6,634.7–968.6 mm yr-1,22
AU-Wac,-37.42900085449219,145.18699645996094,632.4759521484375,exact,5,394.0–634.7 mm yr-1,21
BE-Bra,51.309200286865234,4.520559787750244,431.9701843261719,exact,5,394.0–634.7 mm yr-1,17
BE-Jal,50.56389999389648,6.073329925537109,445.409912109375,exact,5,394.0–634.7 mm yr-1,17
BE-Lon,50.55220031738281,4.744939804077148,470.2182312011719,exact,5,394.0–634.7 mm yr-1,18
BE-Vie,50.30550003051758,5.996829986572266,488.7662048339844,exact,5,394.0–634.7 mm yr-1,18
BR-Ban,-9.824419975280762,-50.15909957885742,1023.2445068359376,exact,7,>968.6 mm yr-1,30
BR-Cax,-1.7197200059890747,-51.45899963378906,1115.9031982421875,exact,7,>968.6 mm yr-1,30
BR-Ji1,-10.761799812316896,-62.357200622558594,1012.2582397460938,exact,7,>968.6 mm yr-1,30
BR-Ji2,-10.083200454711914,-61.93090057373047,1090.2716064453125,exact,7,>968.6 mm yr-1,30
BR-Ma2,-2.609100103378296,-60.20930099487305,1175.1846923828125,exact,7,>968.6 mm yr-1,30
BR-Sa1,-2.8566699028015137,-54.95890045166016,1111.390625,exact,7,>968.6 mm yr-1,30
BR-Sa2,-3.011899948120117,-54.5364990234375,1118.89794921875,exact,7,>968.6 mm yr-1,30
BR-Sa3,-3.0180299282073975,-54.97140121459961,1118.89794921875,exact,7,>968.6 mm yr-1,30
BR-Sp1,-21.61949920654297,-47.649898529052734,891.78668212890625,exact,6,634.7–968.6 mm yr-1,25
BW-Ghg,-21.510000228881836,21.739999771118164,365.3415222167969,exact,4,263.9–394.0 mm yr-1,15
BW-Ghm,-21.200000762939453,21.75,376.2617492675781,exact,4,263.9–394.0 mm yr-1,15
BW-Ma1,-19.91550064086914,23.56049919128418,430.4280700683594,exact,5,394.0–634.7 mm yr-1,17
CA-Ca1,49.8671989440918,-125.33399963378906,460.1975708007813,exact,5,394.0–634.7 mm yr-1,18
CA-Ca2,49.87049865722656,-125.29100036621094,460.1975708007813,exact,5,394.0–634.7 mm yr-1,18
CA-Ca3,49.53459930419922,-124.9000015258789,432.8990173339844,exact,5,394.0–634.7 mm yr-1,17
CA-Gro,48.21670150756836,-82.15560150146484,383.2193298339844,exact,4,263.9–394.0 mm yr-1,16
CA-Let,49.70930099487305,-112.94000244140624,350.8122253417969,exact,4,263.9–394.0 mm yr-1,15
CA-Man,55.879600524902344,-98.48079681396484,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14
CA-Mer,45.409400939941406,-75.51860046386719,505.5522155761719,exact,5,394.0–634.7 mm yr-1,19
CA-NS1,55.87919998168945,-98.48390197753906,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14
CA-NS2,55.905799865722656,-98.52469635009766,326.063232421875,exact,4,263.9–394.0 mm yr-1,14
CA-NS3,55.91170120239258,-98.3822021484375,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14
CA-NS4,55.91170120239258,-98.3822021484375,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14
CA-NS5,55.86309814453125,-98.48500061035156,323.7563781738281,exact,4,263.9–394.0 mm yr-1,14
CA-NS6,55.91669845581055,-98.9644012451172,326.063232421875,exact,4,263.9–394.0 mm yr-1,14
CA-NS7,56.635799407958984,-99.94830322265624,310.3047790527344,exact,4,263.9–394.0 mm yr-1,13
CA-Oas,53.62889862060547,-106.197998046875,370.6502380371094,exact,4,263.9–394.0 mm yr-1,15
CA-Obs,53.98720169067383,-105.11799621582033,358.8319396972656,exact,4,263.9–394.0 mm yr-1,15
CA-Ojp,53.91630172729492,-104.69200134277344,360.9790954589844,exact,4,263.9–394.0 mm yr-1,15
CA-Qcu,49.2671012878418,-74.0364990234375,403.844970703125,exact,5,394.0–634.7 mm yr-1,16
CA-Qfo,49.692501068115234,-74.34210205078125,386.6043395996094,exact,4,263.9–394.0 mm yr-1,16
CA-SF1,54.48500061035156,-105.81800079345705,376.0792541503906,exact,4,263.9–394.0 mm yr-1,15
CA-SF2,54.25389862060547,-105.87799835205078,376.0792541503906,exact,4,263.9–394.0 mm yr-1,15
CA-SF3,54.09159851074219,-106.00499725341795,373.7274475097656,exact,4,263.9–394.0 mm yr-1,15
CA-SJ1,53.90800094604492,-104.65599822998048,360.9790954589844,exact,4,263.9–394.0 mm yr-1,15
CA-SJ2,53.94499969482422,-104.64900207519533,360.9790954589844,exact,4,263.9–394.0 mm yr-1,15
CA-SJ3,53.87580108642578,-104.6449966430664,360.9790954589844,exact,4,263.9–394.0 mm yr-1,15
CA-TP1,42.6609001159668,-80.55950164794922,552.3470458984375,exact,5,394.0–634.7 mm yr-1,20
CA-TP2,42.77439880371094,-80.45880126953125,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19
CA-TP3,42.7067985534668,-80.348297119140625,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19
CA-TP4,42.70980072021485,-80.3573989868164,521.9127197265625,exact,5,394.0–634.7 mm yr-1,19
CA-WP1,54.953800201416016,-112.46700286865234,366.68023681640625,exact,4,263.9–394.0 mm yr-1,15
CA-WP2,55.537498474121094,-112.33399963378906,354.2745666503906,exact,4,263.9–394.0 mm yr-1,15
CA-WP3,54.470001220703125,-113.31999969482422,393.7001953125,exact,4,263.9–394.0 mm yr-1,16
CG-Tch,-4.289169788360596,11.656399726867676,802.67919921875,exact,6,634.7–968.6 mm yr-1,23
CH-Oe1,47.28559875488281,7.732140064239502,529.791015625,exact,5,394.0–634.7 mm yr-1,19
CH-Oe2,47.28630065917969,7.734330177307129,529.791015625,exact,5,394.0–634.7 mm yr-1,19
CN-Anh,33,117,704.02520751953125,exact,6,634.7–968.6 mm yr-1,22
CN-Bed,39.53060150146485,116.2519989013672,387.34368896484375,exact,4,263.9–394.0 mm yr-1,16
CN-Cha,42.40250015258789,128.0959930419922,432.7327575683594,exact,5,394.0–634.7 mm yr-1,17
