site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
AR-Bal,-37.7596,-58.3024,65.00223541259766,exact,6,54.4–70.9 gC m-2 yr-1,24
AR-CCa,-35.621,-61.3181,57.4251823425293,exact,6,54.4–70.9 gC m-2 yr-1,22
AR-CCg,-35.9244,-61.1855,57.4251823425293,exact,6,54.4–70.9 gC m-2 yr-1,22
AR-TF1,-54.9733,-66.7335,28.187585830688477,exact,3,21.3–31.9 gC m-2 yr-1,9
AR-TF2,-54.8269,-68.4549,27.713947296142575,exact,3,21.3–31.9 gC m-2 yr-1,9
BR-CST,-7.9682,-38.3842,104.47744750976562,exact,7,>70.9 gC m-2 yr-1,29
BR-ITA,-23.0604,-48.6467,77.517822265625,exact,7,>70.9 gC m-2 yr-1,27
BR-Ji3,-10.1866,-61.8725,71.5263900756836,exact,7,>70.9 gC m-2 yr-1,26
BR-Ma2,-2.6091,-60.2093,85.653778076171875,exact,7,>70.9 gC m-2 yr-1,28
BR-Ma3,-2.3907,-59.8835,82.2235336303711,exact,7,>70.9 gC m-2 yr-1,28
BR-Npw,-16.498,-56.412,58.21345138549805,exact,6,54.4–70.9 gC m-2 yr-1,22
BR-Sa1,-2.8567,-54.9589,114.85386657714844,exact,7,>70.9 gC m-2 yr-1,30
BR-Sa3,-3.018,-54.9714,91.98081970214844,exact,7,>70.9 gC m-2 yr-1,29
BR-SM1,-30.2771,-53.1479,70.94609832763672,exact,7,>70.9 gC m-2 yr-1,26
BR-Xpw,-16.373,-56.461,58.21345138549805,exact,6,54.4–70.9 gC m-2 yr-1,22
CA-ARB,52.695,-83.9452,30.60662078857422,exact,3,21.3–31.9 gC m-2 yr-1,10
CA-ARF,52.7008,-83.955,30.60662078857422,exact,3,21.3–31.9 gC m-2 yr-1,10
CA-BOU,50.5244,-63.2064,37.23420715332031,exact,4,31.9–42.1 gC m-2 yr-1,14
CA-Ca1,49.8673,-125.3336,44.40263366699219,exact,5,42.1–54.4 gC m-2 yr-1,17
