site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
AR-SLu,-33.4648,-66.4598,63.9228401184082,exact,6,54.4–70.9 gC m-2 yr-1,24
AR-Vir,-28.2395,-56.1886,82.84656524658203,exact,7,>70.9 gC m-2 yr-1,28
AT-Neu,47.1167,11.3175,35.680198669433594,exact,4,31.9–42.1 gC m-2 yr-1,13
AU-Ade,-13.0769,131.1178,95.2620086669922,exact,7,>70.9 gC m-2 yr-1,29
AU-ASM,-22.283,133.249,32.19010543823242,exact,4,31.9–42.1 gC m-2 yr-1,11
AU-Cpr,-34.0021,140.5891,24.76468849182129,exact,3,21.3–31.9 gC m-2 yr-1,8
AU-Cum,-33.6152,150.7236,102.77889251708984,exact,7,>70.9 gC m-2 yr-1,29
AU-DaP,-14.0633,131.3181,86.56181335449219,exact,7,>70.9 gC m-2 yr-1,28
AU-DaS,-14.1593,131.3881,86.56181335449219,exact,7,>70.9 gC m-2 yr-1,28
AU-Dry,-15.2588,132.3706,78.772796630859375,exact,7,>70.9 gC m-2 yr-1,27
AU-Emr,-23.8587,148.4746,64.9056625366211,exact,6,54.4–70.9 gC m-2 yr-1,24
AU-Fog,-12.5452,131.3072,104.62977600097656,exact,7,>70.9 gC m-2 yr-1,29
AU-Gin,-31.3764,115.7138,58.41329574584961,exact,6,54.4–70.9 gC m-2 yr-1,22
AU-GWW,-30.1913,120.6541,26.77400016784668,exact,3,21.3–31.9 gC m-2 yr-1,9
AU-How,-12.4943,131.1523,80.72465515136719,exact,7,>70.9 gC m-2 yr-1,27
AU-Lox,-34.4704,140.6551,24.76468849182129,exact,3,21.3–31.9 gC m-2 yr-1,8
AU-RDF,-14.5636,132.4776,86.57793426513672,exact,7,>70.9 gC m-2 yr-1,28
AU-Rig,-36.6499,145.5759,91.47701263427734,exact,7,>70.9 gC m-2 yr-1,29
AU-Rob,-17.1175,145.6301,98.32994079589844,exact,7,>70.9 gC m-2 yr-1,29
AU-Stp,-17.1507,133.3502,33.32110595703125,exact,4,31.9–42.1 gC m-2 yr-1,12
AU-TTE,-22.287,133.64,36.68415832519531,exact,4,31.9–42.1 gC m-2 yr-1,13
AU-Tum,-35.6566,148.1517,104.82339477539062,exact,7,>70.9 gC m-2 yr-1,30
AU-Wac,-37.4259,145.1878,95.8881607055664,exact,7,>70.9 gC m-2 yr-1,29
AU-Whr,-36.6732,145.0294,88.3248062133789,exact,7,>70.9 gC m-2 yr-1,28
AU-Wom,-37.4222,144.0944,95.95996856689452,exact,7,>70.9 gC m-2 yr-1,29
AU-Ync,-34.9893,146.2907,59.644283294677734,exact,6,54.4–70.9 gC m-2 yr-1,23
BE-Bra,51.3076,4.5198,61.55887222290039,exact,6,54.4–70.9 gC m-2 yr-1,23
BE-Lon,50.5516,4.7462,59.07903289794922,exact,6,54.4–70.9 gC m-2 yr-1,22
BE-Vie,50.3049,5.9981,54.98711013793945,exact,6,54.4–70.9 gC m-2 yr-1,21
BR-Sa1,-2.8567,-54.9589,114.85386657714844,exact,7,>70.9 gC m-2 yr-1,30
BR-Sa3,-3.018,-54.9714,91.98081970214844,exact,7,>70.9 gC m-2 yr-1,29
