site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label,trendy_nee_iav_bin_30
AT-Neu,47.116668701171875,11.317500114440918,35.680198669433594,exact,4,31.9–42.1 gC m-2 yr-1,13
AU-Fog,-12.542499542236328,131.3070068359375,104.62977600097656,exact,7,>70.9 gC m-2 yr-1,29
AU-How,-12.49429988861084,131.15199279785156,80.72465515136719,exact,7,>70.9 gC m-2 yr-1,27
AU-Tum,-35.65570068359375,148.15199279785156,104.82339477539062,exact,7,>70.9 gC m-2 yr-1,30
AU-Wac,-37.42900085449219,145.18699645996094,95.8881607055664,exact,7,>70.9 gC m-2 yr-1,29
BE-Bra,51.309200286865234,4.520559787750244,61.55887222290039,exact,6,54.4–70.9 gC m-2 yr-1,23
BE-Jal,50.56389999389648,6.073329925537109,44.152530670166016,exact,5,42.1–54.4 gC m-2 yr-1,17
BE-Lon,50.55220031738281,4.744939804077148,59.07903289794922,exact,6,54.4–70.9 gC m-2 yr-1,22
BE-Vie,50.30550003051758,5.996829986572266,54.98711013793945,exact,6,54.4–70.9 gC m-2 yr-1,21
BR-Ban,-9.824419975280762,-50.15909957885742,69.91577911376953,exact,6,54.4–70.9 gC m-2 yr-1,25
BR-Cax,-1.7197200059890747,-51.45899963378906,71.51264953613281,exact,7,>70.9 gC m-2 yr-1,26
BR-Ji1,-10.761799812316896,-62.357200622558594,86.4454345703125,exact,7,>70.9 gC m-2 yr-1,28
BR-Ji2,-10.083200454711914,-61.93090057373047,71.5263900756836,exact,7,>70.9 gC m-2 yr-1,26
BR-Ma2,-2.609100103378296,-60.20930099487305,85.653778076171875,exact,7,>70.9 gC m-2 yr-1,28
BR-Sa1,-2.8566699028015137,-54.95890045166016,114.85386657714844,exact,7,>70.9 gC m-2 yr-1,30
BR-Sa2,-3.011899948120117,-54.5364990234375,91.98081970214844,exact,7,>70.9 gC m-2 yr-1,29
BR-Sa3,-3.0180299282073975,-54.97140121459961,91.98081970214844,exact,7,>70.9 gC m-2 yr-1,29
BR-Sp1,-21.61949920654297,-47.649898529052734,85.62481689453125,exact,7,>70.9 gC m-2 yr-1,28
BW-Ghg,-21.510000228881836,21.739999771118164,42.664215087890625,exact,5,42.1–54.4 gC m-2 yr-1,16
BW-Ghm,-21.200000762939453,21.75,36.95249557495117,exact,4,31.9–42.1 gC m-2 yr-1,14
BW-Ma1,-19.91550064086914,23.56049919128418,51.79671859741211,exact,5,42.1–54.4 gC m-2 yr-1,20
CA-Ca1,49.8671989440918,-125.33399963378906,44.40263366699219,exact,5,42.1–54.4 gC m-2 yr-1,17
CA-Ca2,49.87049865722656,-125.29100036621094,44.40263366699219,exact,5,42.1–54.4 gC m-2 yr-1,17
CA-Ca3,49.53459930419922,-124.9000015258789,20.422119140625,exact,2,5.0–21.3 gC m-2 yr-1,6
CA-Gro,48.21670150756836,-82.15560150146484,48.11235046386719,exact,5,42.1–54.4 gC m-2 yr-1,18
CA-Let,49.70930099487305,-112.94000244140624,38.825443267822266,exact,4,31.9–42.1 gC m-2 yr-1,15
CA-Man,55.879600524902344,-98.48079681396484,41.65699005126953,exact,4,31.9–42.1 gC m-2 yr-1,16
CA-Mer,45.409400939941406,-75.51860046386719,49.607208251953125,exact,5,42.1–54.4 gC m-2 yr-1,19
CA-NS1,55.87919998168945,-98.48390197753906,41.65699005126953,exact,4,31.9–42.1 gC m-2 yr-1,16
CA-NS2,55.905799865722656,-98.52469635009766,40.21129608154297,exact,4,31.9–42.1 gC m-2 yr-1,15
CA-NS3,55.91170120239258,-98.3822021484375,41.65699005126953,exact,4,31.9–42.1 gC m-2 yr-1,16
CA-NS4,55.91170120239258,-98.3822021484375,41.65699005126953,exact,4,31.9–42.1 gC m-2 yr-1,16
CA-NS5,55.86309814453125,-98.48500061035156,41.65699005126953,exact,4,31.9–42.1 gC m-2 yr-1,16
CA-NS6,55.91669845581055,-98.9644012451172,40.21129608154297,exact,4,31.9–42.1 gC m-2 yr-1,15
CA-NS7,56.635799407958984,-99.94830322265624,37.178470611572266,exact,4,31.9–42.1 gC m-2 yr-1,14
CA-Oas,53.62889862060547,-106.197998046875,47.94104766845703,exact,5,42.1–54.4 gC m-2 yr-1,18
CA-Obs,53.98720169067383,-105.11799621582033,45.893089294433594,exact,5,42.1–54.4 gC m-2 yr-1,18
CA-Ojp,53.91630172729492,-104.69200134277344,53.89105987548828,exact,5,42.1–54.4 gC m-2 yr-1,21
CA-Qcu,49.2671012878418,-74.0364990234375,29.919841766357425,exact,3,21.3–31.9 gC m-2 yr-1,10
CA-Qfo,49.692501068115234,-74.34210205078125,29.308134078979492,exact,3,21.3–31.9 gC m-2 yr-1,10
CA-SF1,54.48500061035156,-105.81800079345705,45.97138595581055,exact,5,42.1–54.4 gC m-2 yr-1,18
