site_id,location_lat,location_long,trendy_nee_iav_value,trendy_nee_iav_method,trendy_nee_iav_bin,trendy_nee_iav_bin_label
UK-Gri,56.60721969604492,-3.798059940338135,38.560543060302734,exact,4,31.9–42.1 gC m-2 yr-1
US-Atq,70.46959686279297,-157.4089965820312,10.328237533569336,exact,2,5.0–21.3 gC m-2 yr-1
US-Brw,71.32250213623047,-156.6259002685547,1.6785470247268677,exact,1,0–5 gC m-2 yr-1
US-HVa,69.13330078125,-148.8329925537109,29.1363582611084,exact,3,21.3–31.9 gC m-2 yr-1
US-Blo,38.89519882202148,-120.6327514648438,44.971527099609375,exact,5,42.1–54.4 gC m-2 yr-1
US-NR1,40.03290176391602,-105.5459976196289,30.316959381103516,exact,3,21.3–31.9 gC m-2 yr-1
BE-Bra,51.30920028686523,4.520559787750244,61.55887222290039,exact,6,54.4–70.9 gC m-2 yr-1
US-Bo1,40.00619888305664,-88.29039764404297,57.67061996459961,exact,6,54.4–70.9 gC m-2 yr-1
IT-Cpz,41.7052001953125,12.37609958648682,31.610042572021484,exact,3,21.3–31.9 gC m-2 yr-1
US-Dk3,35.97819900512695,-79.09420013427734,75.05833435058594,exact,7,>70.9 gC m-2 yr-1
SE-Fla,64.11280059814453,19.45689964294434,39.69580078125,exact,4,31.9–42.1 gC m-2 yr-1
IS-Gun,63.83330154418945,-20.21669960021973,23.8815975189209,exact,3,21.3–31.9 gC m-2 yr-1
FR-Hes,48.67419815063477,7.064620018005371,55.150936126708984,exact,6,54.4–70.9 gC m-2 yr-1
US-Ho1,45.2041015625,-68.74019622802734,51.57353210449219,exact,5,42.1–54.4 gC m-2 yr-1
US-Ha1,42.53779983520508,-72.17150115966797,48.78166198730469,exact,5,42.1–54.4 gC m-2 yr-1
FI-Hyy,61.8474006652832,24.2947998046875,52.12794494628906,exact,5,42.1–54.4 gC m-2 yr-1
CA-Ojp,53.91630172729492,-104.6920013427734,53.89105987548828,exact,5,42.1–54.4 gC m-2 yr-1
NL-Loo,52.16790008544922,5.743959903717041,56.976280212402344,exact,6,54.4–70.9 gC m-2 yr-1
US-LWW,34.96039962768555,-97.97889709472656,64.43492126464844,exact,6,54.4–70.9 gC m-2 yr-1
BR-Ma2,-2.609100103378296,-60.20930099487305,85.653778076171875,exact,7,>70.9 gC m-2 yr-1
US-Me2,44.45230102539062,-121.5574035644531,43.99048614501953,exact,5,42.1–54.4 gC m-2 yr-1
CA-Obs,53.98720169067383,-105.1179962158203,45.893089294433594,exact,5,42.1–54.4 gC m-2 yr-1
SE-Nor,60.08649826049805,17.4795036315918,47.059288024902344,exact,5,42.1–54.4 gC m-2 yr-1
US-Pon,36.76670074462891,-97.13330078125,57.990562438964844,exact,6,54.4–70.9 gC m-2 yr-1
US-SO2,33.3739013671875,-116.6228866577148,67.75348663330078,exact,6,54.4–70.9 gC m-2 yr-1
US-SO3,33.37720108032227,-116.622688293457,67.75348663330078,exact,6,54.4–70.9 gC m-2 yr-1
DK-Sor,55.48690032958984,11.64579963684082,62.24641799926758,exact,6,54.4–70.9 gC m-2 yr-1
DE-Tha,50.96360015869141,13.5669002532959,56.02064514160156,exact,6,54.4–70.9 gC m-2 yr-1
US-Upa,70.28150177001953,-148.8849945068359,19.478357315063477,exact,2,5.0–21.3 gC m-2 yr-1
BE-Vie,50.30550003051758,5.996829986572266,54.98711013793945,exact,6,54.4–70.9 gC m-2 yr-1
US-WBW,35.95880126953125,-84.28739929199219,64.25120544433594,exact,6,54.4–70.9 gC m-2 yr-1
DE-Bay,50.14189910888672,11.86690044403076,50.99890899658203,exact,5,42.1–54.4 gC m-2 yr-1
US-PFa,45.94589996337891,-90.27230072021484,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1
US-WCr,45.80590057373047,-90.07990264892578,47.80511474609375,exact,5,42.1–54.4 gC m-2 yr-1
US-Wrc,45.82049942016602,-121.9520034790039,43.27487564086914,exact,5,42.1–54.4 gC m-2 yr-1
