site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
AR-Bal,-37.7596,-58.3024,65.824310302734375,exact,6,54.3–70.2 gC m-2 yr-1,24
AR-CCa,-35.621,-61.3181,53.33772659301758,exact,5,41.8–54.3 gC m-2 yr-1,20
AR-CCg,-35.9244,-61.1855,53.33772659301758,exact,5,41.8–54.3 gC m-2 yr-1,20
AR-TF1,-54.9733,-66.7335,30.2711124420166,exact,3,20.5–31.7 gC m-2 yr-1,10
AR-TF2,-54.8269,-68.4549,27.65923118591309,exact,3,20.5–31.7 gC m-2 yr-1,9
BR-CST,-7.9682,-38.3842,82.70597076416016,exact,7,>70.2 gC m-2 yr-1,28
BR-ITA,-23.0604,-48.6467,82.89170837402344,exact,7,>70.2 gC m-2 yr-1,28
BR-Ji3,-10.1866,-61.8725,73.0145034790039,exact,7,>70.2 gC m-2 yr-1,26
BR-Ma2,-2.6091,-60.2093,74.04943084716797,exact,7,>70.2 gC m-2 yr-1,27
BR-Ma3,-2.3907,-59.8835,74.07829284667969,exact,7,>70.2 gC m-2 yr-1,27
BR-Npw,-16.498,-56.412,56.33428192138672,exact,6,54.3–70.2 gC m-2 yr-1,22
BR-Sa1,-2.8567,-54.9589,104.15416717529295,exact,7,>70.2 gC m-2 yr-1,30
BR-Sa3,-3.018,-54.9714,82.80094146728516,exact,7,>70.2 gC m-2 yr-1,28
BR-SM1,-30.2771,-53.1479,70.9883804321289,exact,7,>70.2 gC m-2 yr-1,26
BR-Xpw,-16.373,-56.461,56.33428192138672,exact,6,54.3–70.2 gC m-2 yr-1,22
CA-ARB,52.695,-83.9452,31.542436599731445,exact,3,20.5–31.7 gC m-2 yr-1,11
CA-ARF,52.7008,-83.955,31.542436599731445,exact,3,20.5–31.7 gC m-2 yr-1,11
CA-BOU,50.5244,-63.2064,33.45707702636719,exact,4,31.7–41.8 gC m-2 yr-1,12
CA-Ca1,49.8673,-125.3336,39.27870559692383,exact,4,31.7–41.8 gC m-2 yr-1,15
CA-Ca2,49.8705,-125.2909,39.27870559692383,exact,4,31.7–41.8 gC m-2 yr-1,15
CA-Ca3,49.5346,-124.9004,34.668235778808594,exact,4,31.7–41.8 gC m-2 yr-1,13
CA-Cbo,44.3184,-79.9341,54.47175979614258,exact,6,54.3–70.2 gC m-2 yr-1,21
CA-CF1,58.6658,-93.83,17.044178009033203,exact,2,5.0–20.5 gC m-2 yr-1,5
CA-CF2,58.6658,-93.83,17.044178009033203,exact,2,5.0–20.5 gC m-2 yr-1,5
CA-CF3,58.6658,-93.8304,17.044178009033203,exact,2,5.0–20.5 gC m-2 yr-1,5
CA-DB2,49.119,-122.9951,44.23484420776367,exact,5,41.8–54.3 gC m-2 yr-1,17
CA-DBB,49.1293,-122.9849,44.23484420776367,exact,5,41.8–54.3 gC m-2 yr-1,17
CA-DSM,49.0887,-122.8954,44.23484420776367,exact,5,41.8–54.3 gC m-2 yr-1,17
CA-EM1,50.3623,-100.2024,34.91756820678711,exact,4,31.7–41.8 gC m-2 yr-1,13
CA-EM2,50.3706,-100.5339,36.8778190612793,exact,4,31.7–41.8 gC m-2 yr-1,14
CA-Gro,48.2167,-82.1556,43.88124084472656,exact,5,41.8–54.3 gC m-2 yr-1,17
CA-HPC,68.3203,-133.5188,16.2656307220459,exact,2,5.0–20.5 gC m-2 yr-1,5
CA-KLP,51.5902,-81.7684,33.743804931640625,exact,4,31.7–41.8 gC m-2 yr-1,12
CA-LP1,55.1119,-122.8414,32.54167556762695,exact,4,31.7–41.8 gC m-2 yr-1,12
CA-LU1,59.5951,-117.2862,40.09105682373047,exact,4,31.7–41.8 gC m-2 yr-1,15
CA-LU2,59.4405,-117.2422,37.03531265258789,exact,4,31.7–41.8 gC m-2 yr-1,14
CA-MA1,50.1645,-97.8762,46.301177978515625,exact,5,41.8–54.3 gC m-2 yr-1,18
CA-MA2,50.171,-97.8762,46.301177978515625,exact,5,41.8–54.3 gC m-2 yr-1,18
CA-MA3,50.1774,-97.8686,46.301177978515625,exact,5,41.8–54.3 gC m-2 yr-1,18
CA-Man,55.8796,-98.4808,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1,14
CA-Mer,45.4094,-75.5186,49.05195236206055,exact,5,41.8–54.3 gC m-2 yr-1,19
CA-Mtk,72.6695,-77.9981,0.05229921638965607,exact,1,0–5 gC m-2 yr-1,1
CA-Na1,46.4722,-67.1,35.81625747680664,exact,4,31.7–41.8 gC m-2 yr-1,13
CA-Ojp,53.9163,-104.692,43.04402160644531,exact,5,41.8–54.3 gC m-2 yr-1,16
CA-PB1,54.9417,-83.4579,24.534223556518555,exact,3,20.5–31.7 gC m-2 yr-1,8
CA-PB2,54.9389,-83.4736,24.534223556518555,exact,3,20.5–31.7 gC m-2 yr-1,8
CA-Qc2,49.7598,-74.5711,30.38699722290039,exact,3,20.5–31.7 gC m-2 yr-1,10
CA-Qfo,49.6925,-74.3421,27.242523193359375,exact,3,20.5–31.7 gC m-2 yr-1,9
CA-RBM,49.1313,-123.1964,27.921222686767575,exact,3,20.5–31.7 gC m-2 yr-1,9
CA-SCB,61.3089,-121.2984,44.37926483154297,exact,5,41.8–54.3 gC m-2 yr-1,17
CA-SCC,61.3079,-121.2992,44.37926483154297,exact,5,41.8–54.3 gC m-2 yr-1,17
