site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label
AR-SLu,-33.4648,-66.4598,55.63592529296875,exact,6,54.3–70.2 gC m-2 yr-1
AR-Vir,-28.2395,-56.1886,81.7997055053711,exact,7,>70.2 gC m-2 yr-1
AT-Neu,47.1167,11.3175,42.53130340576172,exact,5,41.8–54.3 gC m-2 yr-1
AU-Ade,-13.0769,131.1178,88.94895935058594,exact,7,>70.2 gC m-2 yr-1
AU-ASM,-22.283,133.249,21.87087631225586,exact,3,20.5–31.7 gC m-2 yr-1
AU-Cpr,-34.0021,140.5891,19.833858489990234,exact,2,5.0–20.5 gC m-2 yr-1
AU-Cum,-33.6152,150.7236,104.53495788574219,exact,7,>70.2 gC m-2 yr-1
AU-DaP,-14.0633,131.3181,74.403167724609375,exact,7,>70.2 gC m-2 yr-1
AU-DaS,-14.1593,131.3881,74.403167724609375,exact,7,>70.2 gC m-2 yr-1
AU-Dry,-15.2588,132.3706,69.32249450683594,exact,6,54.3–70.2 gC m-2 yr-1
AU-Emr,-23.8587,148.4746,45.10855484008789,exact,5,41.8–54.3 gC m-2 yr-1
AU-Fog,-12.5452,131.3072,86.48979949951172,exact,7,>70.2 gC m-2 yr-1
AU-Gin,-31.3764,115.7138,49.5048942565918,exact,5,41.8–54.3 gC m-2 yr-1
AU-GWW,-30.1913,120.6541,26.322608947753906,exact,3,20.5–31.7 gC m-2 yr-1
AU-How,-12.4943,131.1523,65.01715087890625,exact,6,54.3–70.2 gC m-2 yr-1
AU-Lox,-34.4704,140.6551,19.833858489990234,exact,2,5.0–20.5 gC m-2 yr-1
AU-RDF,-14.5636,132.4776,72.3729019165039,exact,7,>70.2 gC m-2 yr-1
AU-Rig,-36.6499,145.5759,76.82098388671875,exact,7,>70.2 gC m-2 yr-1
AU-Rob,-17.1175,145.6301,102.27227783203125,exact,7,>70.2 gC m-2 yr-1
AU-Stp,-17.1507,133.3502,28.941402435302734,exact,3,20.5–31.7 gC m-2 yr-1
AU-TTE,-22.287,133.64,25.08450698852539,exact,3,20.5–31.7 gC m-2 yr-1
AU-Tum,-35.6566,148.1517,94.27025604248047,exact,7,>70.2 gC m-2 yr-1
AU-Wac,-37.4259,145.1878,76.630462646484375,exact,7,>70.2 gC m-2 yr-1
AU-Whr,-36.6732,145.0294,71.84769439697266,exact,7,>70.2 gC m-2 yr-1
AU-Wom,-37.4222,144.0944,74.85282897949219,exact,7,>70.2 gC m-2 yr-1
AU-Ync,-34.9893,146.2907,47.44911575317383,exact,5,41.8–54.3 gC m-2 yr-1
BE-Bra,51.3076,4.5198,55.38290786743164,exact,6,54.3–70.2 gC m-2 yr-1
BE-Lon,50.5516,4.7462,46.74032211303711,exact,5,41.8–54.3 gC m-2 yr-1
BE-Vie,50.3049,5.9981,64.06279754638672,exact,6,54.3–70.2 gC m-2 yr-1
BR-Sa1,-2.8567,-54.9589,104.15416717529297,exact,7,>70.2 gC m-2 yr-1
BR-Sa3,-3.018,-54.9714,82.80094146728516,exact,7,>70.2 gC m-2 yr-1
CA-Gro,48.2167,-82.1556,43.88124084472656,exact,5,41.8–54.3 gC m-2 yr-1
CA-Man,55.8796,-98.4808,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS1,55.8792,-98.4839,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS2,55.9058,-98.5247,37.44057846069336,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS3,55.9117,-98.3822,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS4,55.9144,-98.3806,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS5,55.8631,-98.485,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS6,55.9167,-98.9644,37.44057846069336,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS7,56.6358,-99.9483,33.52189636230469,exact,4,31.7–41.8 gC m-2 yr-1
CA-Oas,53.6289,-106.1978,43.44630813598633,exact,5,41.8–54.3 gC m-2 yr-1
CA-Obs,53.9872,-105.1178,37.19488525390625,exact,4,31.7–41.8 gC m-2 yr-1
CA-Qfo,49.6925,-74.3421,27.242523193359375,exact,3,20.5–31.7 gC m-2 yr-1
CA-SF1,54.485,-105.8176,44.095760345458984,exact,5,41.8–54.3 gC m-2 yr-1
CA-SF2,54.2539,-105.8775,44.095760345458984,exact,5,41.8–54.3 gC m-2 yr-1
CA-SF3,54.0916,-106.0053,51.558467864990234,exact,5,41.8–54.3 gC m-2 yr-1
CA-TP1,42.6609,-80.5595,54.433258056640625,exact,6,54.3–70.2 gC m-2 yr-1
CA-TP2,42.7744,-80.4588,45.19938659667969,exact,5,41.8–54.3 gC m-2 yr-1
CA-TP3,42.7068,-80.3483,45.19938659667969,exact,5,41.8–54.3 gC m-2 yr-1
CA-TP4,42.7102,-80.3574,45.19938659667969,exact,5,41.8–54.3 gC m-2 yr-1
CA-TPD,42.6353,-80.5577,54.433258056640625,exact,6,54.3–70.2 gC m-2 yr-1
CG-Tch,-4.2892,11.6564,60.93836975097656,exact,6,54.3–70.2 gC m-2 yr-1
CH-Cha,47.2102,8.4104,40.59477233886719,exact,4,31.7–41.8 gC m-2 yr-1
CH-Dav,46.8153,9.8559,44.95481491088867,exact,5,41.8–54.3 gC m-2 yr-1
CH-Fru,47.1158,8.5378,42.29243087768555,exact,5,41.8–54.3 gC m-2 yr-1
CH-Lae,47.4783,8.3644,40.59477233886719,exact,4,31.7–41.8 gC m-2 yr-1
