site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label
AT-Neu,47.116668701171875,11.317500114440918,42.53130340576172,exact,5,41.8–54.3 gC m-2 yr-1
AU-Fog,-12.542499542236328,131.3070068359375,86.48979949951172,exact,7,>70.2 gC m-2 yr-1
AU-How,-12.49429988861084,131.15199279785156,65.01715087890625,exact,6,54.3–70.2 gC m-2 yr-1
AU-Tum,-35.65570068359375,148.15199279785156,94.27025604248047,exact,7,>70.2 gC m-2 yr-1
AU-Wac,-37.42900085449219,145.18699645996094,76.630462646484375,exact,7,>70.2 gC m-2 yr-1
BE-Bra,51.309200286865234,4.520559787750244,55.38290786743164,exact,6,54.3–70.2 gC m-2 yr-1
BE-Jal,50.56389999389648,6.073329925537109,49.80929183959961,exact,5,41.8–54.3 gC m-2 yr-1
BE-Lon,50.55220031738281,4.744939804077148,46.74032211303711,exact,5,41.8–54.3 gC m-2 yr-1
BE-Vie,50.30550003051758,5.996829986572266,64.06279754638672,exact,6,54.3–70.2 gC m-2 yr-1
BR-Ban,-9.824419975280762,-50.15909957885742,75.16815185546875,exact,7,>70.2 gC m-2 yr-1
BR-Cax,-1.7197200059890747,-51.45899963378906,77.76371765136719,exact,7,>70.2 gC m-2 yr-1
BR-Ji1,-10.761799812316896,-62.357200622558594,137.49163818359375,exact,7,>70.2 gC m-2 yr-1
BR-Ji2,-10.083200454711914,-61.93090057373047,73.0145034790039,exact,7,>70.2 gC m-2 yr-1
BR-Ma2,-2.609100103378296,-60.20930099487305,74.04943084716797,exact,7,>70.2 gC m-2 yr-1
BR-Sa1,-2.8566699028015137,-54.95890045166016,104.15416717529297,exact,7,>70.2 gC m-2 yr-1
BR-Sa2,-3.011899948120117,-54.5364990234375,82.80094146728516,exact,7,>70.2 gC m-2 yr-1
BR-Sa3,-3.0180299282073975,-54.97140121459961,82.80094146728516,exact,7,>70.2 gC m-2 yr-1
BR-Sp1,-21.61949920654297,-47.649898529052734,91.70404052734375,exact,7,>70.2 gC m-2 yr-1
BW-Ghg,-21.510000228881836,21.739999771118164,34.71146011352539,exact,4,31.7–41.8 gC m-2 yr-1
BW-Ghm,-21.200000762939453,21.75,27.99345588684082,exact,3,20.5–31.7 gC m-2 yr-1
BW-Ma1,-19.91550064086914,23.56049919128418,43.234439849853516,exact,5,41.8–54.3 gC m-2 yr-1
CA-Ca1,49.8671989440918,-125.33399963378906,39.27870559692383,exact,4,31.7–41.8 gC m-2 yr-1
CA-Ca2,49.87049865722656,-125.29100036621094,39.27870559692383,exact,4,31.7–41.8 gC m-2 yr-1
CA-Ca3,49.53459930419922,-124.9000015258789,34.668235778808594,exact,4,31.7–41.8 gC m-2 yr-1
CA-Gro,48.21670150756836,-82.15560150146484,43.88124084472656,exact,5,41.8–54.3 gC m-2 yr-1
CA-Let,49.70930099487305,-112.94000244140624,36.714515686035156,exact,4,31.7–41.8 gC m-2 yr-1
CA-Man,55.879600524902344,-98.48079681396484,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-Mer,45.409400939941406,-75.51860046386719,49.05195236206055,exact,5,41.8–54.3 gC m-2 yr-1
CA-NS1,55.87919998168945,-98.48390197753906,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS2,55.905799865722656,-98.52469635009766,37.44057846069336,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS3,55.91170120239258,-98.3822021484375,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS4,55.91170120239258,-98.3822021484375,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS5,55.86309814453125,-98.48500061035156,38.28171920776367,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS6,55.91669845581055,-98.9644012451172,37.44057846069336,exact,4,31.7–41.8 gC m-2 yr-1
CA-NS7,56.635799407958984,-99.94830322265624,33.52189636230469,exact,4,31.7–41.8 gC m-2 yr-1
CA-Oas,53.62889862060547,-106.197998046875,43.44630813598633,exact,5,41.8–54.3 gC m-2 yr-1
CA-Obs,53.98720169067383,-105.11799621582033,37.19488525390625,exact,4,31.7–41.8 gC m-2 yr-1
CA-Ojp,53.91630172729492,-104.69200134277344,43.04402160644531,exact,5,41.8–54.3 gC m-2 yr-1
CA-Qcu,49.2671012878418,-74.0364990234375,28.475202560424805,exact,3,20.5–31.7 gC m-2 yr-1
