site_id,location_lat,location_long,trendy_nee_median_value,trendy_nee_median_method,trendy_nee_median_bin,trendy_nee_median_bin_label,trendy_nee_median_bin_30
UK-Gri,56.60721969604492,-3.798059940338135,42.07191467285156,exact,5,41.8–54.3 gC m-2 yr-1,16
US-Atq,70.46959686279297,-157.4089965820312,11.701662063598633,exact,2,5.0–20.5 gC m-2 yr-1,3
US-Brw,71.32250213623047,-156.6259002685547,1.4065983295440674,exact,1,0–5 gC m-2 yr-1,1
US-HVa,69.13330078125,-148.8329925537109,26.682308197021484,exact,3,20.5–31.7 gC m-2 yr-1,9
US-Blo,38.89519882202148,-120.6327514648438,40.76582336425781,exact,4,31.7–41.8 gC m-2 yr-1,15
US-NR1,40.03290176391602,-105.5459976196289,33.657047271728516,exact,4,31.7–41.8 gC m-2 yr-1,12
BE-Bra,51.30920028686523,4.520559787750244,55.38290786743164,exact,6,54.3–70.2 gC m-2 yr-1,21
US-Bo1,40.00619888305664,-88.29039764404297,45.558631896972656,exact,5,41.8–54.3 gC m-2 yr-1,18
IT-Cpz,41.7052001953125,12.37609958648682,29.470170974731445,exact,3,20.5–31.7 gC m-2 yr-1,10
US-Dk3,35.97819900512695,-79.09420013427734,61.59457015991211,exact,6,54.3–70.2 gC m-2 yr-1,23
SE-Fla,64.11280059814453,19.45689964294434,36.387088775634766,exact,4,31.7–41.8 gC m-2 yr-1,13
IS-Gun,63.83330154418945,-20.21669960021973,31.70170021057129,exact,4,31.7–41.8 gC m-2 yr-1,11
FR-Hes,48.67419815063477,7.064620018005371,54.7104606628418,exact,6,54.3–70.2 gC m-2 yr-1,21
US-Ho1,45.2041015625,-68.74019622802734,49.381099700927734,exact,5,41.8–54.3 gC m-2 yr-1,19
US-Ha1,42.53779983520508,-72.17150115966797,57.04385757446289,exact,6,54.3–70.2 gC m-2 yr-1,22
FI-Hyy,61.8474006652832,24.2947998046875,44.574954986572266,exact,5,41.8–54.3 gC m-2 yr-1,17
CA-Ojp,53.91630172729492,-104.6920013427734,43.04402160644531,exact,5,41.8–54.3 gC m-2 yr-1,16
NL-Loo,52.16790008544922,5.743959903717041,49.95448684692383,exact,5,41.8–54.3 gC m-2 yr-1,19
US-LWW,34.96039962768555,-97.97889709472656,52.74156188964844,exact,5,41.8–54.3 gC m-2 yr-1,20
BR-Ma2,-2.609100103378296,-60.20930099487305,74.04943084716797,exact,7,>70.2 gC m-2 yr-1,27
US-Me2,44.45230102539062,-121.5574035644531,40.241119384765625,exact,4,31.7–41.8 gC m-2 yr-1,15
CA-Obs,53.98720169067383,-105.1179962158203,37.19488525390625,exact,4,31.7–41.8 gC m-2 yr-1,14
SE-Nor,60.08649826049805,17.4795036315918,50.034324645996094,exact,5,41.8–54.3 gC m-2 yr-1,19
US-Pon,36.76670074462891,-97.13330078125,50.62029647827149,exact,5,41.8–54.3 gC m-2 yr-1,19
US-SO2,33.3739013671875,-116.6228866577148,56.996055603027344,exact,6,54.3–70.2 gC m-2 yr-1,22
US-SO3,33.37720108032227,-116.622688293457,56.996055603027344,exact,6,54.3–70.2 gC m-2 yr-1,22
DK-Sor,55.48690032958984,11.64579963684082,47.66714859008789,exact,5,41.8–54.3 gC m-2 yr-1,18
DE-Tha,50.96360015869141,13.5669002532959,48.800445556640625,exact,5,41.8–54.3 gC m-2 yr-1,19
US-Upa,70.28150177001953,-148.8849945068359,19.35006332397461,exact,2,5.0–20.5 gC m-2 yr-1,6
BE-Vie,50.30550003051758,5.996829986572266,64.06279754638672,exact,6,54.3–70.2 gC m-2 yr-1,24
US-WBW,35.95880126953125,-84.28739929199219,59.42998123168945,exact,6,54.3–70.2 gC m-2 yr-1,23
DE-Bay,50.14189910888672,11.86690044403076,57.044044494628906,exact,6,54.3–70.2 gC m-2 yr-1,22
US-PFa,45.94589996337891,-90.27230072021484,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-WCr,45.80590057373047,-90.07990264892578,54.42844009399414,exact,6,54.3–70.2 gC m-2 yr-1,21
US-Wrc,45.82049942016602,-121.9520034790039,43.65202331542969,exact,5,41.8–54.3 gC m-2 yr-1,17
