site_id,mat_worldclim,map_worldclim,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19
AR-Bal,13.829333305358887,835,13.829333305358887,12.070667266845703,47.74789047241211,479.5173645019531,28.196001052856445,2.9160001277923584,25.280000686645508,19.4233341217041,8.015999794006348,19.80066680908203,8.015999794006348,835,100,46,19.53304100036621,251,160,228,160
AR-CCa,15.910833358764648,1018,15.910833358764648,12.765666961669922,47.09882736206055,523.86737060546875,30.124000549316406,3.0199999809265137,27.104000091552734,21.519332885742188,9.347333908081055,22.354000091552734,9.347333908081055,1018,145,31,46.89186096191406,392,99,351,99
AR-CCg,15.803500175476074,1004,15.803500175476074,12.758333206176758,46.80926513671875,521.57177734375,30.031999588012695,2.7760000228881836,27.256000518798828,21.411333084106445,9.278666496276855,22.200666427612305,9.278666496276855,1004,138,33,44.113338470458984,372,104,337,104
AR-TF1,5.317324638366699,658,5.317324638366699,6.117982387542725,43.601524353027344,295.1302185058594,12.763157844543457,-1.2684210538864136,14.03157901763916,5.545614242553711,3.7350876331329346,8.804386138916016,1.5263158082962036,658,72,33,23.412647247314453,196,107,182,146
AR-TF2,3.1710000038146973,596,3.1710000038146973,6.075333595275879,43.210052490234375,302.58770751953125,10.652000427246094,-3.4079999923706055,14.0600004196167,6.214666843414307,1.499333381652832,6.772666931152344,-0.6813333034515381,596,57,35,14.94449520111084,168,114,165,142
BR-CST,23.857500076293945,745,23.857500076293945,10.332332611083984,68.01167297363281,175.92019653320312,31.479999542236328,16.288000106811523,15.191999435424805,24.92133331298828,23.068666458129883,25.612667083740234,21.349332809448242,745,172,5,88.72631072998047,427,27,181,63
BR-ITA,19.11566734313965,1279,19.11566734313965,11.833333015441895,65.377532958984375,224.28323364257812,27.323999404907227,9.223999977111816,18.099998474121094,21.656665802001953,16.34000015258789,21.665332794189453,16.330665588378906,1279,214,35,59.8054084777832,588,124,547,144
BR-Ji3,24.715333938598633,2083,24.715333938598633,12.013333320617676,70.78325653076172,48.63624954223633,32.93199920654297,15.960000038146973,16.972000122070312,24.85333251953125,24.303333282470703,25.12733268737793,24.04199981689453,2083,329,14,73.16204071044922,969,55,247,121
BR-Ma2,26.437166213989258,2352,26.437166213989258,8.0410003662109375,82.25244903564453,44.51041030883789,31.724000930786133,21.947999954223633,9.7760009765625,26.13800048828125,26.590667724609375,27.07266616821289,26.043333053588867,2352,313,81,42.47501754760742,885,283,408,825
BR-Ma3,26.27050018310547,2395,26.27050018310547,8.07699966430664,81.2575454711914,47.7801399230957,31.644001007080078,21.70400047302246,9.940000534057617,25.951332092285156,26.43866729736328,26.961999893188477,25.8439998626709,2395,320,100,39.192440032958984,912,325,420,790
BR-Npw,25.245332717895508,1320,25.245332717895508,11.715333938598633,63.33981704711914,185.51986694335938,33.220001220703125,14.723999977111816,18.496002197265625,26.65399932861328,22.549333572387695,26.747333526611328,22.549333572387695,1320,215,20,67.54627227783203,605,64,463,64
BR-Sa1,25.62150001525879,1868,25.62150001525879,8.148333549499512,76.95819854736328,60.837310791015625,31.119998931884766,20.531999588012695,10.58799934387207,25.132667541503906,26.339332580566406,26.34600067138672,25.097999572753906,1868,312,36,65.07470703125,862,136,170,439
BR-Sa3,25.549833297729492,1852,25.549833297729492,8.32699966430664,77.41725158691406,58.885555267333984,31.144001007080078,20.38800048828125,10.756000518798828,25.067333221435547,26.244667053222656,26.27666664123535,25.064666748046875,1852,310,36,64.51701354980469,852,138,177,424
BR-SM1,19.788333892822266,1473,19.788333892822266,9.908666610717773,48.65776062011719,414.15460205078125,30.288000106811523,9.923999786376953,20.36400032043457,24.166667938232422,17.0766658782959,24.46933364868164,14.735333442687988,1473,137,107,7.604902744293213,401,339,380,367
CA-ARB,-1.9566665887832642,625,-1.9566665887832642,11.863333702087402,23.13442611694336,1402.9385986328125,22.736000061035156,-28.54400062561035,51.279998779296875,14.260000228881836,-12.421333312988281,14.260000228881836,-20.152666091918945,625,92,25,44.741798400878906,249,82,249,98
CA-ARF,-1.9566665887832642,625,-1.9566665887832642,11.863333702087402,23.13442611694336,1402.9385986328125,22.736000061035156,-28.54400062561035,51.279998779296875,14.260000228881836,-12.421333312988281,14.260000228881836,-20.152666091918945,625,92,25,44.741798400878906,249,82,249,98
CA-BOU,0.7918334603309631,1032,0.7918334603309631,9.235666275024414,22.946895599365234,1093.6519775390625,19.696001052856445,-20.552000045776367,40.24800109863281,9.410666465759277,-7.566666603088379,13.78266716003418,-13.23466682434082,1032,109,47,24.249629974365234,316,165,303,208
CA-Ca1,7.419333457946777,1692,7.419333457946777,9.09333324432373,38.61616134643555,538.70684814453125,21.327999114990234,-2.2200000286102295,23.547998428344727,1.7346667051315308,14.179333686828613,14.220000267028809,1.275333285331726,1692,283,42,60.65933609008789,767,152,159,665
CA-Ca2,8.69083309173584,1587,8.69083309173584,9.255000114440918,38.54964828491211,547.5736083984375,22.59600067138672,-1.4119999408721924,24.00800132751465,2.8506667613983154,15.477333068847656,15.60866641998291,2.3559999465942383,1587,263,40,61.263389587402344,730,142,146,633
CA-Ca3,8.704999923706055,1582,8.704999923706055,8.806666374206543,37.67396926879883,546.19866943359375,22.58799934387207,-0.7879999876022339,23.375999450683594,2.87933349609375,15.462666511535645,15.550000190734863,2.3326666355133057,1582,266,31,65.414794921875,753,123,124,661
CA-CF1,-6.677000045776367,417,-6.677000045776367,8.71066665649414,17.30916976928711,1508.073974609375,19.14000129699707,-31.18400001525879,50.32400131225586,10.878666877746582,-18.218666076660156,11.464000701904297,-25.30066680908203,417,69,14,55.02260971069336,186,45,166,51
CA-CF2,-6.677000045776367,417,-6.677000045776367,8.71066665649414,17.30916976928711,1508.073974609375,19.14000129699707,-31.18400001525879,50.32400131225586,10.878666877746582,-18.218666076660156,11.464000701904297,-25.30066680908203,417,69,14,55.02260971069336,186,45,166,51
CA-CF3,-6.677000045776367,417,-6.677000045776367,8.71066665649414,17.30916976928711,1508.073974609375,19.14000129699707,-31.18400001525879,50.32400131225586,10.878666877746582,-18.218666076660156,11.464000701904297,-25.30066680908203,417,69,14,55.02260971069336,186,45,166,51
CA-DB2,10.209833145141602,1342,10.209833145141602,8.1336669921875,35.91339874267578,538.60870361328125,22.959999084472656,0.31200000643730164,22.647998809814453,4.254000186920166,16.737333297729492,16.9146671295166,3.803999900817871,1342,212,44,50.3815803527832,575,149,156,494
CA-DBB,10.346969604492188,1469,10.346969604492188,7.951515197753906,34.98666763305664,544.243896484375,23.186363220214844,0.459090918302536,22.727272033691406,4.371212005615234,16.975000381469727,17.13560676574707,3.8901515007019043,1469,231,47,50.1512565612793,626,162,169,537
CA-DSM,10.187137603759766,1464,10.187137603759766,8.149637222290039,35.83970642089844,538.08001708984375,22.978260040283203,0.239130437374115,22.7391300201416,4.205072402954102,16.72608757019043,16.865942001342773,3.807246446609497,1464,232,48,50.157936096191406,625,163,172,535
CA-EM1,1.0158334970474243,480,1.0158334970474243,12.31433391571045,25.114891052246094,1348.0040283203125,24.196001052856445,-24.83599853515625,49.03199768066406,16.6200008392334,-16.519332885742188,16.6200008392334,-16.519332885742188,480,82,15,56.04451370239258,217,61,217,61
