site_id,year,n_months_present,has_data
AR-Bal,2012,0,FALSE
AR-Bal,2013,6,TRUE
AR-CCa,2012,2,TRUE
AR-CCa,2013,12,TRUE
AR-CCa,2014,12,TRUE
AR-CCa,2015,8,TRUE
AR-CCa,2016,12,TRUE
AR-CCa,2017,12,TRUE
AR-CCa,2018,12,TRUE
AR-CCa,2019,12,TRUE
AR-CCa,2020,12,TRUE
AR-CCg,2018,10,TRUE
AR-CCg,2019,12,TRUE
AR-CCg,2020,12,TRUE
AR-CCg,2021,12,TRUE
AR-CCg,2022,3,TRUE
AR-CCg,2023,9,TRUE
AR-CCg,2024,12,TRUE
AR-TF1,2016,11,TRUE
AR-TF1,2017,12,TRUE
AR-TF1,2018,5,TRUE
AR-TF2,2016,11,TRUE
AR-TF2,2017,12,TRUE
AR-TF2,2018,4,TRUE
AT-Mmg,2021,7,TRUE
AT-Mmg,2022,12,TRUE
AT-Mmg,2023,12,TRUE
AT-Mmg,2024,12,TRUE
AT-Neu,2002,12,TRUE
AT-Neu,2003,12,TRUE
AT-Neu,2004,12,TRUE
AT-Neu,2005,12,TRUE
AT-Neu,2006,12,TRUE
AT-Neu,2007,12,TRUE
AT-Neu,2008,12,TRUE
AT-Neu,2009,12,TRUE
AT-Neu,2010,12,TRUE
AT-Neu,2011,12,TRUE
AT-Neu,2012,12,TRUE
AT-Neu,2013,12,TRUE
AT-Neu,2014,12,TRUE
AT-Neu,2015,12,TRUE
AT-Neu,2016,12,TRUE
AT-Neu,2017,12,TRUE
AT-Neu,2018,12,TRUE
AT-Neu,2019,12,TRUE
AT-Neu,2020,12,TRUE
AT-Nsd,2018,6,TRUE
AT-Nsd,2019,12,TRUE
AT-Nsd,2020,12,TRUE
AT-Nsd,2021,12,TRUE
AT-Nsd,2022,12,TRUE
AT-PsM,2015,7,TRUE
AT-PsM,2016,12,TRUE
AT-PsM,2017,12,TRUE
AT-PsM,2018,12,TRUE
AT-PsM,2019,12,TRUE
AT-Zoe,2014,7,TRUE
AT-Zoe,2015,12,TRUE
AT-Zoe,2016,10,TRUE
AT-Zoe,2017,10,TRUE
AT-Zoe,2018,7,TRUE
AT-Zoe,2019,10,TRUE
AT-Zoe,2020,9,TRUE
AT-Zoe,2021,8,TRUE
AT-Zoe,2022,12,TRUE
AT-Zoe,2023,12,TRUE
AT-Zoe,2024,9,TRUE
AU-APL,2017,9,TRUE
AU-APL,2018,12,TRUE
AU-APL,2019,12,TRUE
AU-APL,2020,12,TRUE
AU-APL,2021,12,TRUE
AU-APL,2022,6,TRUE
AU-ASM,2010,4,TRUE
AU-ASM,2011,12,TRUE
AU-ASM,2012,12,TRUE
AU-ASM,2013,12,TRUE
AU-ASM,2014,12,TRUE
AU-ASM,2015,12,TRUE
AU-ASM,2016,12,TRUE
AU-ASM,2017,12,TRUE
AU-ASM,2018,12,TRUE
AU-ASM,2019,12,TRUE
AU-ASM,2020,12,TRUE
AU-ASM,2021,5,TRUE
AU-ASM,2022,7,TRUE
AU-ASM,2023,2,TRUE
AU-ASM,2024,4,TRUE
AU-ASM,2025,12,TRUE
AU-Ade,2007,3,TRUE
AU-Ade,2008,12,TRUE
AU-Ade,2009,5,TRUE
AU-Boy,2017,2,TRUE
AU-Boy,2018,12,TRUE
AU-Boy,2019,11,TRUE
AU-Boy,2020,12,TRUE
AU-Boy,2021,12,TRUE
AU-Boy,2022,12,TRUE
AU-Boy,2023,12,TRUE
AU-Boy,2024,12,TRUE
AU-Boy,2025,11,TRUE
AU-Col,2017,5,TRUE
AU-Col,2018,11,TRUE
AU-Col,2019,10,TRUE
AU-Cow,2009,10,TRUE
AU-Cow,2010,12,TRUE
