site_id,site_name,lat,lon,elev,igbp,mat,map,dataset
AR-SLu,San Luis,-33.4648,-66.4598,NA,MF,NA,400,FLUXNET2015
AR-Vir,Virasoro,-28.2395,-56.1886,NA,ENF,NA,NA,FLUXNET2015
AT-Neu,Neustift,47.1167,11.3175,970,GRA,6.5,852,FLUXNET2015
AU-ASM,Alice Springs,-22.283,133.249,NA,SAV,NA,NA,FLUXNET2015
AU-Ade,Adelaide River,-13.0769,131.1178,NA,WSA,NA,NA,FLUXNET2015
AU-Cpr,Calperum,-34.0021,140.5891,NA,SAV,NA,NA,FLUXNET2015
AU-Cum,Cumberland Plain,-33.6152,150.7236,NA,EBF,NA,NA,FLUXNET2015
AU-DaP,Daly River Pasture,-14.0633,131.3181,NA,GRA,27.25,983.78,FLUXNET2015
AU-DaS,Daly River Savanna,-14.1593,131.3881,NA,SAV,27.22,975.82,FLUXNET2015
AU-Dry,Dry River,-15.2588,132.3706,NA,SAV,NA,NA,FLUXNET2015
AU-Emr,Emerald,-23.8587,148.4746,NA,GRA,NA,NA,FLUXNET2015
AU-Fog,Fogg Dam,-12.5452,131.3072,NA,WET,27.02,1323.69,FLUXNET2015
AU-GWW,"Great Western Woodlands, Western Australia, Australia",-30.1913,120.6541,NA,SAV,NA,NA,FLUXNET2015
AU-Gin,Gingin,-31.3764,115.7138,NA,WSA,NA,NA,FLUXNET2015
AU-How,Howard Springs,-12.4943,131.1523,NA,WSA,27.01,1449.35,FLUXNET2015
AU-Lox,Loxton,-34.4704,140.6551,NA,DBF,NA,NA,FLUXNET2015
AU-RDF,"Red Dirt Melon Farm, Northern Territory",-14.5636,132.4776,NA,WSA,NA,NA,FLUXNET2015
AU-Rig,Riggs Creek,-36.6499,145.5759,NA,GRA,NA,NA,FLUXNET2015
AU-Rob,"Robson Creek, Queensland, Australia",-17.1175,145.6301,NA,EBF,NA,NA,FLUXNET2015
AU-Stp,Sturt Plains,-17.1507,133.3502,NA,GRA,NA,NA,FLUXNET2015
AU-TTE,Ti Tree East,-22.287,133.64,NA,GRA,NA,NA,FLUXNET2015
AU-Tum,Tumbarumba,-35.6566,148.1517,1200,EBF,10.72,1159.01,FLUXNET2015
AU-Wac,Wallaby Creek,-37.4259,145.1878,NA,EBF,12.76,1105.59,FLUXNET2015
