site_id,site_name,location_lat,location_long,igbp,dataset,coords_source
AR-SLu,San Luis,-33.4648,-66.4598,MF,FLUXNET2015,measured
AR-Vir,Virasoro,-28.2395,-56.1886,ENF,FLUXNET2015,measured
AT-Neu,Neustift,47.1167,11.3175,GRA,FLUXNET2015,measured
AU-Ade,Adelaide River,-13.0769,131.1178,WSA,FLUXNET2015,measured
AU-ASM,Alice Springs,-22.283,133.249,SAV,FLUXNET2015,measured
AU-Cpr,Calperum,-34.0021,140.5891,SAV,FLUXNET2015,measured
AU-Cum,Cumberland Plain,-33.6152,150.7236,EBF,FLUXNET2015,measured
AU-DaP,Daly River Pasture,-14.0633,131.3181,GRA,FLUXNET2015,measured
AU-DaS,Daly River Savanna,-14.1593,131.3881,SAV,FLUXNET2015,measured
AU-Dry,Dry River,-15.2588,132.3706,SAV,FLUXNET2015,measured
AU-Emr,Emerald,-23.8587,148.4746,GRA,FLUXNET2015,measured
AU-Fog,Fogg Dam,-12.5452,131.3072,WET,FLUXNET2015,measured
AU-Gin,Gingin,-31.3764,115.7138,WSA,FLUXNET2015,measured
AU-GWW,"Great Western Woodlands, Western Australia, Australia",-30.1913,120.6541,SAV,FLUXNET2015,measured
AU-How,Howard Springs,-12.4943,131.1523,WSA,FLUXNET2015,measured
AU-Lox,Loxton,-34.4704,140.6551,DBF,FLUXNET2015,measured
AU-RDF,"Red Dirt Melon Farm, Northern Territory",-14.5636,132.4776,WSA,FLUXNET2015,measured
AU-Rig,Riggs Creek,-36.6499,145.5759,GRA,FLUXNET2015,measured
AU-Rob,"Robson Creek, Queensland, Australia",-17.1175,145.6301,EBF,FLUXNET2015,measured
AU-Stp,Sturt Plains,-17.1507,133.3502,GRA,FLUXNET2015,measured
AU-TTE,Ti Tree East,-22.287,133.64,GRA,FLUXNET2015,measured
AU-Tum,Tumbarumba,-35.6566,148.1517,EBF,FLUXNET2015,measured
AU-Wac,Wallaby Creek,-37.4259,145.1878,EBF,FLUXNET2015,measured
AU-Whr,Whroo,-36.6732,145.0294,EBF,FLUXNET2015,measured
AU-Wom,Wombat,-37.4222,144.0944,EBF,FLUXNET2015,measured
AU-Ync,Jaxa,-34.9893,146.2907,GRA,FLUXNET2015,measured
BE-Bra,Brasschaat,51.3076,4.5198,MF,FLUXNET2015,measured
BE-Lon,Lonzee,50.5516,4.7462,CRO,FLUXNET2015,measured
BE-Vie,Vielsalm,50.3049,5.9981,MF,FLUXNET2015,measured
BR-Sa1,Santarem-Km67-Primary Forest,-2.8567,-54.9589,EBF,FLUXNET2015,measured
BR-Sa3,Santarem-Km83-Logged Forest,-3.018,-54.9714,EBF,FLUXNET2015,measured
CA-Gro,"Ontario - Groundhog River, Boreal Mixedwood Forest",48.2167,-82.1556,MF,FLUXNET2015,measured
CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),55.8796,-98.4808,ENF,FLUXNET2015,measured
CA-NS1,UCI-1850 burn site,55.8792,-98.4839,ENF,FLUXNET2015,measured
CA-NS2,UCI-1930 burn site,55.9058,-98.5247,ENF,FLUXNET2015,measured
CA-NS3,UCI-1964 burn site,55.9117,-98.3822,ENF,FLUXNET2015,measured
CA-NS4,UCI-1964 burn site wet,55.9144,-98.3806,ENF,FLUXNET2015,measured
CA-NS5,UCI-1981 burn site,55.8631,-98.485,ENF,FLUXNET2015,measured
CA-NS6,UCI-1989 burn site,55.9167,-98.9644,OSH,FLUXNET2015,measured
CA-NS7,UCI-1998 burn site,56.6358,-99.9483,OSH,FLUXNET2015,measured
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",53.6289,-106.1978,DBF,FLUXNET2015,measured
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",53.9872,-105.1178,ENF,FLUXNET2015,measured
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce",49.6925,-74.3421,ENF,FLUXNET2015,measured
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",54.485,-105.8176,ENF,FLUXNET2015,measured
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",54.2539,-105.8775,ENF,FLUXNET2015,measured
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",54.0916,-106.0053,OSH,FLUXNET2015,measured
CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,42.6609,-80.5595,ENF,FLUXNET2015,measured
CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,42.7744,-80.4588,ENF,FLUXNET2015,measured
CA-TP3,Ontario - Turkey Point 1974 Plantation White Pine,42.7068,-80.3483,ENF,FLUXNET2015,measured
CA-TP4,Ontario - Turkey Point 1939 Plantation White Pine,42.7102,-80.3574,ENF,FLUXNET2015,measured
