site_id,site_name,country,lat,lon,elev,igbp,dataset
AT-Neu,Austria – Neustift/Stubai Valley,Austria,47.116668701171875,11.317500114440918,970,GRA,LaThuile
AU-Fog,Australia – Fogg Dam,Australia,-12.542499542236328,131.3070068359375,NA,WET,LaThuile
AU-How,Australia – Howard Springs,Australia,-12.49429988861084,131.15199279785156,NA,WSA,LaThuile
AU-Tum,Australia – Tumbarumba,Australia,-35.65570068359375,148.15199279785156,1200,EBF,LaThuile
AU-Wac,Australia – Wallaby Creek,Australia,-37.42900085449219,145.18699645996094,545,EBF,LaThuile
BE-Bra,Belgium – Brasschaat (De Inslag Forest),Belgium,51.309200286865234,4.520559787750244,16,MF,LaThuile
BE-Jal,Belgium – Jalhay,Belgium,50.563899993896484,6.073329925537109,NA,MF,LaThuile
BE-Lon,Belgium – Lonzee,Belgium,50.55220031738281,4.744939804077148,167,CRO,LaThuile
BE-Vie,Belgium – Vielsalm,Belgium,50.30550003051758,5.996829986572266,450,MF,LaThuile
BR-Ban,Brazil – Ecotone Bananal Island,Brazil,-9.824419975280762,-50.15909957885742,NA,EBF,LaThuile
BR-Cax,Brazil – Caxiuana Forest-Almeirim,Brazil,-1.7197200059890747,-51.45899963378906,NA,EBF,LaThuile
BR-Ji1,Brazil – Rond.- Faz. Nossa Senhora-i Parana-pasture,Brazil,-10.761799812316895,-62.357200622558594,306,GRA,LaThuile
BR-Ji2,Brazil – Rond.- Rebio Jaru Ji Parana- Tower A,Brazil,-10.083200454711914,-61.93090057373047,120,EBF,LaThuile
BR-Ma2,Brazil – Manaus – ZF2 K34,Brazil,-2.609100103378296,-60.20930099487305,120,EBF,LaThuile
BR-Sa1,Brazil – Santarem-Km67-Primary Forest,Brazil,-2.8566699028015137,-54.958900451660156,NA,EBF,LaThuile
BR-Sa2,Brazil – Santarem-Km77-Pasture,Brazil,-3.011899948120117,-54.5364990234375,NA,CRO,LaThuile
BR-Sa3,Brazil – Santarem-Km83-Logged Forest,Brazil,-3.0180299282073975,-54.97140121459961,NA,EBF,LaThuile
BR-Sp1,Brazil – Sao Paulo Cerrado,Brazil,-21.61949920654297,-47.649898529052734,690,WSA,LaThuile
BW-Ghg,Botswana – Ghanzi Grass Site,Botswana,-21.510000228881836,21.739999771118164,NA,SAV,LaThuile
