site_id,site_name,location_lat,location_long,igbp,dataset,coords_source
AT-Neu,Austria – Neustift/Stubai Valley,47.116668701171875,11.317500114440918,GRA,LaThuile,measured
AU-Fog,Australia – Fogg Dam,-12.542499542236328,131.3070068359375,WET,LaThuile,measured
AU-How,Australia – Howard Springs,-12.49429988861084,131.15199279785156,WSA,LaThuile,measured
AU-Tum,Australia – Tumbarumba,-35.65570068359375,148.15199279785156,EBF,LaThuile,measured
AU-Wac,Australia – Wallaby Creek,-37.42900085449219,145.18699645996094,EBF,LaThuile,measured
BE-Bra,Belgium – Brasschaat (De Inslag Forest),51.309200286865234,4.520559787750244,MF,LaThuile,measured
BE-Jal,Belgium – Jalhay,50.563899993896484,6.073329925537109,MF,LaThuile,measured
BE-Lon,Belgium – Lonzee,50.55220031738281,4.744939804077148,CRO,LaThuile,measured
BE-Vie,Belgium – Vielsalm,50.30550003051758,5.996829986572266,MF,LaThuile,measured
BR-Ban,Brazil – Ecotone Bananal Island,-9.824419975280762,-50.15909957885742,EBF,LaThuile,measured
BR-Cax,Brazil – Caxiuana Forest-Almeirim,-1.7197200059890747,-51.45899963378906,EBF,LaThuile,measured
BR-Ji1,Brazil – Rond.- Faz. Nossa Senhora-i Parana-pasture,-10.761799812316895,-62.357200622558594,GRA,LaThuile,measured
BR-Ji2,Brazil – Rond.- Rebio Jaru Ji Parana- Tower A,-10.083200454711914,-61.93090057373047,EBF,LaThuile,measured
BR-Ma2,Brazil – Manaus – ZF2 K34,-2.609100103378296,-60.20930099487305,EBF,LaThuile,measured
BR-Sa1,Brazil – Santarem-Km67-Primary Forest,-2.8566699028015137,-54.958900451660156,EBF,LaThuile,measured
BR-Sa2,Brazil – Santarem-Km77-Pasture,-3.011899948120117,-54.5364990234375,CRO,LaThuile,measured
BR-Sa3,Brazil – Santarem-Km83-Logged Forest,-3.0180299282073975,-54.97140121459961,EBF,LaThuile,measured
BR-Sp1,Brazil – Sao Paulo Cerrado,-21.61949920654297,-47.649898529052734,WSA,LaThuile,measured
BW-Ghg,Botswana – Ghanzi Grass Site,-21.510000228881836,21.739999771118164,SAV,LaThuile,measured
BW-Ghm,Botswana – Ghanzi Mixed Site,-21.200000762939453,21.75,WSA,LaThuile,measured
BW-Ma1,Botswana – Maun- Mopane Woodland,-19.91550064086914,23.56049919128418,WSA,LaThuile,measured
CA-Ca1,Canada – British Columbia- Campbell River – Mature Forest Site,49.8671989440918,-125.33399963378906,ENF,LaThuile,measured
