bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 mm yr-1,0,5,5312271.565329554,0.03209926976307899
2,5.0–11.9 mm yr-1,5,11.9,8417636.398724545,0.050863360091307694
3,11.9–14.9 mm yr-1,11.9,14.9,8225975.771929425,0.04970525548637572
4,14.9–17.2 mm yr-1,14.9,17.2,8543185.011490718,0.051621984483905314
5,17.2–19.4 mm yr-1,17.2,19.4,8117340.289497427,0.04904882826620393
6,19.4–21.3 mm yr-1,19.4,21.3,8305164.824541136,0.05018375338144865
7,21.3–23.5 mm yr-1,21.3,23.5,8388142.824118155,0.050685145895002906
8,23.5–25.7 mm yr-1,23.5,25.7,8472419.474669533,0.05119438547500348
9,25.7–27.8 mm yr-1,25.7,27.8,8125722.5801489595,0.049099478050490586
10,27.8–30.7 mm yr-1,27.8,30.7,8532699.727007229,0.051558627411316116
11,30.7–33.5 mm yr-1,30.7,33.5,8251510.435187017,0.0498595480586087
12,33.5–36.5 mm yr-1,33.5,36.5,8351943.013927566,0.05046640943577073
13,36.5–39.6 mm yr-1,36.5,39.6,8165206.54298836,0.04933805892101102
14,39.6–43.2 mm yr-1,39.6,43.2,8413810.907889865,0.05084024465739803
15,43.2–47.4 mm yr-1,43.2,47.4,8236327.028749046,0.0497678027001154
16,47.4–52.5 mm yr-1,47.4,52.5,8233355.146798872,0.049749845176813086
17,52.5–59.6 mm yr-1,52.5,59.6,8338398.342862321,0.050384566095303535
18,59.6–69.2 mm yr-1,59.6,69.2,8316163.948359086,0.05025021531552863
19,69.2–84.4 mm yr-1,69.2,84.4,8276451.768926475,0.050010255451878836
20,>84.4 mm yr-1,84.4,NA,8307923.065229525,0.050200419982701854
