bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 gC m-2 yr-1,0,5,38819183.24487489,0.23456395623523316
2,5.0–11.0 gC m-2 yr-1,5,11,6622537.712863923,0.040016520606509245
3,11.0–16.5 gC m-2 yr-1,11,16.5,6503086.802255968,0.039294741428638404
4,16.5–20.8 gC m-2 yr-1,16.5,20.8,6668853.437427023,0.04029638222855552
5,20.8–24.4 gC m-2 yr-1,20.8,24.4,6429447.4273704635,0.03884977732419363
6,24.4–27.8 gC m-2 yr-1,24.4,27.8,6702186.75652212,0.040497797986122484
7,27.8–31.0 gC m-2 yr-1,27.8,31,6424283.06862539,0.038818571813994694
8,31.0–34.0 gC m-2 yr-1,31,34,6568520.681683459,0.03969012402938795
9,34.0–37.1 gC m-2 yr-1,34,37.1,6577860.6340788165,0.03974656046111511
10,37.1–40.5 gC m-2 yr-1,37.1,40.5,6547977.65701811,0.03956599331009523
11,40.5–44.0 gC m-2 yr-1,40.5,44,6508376.038172284,0.03932670150606112
12,44.0–47.8 gC m-2 yr-1,44,47.8,6540276.037522104,0.03951945646445873
13,47.8–51.7 gC m-2 yr-1,47.8,51.7,6575256.141245552,0.039730822877480164
14,51.7–55.9 gC m-2 yr-1,51.7,55.9,6566179.697298146,0.0396759786890432
15,55.9–60.4 gC m-2 yr-1,55.9,60.4,6555172.599862563,0.039609468574575556
16,60.4–65.7 gC m-2 yr-1,60.4,65.7,6531372.105655206,0.03946565467600858
17,65.7–72.2 gC m-2 yr-1,65.7,72.2,6563772.87121687,0.039661435501876355
18,72.2–81.0 gC m-2 yr-1,72.2,81,6574628.691568423,0.039727031528299074
19,81.0–95.8 gC m-2 yr-1,81,95.8,6533627.480405011,0.03947928272224464
20,>95.8 gC m-2 yr-1,95.8,NA,6519049.582702605,0.039391196135334795
