bin,bin_label,min_value,max_value,global_land_area_km2,global_land_fraction
1,0–5.0 gC m-2 yr-1,0,5,39123003.976732366,0.23639978550555102
2,5.0–14.2 gC m-2 yr-1,5,14.2,11327165.691604719,0.06844411900153997
3,14.2–21.8 gC m-2 yr-1,14.2,21.8,11357954.801029375,0.06863016143499484
4,21.8–28.0 gC m-2 yr-1,21.8,28,11222910.487477852,0.06781415950486927
5,28.0–33.6 gC m-2 yr-1,28,33.6,11418871.199820358,0.06899824727054377
6,33.6–38.9 gC m-2 yr-1,33.6,38.9,11132751.546771139,0.06726937633185039
7,38.9–45.1 gC m-2 yr-1,38.9,45.1,11482270.473967938,0.06938133581912784
8,45.1–52.0 gC m-2 yr-1,45.1,52,11127034.012838122,0.06723482827423727
9,52.0–59.4 gC m-2 yr-1,52,59.4,11301783.516768178,0.06829074783682597
10,59.4–68.6 gC m-2 yr-1,59.4,68.6,11277476.675890377,0.06814387435100552
11,68.6–81.2 gC m-2 yr-1,68.6,81.2,11269360.71115942,0.06809483383451782
12,>81.2 gC m-2 yr-1,81.2,NA,11291065.574310193,0.06822598493417065
