gridsize_x,gridsize_y,is_base,prob,hdr_level,n_cells_region,n_sites,cell_coverage,area_weighted_coverage
181,181,FALSE,0.95,273.1766803306839,4180,501,0.10861244019138756,0.11415184121817944
181,181,FALSE,0.99,44.32963990497914,6278,501,0.07836890729531698,0.11034306536367389
191,191,FALSE,0.95,248.62048228631429,4652,513,0.09909716251074807,0.10465775083160646
191,191,FALSE,0.99,40.11510556274885,6992,513,0.0722254004576659,0.1013190171386189
201,201,TRUE,0.95,227.56757188845893,5153,527,0.09237337473316515,0.09770777071808774
201,201,TRUE,0.99,35.908332238779224,7741,527,0.06691641906730397,0.09451610553217066
211,211,FALSE,0.95,204.403468908511,5679,529,0.08452192287374538,0.08919923805116342
211,211,FALSE,0.99,32.60562264897087,8531,529,0.06107138670730278,0.08625129619186629
221,221,FALSE,0.95,184.94288117456003,6230,540,0.07849117174959871,0.08292558926334857
221,221,FALSE,0.99,29.72546156315498,9360,540,0.05673076923076923,0.08021362693398207
