site_id,first_year,last_year
UK-Gri,1997,1998
US-Atq,1999,1999
US-Brw,1998,1999
US-HVa,1994,1995
US-Blo,1997,2000
US-NR1,1999,1999
BE-Bra,1996,1998
US-Bo1,1997,1999
IT-Cpz,1997,1998
US-Dk3,1998,1999
SE-Fla,1996,1998
IS-Gun,1996,1998
FR-Hes,1996,1999
US-Ho1,1996,1997
US-Ha1,1992,1999
FI-Hyy,1996,1998
CA-Ojp,1994,1994
NL-Loo,1996,1998
US-LWW,1996,1998
BR-Ma2,1996,1996
US-Me2,1996,1997
CA-Obs,1994,1998
SE-Nor,1996,1998
US-Pon,1997,1997
US-SO2,1997,2000
US-SO3,1997,2000
DK-Sor,1996,1999
DE-Tha,1996,1999
US-Upa,1994,1994
BE-Vie,1996,1998
US-WBW,1995,1998
DE-Bay,1996,1998
US-PFa,1997,1999
US-WCr,1999,1999
US-Wrc,1998,1998
