site_id,submitting_network,n_contacts_snapshot,n_contacts_badm,difference,badm_has_more
CH-Oe3,EUF,1,3,2,TRUE
DE-Rns,EUF,4,6,2,TRUE
ES-Dnn,EUF,5,7,2,TRUE
IT-Bsn,EUF,4,6,2,TRUE
CN-DaW,CNF,4,5,1,TRUE
CN-SnB,FLX,0,1,1,TRUE
CZ-KrP,EUF,2,3,1,TRUE
ES-HeB,EUF,3,4,1,TRUE
IE-Gwr,EUF,5,6,1,TRUE
JP-Api,JPF,0,1,1,TRUE
JP-Nuf,JPF,1,2,1,TRUE
KR-HPK,KOF,2,3,1,TRUE
KR-Kw1,KOF,2,3,1,TRUE
RU-Ege,JPF,3,4,1,TRUE
US-Bi1,AMF,3,4,1,TRUE
US-Bi2,AMF,3,4,1,TRUE
US-CF1,AMF,4,5,1,TRUE
US-Fcr,AMF,3,4,1,TRUE
US-Rpf,AMF,4,5,1,TRUE
US-Uaf,AMF,4,5,1,TRUE
US-xBR,AMF,5,6,1,TRUE
AR-Bal,AMF,5,5,0,FALSE
AR-CCa,AMF,3,3,0,FALSE
AR-CCg,AMF,3,3,0,FALSE
AR-TF1,AMF,3,3,0,FALSE
AR-TF2,AMF,3,3,0,FALSE
AT-Mmg,EUF,2,2,0,FALSE
AU-APL,TERN,1,1,0,FALSE
AU-ASM,TERN,3,3,0,FALSE
AU-Ade,TERN,2,2,0,FALSE
AU-Boy,TERN,2,2,0,FALSE
AU-Col,TERN,1,1,0,FALSE
AU-Cow,TERN,1,1,0,FALSE
AU-Cpr,TERN,3,3,0,FALSE
AU-Ctr,TERN,1,1,0,FALSE
AU-Cum,TERN,1,1,0,FALSE
AU-Lit,TERN,2,2,0,FALSE
AU-Lon,TERN,1,1,0,FALSE
AU-Lox,TERN,2,2,0,FALSE
AU-Rob,TERN,1,1,0,FALSE
AU-Sam,TERN,1,1,0,FALSE
AU-Sil,TERN,1,1,0,FALSE
AU-Sno,TERN,1,1,0,FALSE
AU-Wgt,TERN,1,1,0,FALSE
AU-Wom,TERN,3,3,0,FALSE
AU-Ya1,TERN,1,1,0,FALSE
AU-Ya2,TERN,1,1,0,FALSE
BJ-Bfg,FLX,6,6,0,FALSE
BJ-Db1,FLX,2,2,0,FALSE
BJ-Nhu,FLX,3,3,0,FALSE
BR-CST,AMF,4,4,0,FALSE
BR-ITA,AMF,3,3,0,FALSE
BR-Ji3,AMF,20,20,0,FALSE
BR-Ma2,AMF,17,17,0,FALSE
BR-Ma3,AMF,16,16,0,FALSE
BR-Npw,AMF,4,4,0,FALSE
BR-SM1,AMF,1,1,0,FALSE
BR-Sa1,AMF,4,4,0,FALSE
BR-Sa3,AMF,1,1,0,FALSE
BR-Xpw,AMF,4,4,0,FALSE
BW-Gum,FLX,2,2,0,FALSE
BW-Nxr,FLX,3,3,0,FALSE
CA-ARB,AMF,2,2,0,FALSE
CA-ARF,AMF,2,2,0,FALSE
CA-BOU,AMF,2,2,0,FALSE
CA-CF1,AMF,2,2,0,FALSE
CA-CF2,AMF,2,2,0,FALSE
CA-CF3,AMF,3,3,0,FALSE
CA-Ca1,AMF,1,1,0,FALSE
CA-Ca2,AMF,1,1,0,FALSE
CA-Ca3,AMF,3,3,0,FALSE
CA-Cbo,AMF,1,1,0,FALSE
CA-DB2,AMF,2,2,0,FALSE
CA-DBB,AMF,5,5,0,FALSE
CA-DSM,AMF,2,2,0,FALSE
CA-EM1,AMF,2,2,0,FALSE
CA-EM2,AMF,2,2,0,FALSE
CA-Gro,AMF,1,1,0,FALSE
CA-HPC,AMF,4,4,0,FALSE
CA-KLP,AMF,2,2,0,FALSE
CA-LP1,AMF,1,1,0,FALSE
CA-LU1,AMF,4,4,0,FALSE
CA-LU2,AMF,4,4,0,FALSE
CA-MA1,AMF,1,1,0,FALSE
CA-MA2,AMF,1,1,0,FALSE
CA-MA3,AMF,1,1,0,FALSE
CA-Man,AMF,2,2,0,FALSE
CA-Mer,AMF,3,3,0,FALSE
CA-Mtk,AMF,3,3,0,FALSE
CA-Na1,AMF,1,1,0,FALSE
CA-Ojp,AMF,4,4,0,FALSE
CA-PB1,AMF,2,2,0,FALSE
CA-PB2,AMF,2,2,0,FALSE
CA-Qc2,AMF,2,2,0,FALSE
CA-Qfo,AMF,2,2,0,FALSE
CA-RBM,AMF,2,2,0,FALSE
CA-SCB,AMF,2,2,0,FALSE
CA-SCC,AMF,2,2,0,FALSE
CA-SF1,AMF,1,1,0,FALSE
CA-SF2,AMF,1,1,0,FALSE
CA-SF3,AMF,1,1,0,FALSE
CA-SJ2,AMF,1,1,0,FALSE
CA-SMC,AMF,3,3,0,FALSE
CA-TP1,AMF,2,2,0,FALSE
CA-TP2,AMF,2,2,0,FALSE
CA-TP3,AMF,2,2,0,FALSE
CA-TP4,AMF,2,2,0,FALSE
CA-TPA,AMF,1,1,0,FALSE
CA-TPD,AMF,2,2,0,FALSE
CA-TVC,AMF,4,4,0,FALSE
CH-Crs,EUF,3,3,0,FALSE
CH-Frk,EUF,1,1,0,FALSE
CH-Rh1,EUF,3,3,0,FALSE
CH-Rh2,EUF,3,3,0,FALSE
CH-Rtb,EUF,3,3,0,FALSE
CH-Tnk,EUF,3,3,0,FALSE
CL-ACF,AMF,4,4,0,FALSE
CL-SDF,AMF,3,3,0,FALSE
CL-SDP,AMF,2,2,0,FALSE
CN-Aro,CNF,3,3,0,FALSE
CN-Ash,CNF,5,5,0,FALSE
CN-BeO,CNF,1,1,0,FALSE
CN-Dan,CNF,4,4,0,FALSE
CN-Dda,CNF,2,2,0,FALSE
CN-Din,CNF,3,3,0,FALSE
CN-Dmn,CNF,3,3,0,FALSE
CN-Dsh,CNF,3,3,0,FALSE
CN-Du2,CNF,1,1,0,FALSE
CN-Dzo,CNF,5,5,0,FALSE
CN-Erg,CNF,1,1,0,FALSE
CN-GuT,CNF,2,2,0,FALSE
CN-Ha2,CNF,4,4,0,FALSE
CN-HaW,CNF,4,4,0,FALSE
CN-HeD,CNF,3,3,0,FALSE
CN-HeM,CNF,3,3,0,FALSE
CN-Huz,CNF,3,3,0,FALSE
CN-Jng,CNF,3,3,0,FALSE
CN-Jzh,CNF,3,3,0,FALSE
CN-Lch,CNF,1,1,0,FALSE
CN-Mxn,CNF,1,1,0,FALSE
CN-Nmn,CNF,1,1,0,FALSE
CN-Qng,CNF,4,4,0,FALSE
CN-Sb1,FLX,3,3,0,FALSE
CN-Sb2,FLX,3,3,0,FALSE
CN-Sdq,CNF,3,3,0,FALSE
CN-Wnb,CNF,1,1,0,FALSE
CN-Xi2,CNF,1,1,0,FALSE
CN-YaS,CNF,1,1,0,FALSE
CN-Yan,CNF,4,4,0,FALSE
CN-You,CNF,3,3,0,FALSE
CN-Yuc,CNF,1,1,0,FALSE
CN-Zha,CNF,3,3,0,FALSE
CR-AqC,FLX,4,4,0,FALSE
CR-Fsc,AMF,2,2,0,FALSE
CZ-LnG,EUF,4,4,0,FALSE
CZ-RAJ,EUF,4,4,0,FALSE
CZ-Stn,EUF,3,3,0,FALSE
DE-Akm,EUF,2,2,0,FALSE
DE-Etn,EUF,3,3,0,FALSE
DE-RuC,EUF,2,2,0,FALSE
DE-RuM,EUF,2,2,0,FALSE
DE-SbM,EUF,2,2,0,FALSE
EE-Stg,EUF,2,2,0,FALSE
ES-Cnd,EUF,4,4,0,FALSE
ES-Crg,EUF,2,2,0,FALSE
ES-HdD,EUF,2,2,0,FALSE
ES-Hen,EUF,3,3,0,FALSE
ES-LM1,EUF,7,7,0,FALSE
ES-LM2,EUF,7,7,0,FALSE
ES-Mcd,EUF,2,2,0,FALSE
ES-MtB,EUF,5,5,0,FALSE
ES-Mzn,EUF,1,1,0,FALSE
ES-Pzb,EUF,1,1,0,FALSE
ES-Srn,EUF,1,1,0,FALSE
ES-TzM,EUF,4,4,0,FALSE
FI-Nsv,EUF,4,4,0,FALSE
FI-Pap,EUF,2,2,0,FALSE
FI-Qvd,EUF,3,3,0,FALSE
FI-Rk2,EUF,2,2,0,FALSE
FI-Ruk,EUF,6,6,0,FALSE
FI-Sar,EUF,2,2,0,FALSE
FR-Nzn,EUF,4,4,0,FALSE
ID-JOP,FLX,4,4,0,FALSE
IL-RmH,EUF,2,2,0,FALSE
IT-Arz,EUF,4,4,0,FALSE
JP-Fmt,JPF,2,2,0,FALSE
JP-Hc3,JPF,2,2,0,FALSE
JP-KaP,JPF,3,3,0,FALSE
JP-MBF,JPF,7,7,0,FALSE
JP-Sb1,JPF,1,1,0,FALSE
JP-Sb2,JPF,1,1,0,FALSE
JP-Shn,JPF,2,2,0,FALSE
JP-Tkb,JPF,4,4,0,FALSE
JP-Toc,JPF,3,3,0,FALSE
KE-Aq1,FLX,3,3,0,FALSE
KE-Aq2,FLX,3,3,0,FALSE
KE-Chk,FLX,5,5,0,FALSE
KE-Kpt,FLX,3,3,0,FALSE
KE-Mkt,FLX,5,5,0,FALSE
KH-Kmp,JPF,6,6,0,FALSE
KR-CmF,KOF,2,2,0,FALSE
KR-GmP,KOF,3,3,0,FALSE
KR-Nj1,KOF,3,3,0,FALSE
KR-SmM,KOF,2,2,0,FALSE
KR-TwB,KOF,1,1,0,FALSE
KR-TwC,KOF,1,1,0,FALSE
ML-Kem,FLX,3,3,0,FALSE
MN-Hst,JPF,6,6,0,FALSE
MN-Nkh,JPF,6,6,0,FALSE
MN-Udg,JPF,1,1,0,FALSE
MX-Aog,AMF,2,2,0,FALSE
MX-PMm,AMF,1,1,0,FALSE
MX-Tes,AMF,3,3,0,FALSE
NL-Hrw,EUF,3,3,0,FALSE
NL-Vkp,EUF,3,3,0,FALSE
NO-And,EUF,4,4,0,FALSE
NO-Fns,EUF,2,2,0,FALSE
NO-Ikr,EUF,1,1,0,FALSE
NZ-ADd,TERN,2,2,0,FALSE
NZ-ADw,TERN,2,2,0,FALSE
NZ-Lau,TERN,1,1,0,FALSE
NZ-Oxf,TERN,1,1,0,FALSE
PA-SPn,EUF,2,2,0,FALSE
PA-SPs,EUF,2,2,0,FALSE
PE-QFR,AMF,4,4,0,FALSE
PR-xGU,AMF,5,5,0,FALSE
PR-xLA,AMF,5,5,0,FALSE
RU-Fy2,EUF,1,1,0,FALSE
RU-Fy3,EUF,3,3,0,FALSE
RU-Fy4,EUF,4,4,0,FALSE
RU-NeB,JPF,1,1,0,FALSE
RU-NeC,JPF,1,1,0,FALSE
RU-NeF,JPF,1,1,0,FALSE
SE-HfM,EUF,1,1,0,FALSE
SE-Hmr,EUF,1,1,0,FALSE
SE-Srj,EUF,1,1,0,FALSE
SE-Trb,EUF,2,2,0,FALSE
SN-Nkr,EUF,4,4,0,FALSE
UK-Ags,EUF,6,6,0,FALSE
UK-BnB,EUF,7,7,0,FALSE
UK-CCr,EUF,7,7,0,FALSE
UK-Cvn,EUF,6,6,0,FALSE
