site_id,submitting_network,presence_source,years_of_data,rubric_row,latency_years,n_invited_authors
CA-CF2,AMF,snapshot_fallback,4,<5,15,2
CA-Ca3,AMF,snapshot_fallback,24,>=21,2,8
CA-LP1,AMF,snapshot_fallback,18,16-20,2,7
CA-SCC,AMF,snapshot_fallback,12,11-15,2,6
US-A10,AMF,snapshot_fallback,12,11-15,4,4
US-ALQ,AMF,snapshot_fallback,11,11-15,1,6
US-Akn,AMF,snapshot_fallback,12,11-15,4,4
US-CLF,AMF,snapshot_fallback,4,<5,6,2
US-Cwt,AMF,snapshot_fallback,14,11-15,2,6
US-EA4,AMF,snapshot_fallback,5,<5,1,4
US-Fo1,AMF,snapshot_fallback,12,11-15,2,6
US-Hn2,AMF,snapshot_fallback,4,<5,8,2
US-Ho2,AMF,snapshot_fallback,27,>=21,1,8
US-LA2,AMF,snapshot_fallback,13,11-15,3,5
US-Los,AMF,snapshot_fallback,26,>=21,1,8
US-NC4,AMF,snapshot_fallback,17,16-20,1,7
US-NR1,AMF,snapshot_fallback,28,>=21,1,8
US-OWC,AMF,snapshot_fallback,11,11-15,1,6
US-Uaf,AMF,snapshot_fallback,23,>=21,1,8
US-UiA,AMF,snapshot_fallback,17,16-20,2,7
US-UiB,AMF,snapshot_fallback,17,16-20,2,7
US-UiC,AMF,snapshot_fallback,17,16-20,2,7
US-UiD,AMF,snapshot_fallback,17,16-20,2,7
US-WCr,AMF,snapshot_fallback,27,>=21,1,8
US-Whs,AMF,snapshot_fallback,19,16-20,1,7
US-YK1,AMF,snapshot_fallback,7,6-10,1,5
US-xLE,AMF,snapshot_fallback,6,6-10,2,5
CN-DaW,CNF,snapshot_fallback,9,6-10,7,3
CN-Dan,CNF,snapshot_fallback,10,6-10,6,3
CN-Dda,CNF,snapshot_fallback,4,<5,12,2
CN-Din,CNF,snapshot_fallback,11,11-15,6,4
CN-Dmn,CNF,snapshot_fallback,13,11-15,2,6
CN-Dsh,CNF,snapshot_fallback,12,11-15,2,6
CN-Erg,CNF,snapshot_fallback,4,<5,7,2
CN-HeM,CNF,snapshot_fallback,12,11-15,2,6
CN-Huz,CNF,snapshot_fallback,10,6-10,2,5
CN-Jng,CNF,snapshot_fallback,7,6-10,2,5
CN-Mxn,CNF,snapshot_fallback,5,<5,7,2
CN-Nmn,CNF,snapshot_fallback,5,<5,7,2
CN-Sdq,CNF,snapshot_fallback,12,11-15,2,6
CN-You,CNF,snapshot_fallback,10,6-10,2,5
CN-Zha,CNF,snapshot_fallback,13,11-15,2,6
AT-Nsd,EUF,snapshot_fallback,5,<5,4,2
CG-Tch,EUF,snapshot_fallback,4,<5,17,2
CH-Cha,EUF,snapshot_fallback,20,16-20,2,7
CH-Oe1,EUF,snapshot_fallback,10,6-10,15,3
CZ-BK2,EUF,snapshot_fallback,7,6-10,14,3
DE-Hte,EUF,snapshot_fallback,10,6-10,8,3
DE-Lkb,EUF,snapshot_fallback,5,<5,13,2
DE-Lnf,EUF,snapshot_fallback,23,>=21,2,8
DE-Seh,EUF,snapshot_fallback,4,<5,16,2
DE-Spw,EUF,snapshot_fallback,6,6-10,11,3
ES-Agu,EUF,snapshot_fallback,19,16-20,2,7
ES-Dnn,EUF,snapshot_fallback,1,<5,2,4
ES-FtD,EUF,snapshot_fallback,4,<5,2,4
ES-MtB,EUF,snapshot_fallback,4,<5,2,4
ES-MtN,EUF,snapshot_fallback,1,<5,2,4
ES-Srn,EUF,snapshot_fallback,2,<5,2,4
FI-Jok,EUF,snapshot_fallback,4,<5,23,2
FR-LBr,EUF,snapshot_fallback,11,11-15,18,4
IL-RmH,EUF,snapshot_fallback,6,6-10,6,3
IT-Bsn,EUF,snapshot_fallback,2,<5,5,2
IT-Lav,EUF,snapshot_fallback,18,16-20,6,5
IT-SRo,EUF,snapshot_fallback,14,11-15,14,4
NO-And,EUF,snapshot_fallback,7,6-10,12,3
PA-SPn,EUF,snapshot_fallback,3,<5,17,2
PA-SPs,EUF,snapshot_fallback,4,<5,16,2
RU-Che,EUF,snapshot_fallback,9,6-10,5,3
SD-Dem,EUF,snapshot_fallback,3,<5,17,2
SE-HfM,EUF,snapshot_fallback,4,<5,3,3
SE-Hmr,EUF,snapshot_fallback,4,<5,3,3
SE-Ros,EUF,snapshot_fallback,7,6-10,6,3
SE-Srj,EUF,snapshot_fallback,4,<5,3,3
ZM-Mon,EUF,snapshot_fallback,3,<5,17,2
CN-Sb1,FLX,snapshot_fallback,5,<5,2,4
CN-Sb2,FLX,snapshot_fallback,5,<5,2,4
KE-Chk,FLX,snapshot_fallback,3,<5,2,4
FR-Hes,ICOS,snapshot_fallback,28,>=21,2,8
FR-LGt,ICOS,snapshot_fallback,8,6-10,2,5
GL-ZaH,ICOS,snapshot_fallback,5,<5,2,4
IE-Cra,ICOS,snapshot_fallback,5,<5,2,4
JP-KaP,JPF,snapshot_fallback,1,<5,29,2
JP-Khw,JPF,snapshot_fallback,22,>=21,5,6
JP-Shn,JPF,snapshot_fallback,7,6-10,6,3
KH-Kmp,JPF,snapshot_fallback,4,<5,12,2
TH-Kog,JPF,snapshot_fallback,9,6-10,13,3
AU-TTE,TERN,snapshot_fallback,14,11-15,1,6
AU-Tum,TERN,snapshot_fallback,21,>=21,4,6
