site_id,submitting_network,presence_status,years_of_data,years_full_year,years_partial_year,latency_years,n_invited_authors
AR-Bal,AMF,verified,1,0,1,13,2
AR-CCa,AMF,verified,9,7,2,6,3
AR-CCg,AMF,verified,7,4,3,2,5
AR-TF1,AMF,verified,3,1,2,8,2
AR-TF2,AMF,verified,3,1,2,8,2
AT-Mmg,EUF,verified,4,3,1,2,4
AT-Neu,EUF,verified,19,19,0,6,5
AT-Nsd,EUF,verified,5,4,1,4,2
AT-PsM,EUF,verified,5,4,1,7,2
AT-Zoe,EUF,verified,11,3,8,2,6
AU-APL,TERN,verified,6,4,2,4,3
AU-ASM,TERN,verified,16,11,5,1,7
AU-Ade,TERN,verified,3,1,2,17,2
AU-Boy,TERN,verified,9,6,3,1,5
AU-Col,TERN,verified,3,0,3,7,2
AU-Cow,TERN,verified,17,13,4,1,7
AU-Cpr,TERN,verified,16,14,2,1,7
AU-Ctr,TERN,verified,9,7,2,8,3
AU-Cum,TERN,verified,12,12,0,1,6
AU-DaP,TERN,verified,6,4,2,13,3
AU-DaS,TERN,verified,18,16,2,1,7
AU-Dry,TERN,verified,17,9,8,1,7
AU-Emr,TERN,verified,3,2,1,13,2
AU-Fle,TERN,verified,4,3,1,1,4
AU-Fog,TERN,verified,3,1,2,18,2
AU-GWW,TERN,verified,13,11,2,1,6
AU-Gin,TERN,verified,15,12,3,1,6
AU-How,TERN,verified,24,20,4,1,8
AU-Lit,TERN,verified,11,6,5,1,6
AU-Lon,TERN,verified,7,3,4,2,5
AU-Lox,TERN,verified,2,0,2,17,2
AU-MvA,TERN,verified,2,1,1,2,4
AU-MvB,TERN,verified,1,1,0,2,4
AU-Otw,TERN,verified,4,3,1,16,2
AU-RDF,TERN,verified,3,1,2,13,2
AU-Rgf,TERN,verified,11,6,5,1,6
AU-Rig,TERN,verified,7,5,2,9,3
AU-Rob,TERN,verified,13,11,2,1,6
AU-Sam,TERN,verified,8,6,2,9,3
AU-Sil,TERN,verified,6,5,1,2,5
