site_id,product_source_network,data_hub,role,cluster_membership,network_flagged_pool_size,network_draw_rule,era5_map_mm,bio12_mm,badm_map_mm,ratio_to_bio12,ratio_to_badm_map
US-PFi,AMF,AmeriFlux,flagged,4x_cluster,58,"3 flagged, random",3162.7420666666667,834,823,3.792256674660272,3.8429429728635074
US-DFK,AMF,AmeriFlux,flagged,4x_cluster,58,"3 flagged, random",3277.5183666666667,799,787,4.102025490196079,4.164572257518
CA-Cbo,AMF,AmeriFlux,flagged,4x_cluster,58,"3 flagged, random",3332.7779666666665,874,876.34,3.8132471014492753,3.8030649823888742
US-Bar,AMF,AmeriFlux,control,not_in_4x_or_8x_cluster,58,"3 flagged, random",1160.2874,1233,1245.77,0.9410278994322788,0.9313817157260168
CN-HeD,CNF,ICOS,flagged,4x_cluster,8,"3 flagged, random",151.21866666666665,34,37,4.447607843137255,4.086990990990991
CN-Dda,CNF,ICOS,flagged,4x_cluster,8,"3 flagged, random",1158.7745666666667,261,NA,4.439749297573436,NA
CN-Jng,CNF,ICOS,flagged,8x_cluster,8,"3 flagged, random",2983.7575666666667,481,400,6.2032381843381845,7.459393916666667
CN-Aro,CNF,ICOS,control,not_in_4x_or_8x_cluster,8,"3 flagged, random",2471.6720666666665,411,400,6.013800648824006,6.179180166666666
DE-Zrk,EUF,ICOS,flagged,4x_cluster,23,"3 flagged, random",2655.0587333333333,594,584,4.469795847362514,4.546333447488585
FI-Nsv,EUF,ICOS,flagged,4x_cluster,23,"3 flagged, random",2571.0564666666664,607,633,4.235677869302581,4.061700579252237
DE-Akm,EUF,ICOS,flagged,4x_cluster,23,"3 flagged, random",2403.4020666666665,563,562,4.26892018946122,4.276516132858838
DE-SfS,EUF,ICOS,control,not_in_4x_or_8x_cluster,23,"3 flagged, random",5251.853666666667,1115,1127,4.710182660687593,4.660029872818693
CN-Sb2,FLX,ICOS,flagged,4x_cluster,1,all flagged (network has <3),2080.9931333333334,460,452,4.523898115942029,4.603967109144543
KE-Chk,FLX,ICOS,control,not_in_4x_or_8x_cluster,1,all flagged (network has <3),436.16543333333334,700,500,0.6230934761904762,0.8723308666666667
IE-Cra,ICOS,ICOS,flagged,4x_cluster,2,all flagged (network has <3),3474.463133333333,1026,883,3.386416309291748,3.934839335598338
DE-Hzd,ICOS,ICOS,flagged,4x_cluster,2,all flagged (network has <3),3285.0614666666665,759,877,4.328144224857268,3.7457941467122766
GF-Guy,ICOS,ICOS,control,not_in_4x_or_8x_cluster,2,all flagged (network has <3),2487.7836333333335,2796,3101,0.8897652479732953,0.8022520584757605
JP-Mse,JPF,ICOS,flagged,4x_cluster,25,"3 flagged, random",5187.7739,1307,1200,3.969222570772762,4.323144916666667
JP-Nkm,JPF,ICOS,flagged,4x_cluster,25,"3 flagged, random",8195.526133333333,1951,NA,4.200679719801811,NA
RU-Ege,JPF,ICOS,flagged,4x_cluster,25,"3 flagged, random",1349.8303666666666,324,312,4.166143106995884,4.32637938034188
MY-LHP,JPF,ICOS,control,not_in_4x_or_8x_cluster,25,"3 flagged, random",2605.437266666667,3088,2751,0.8437296848013818,0.9470873379377196
KR-TwC,KOF,ICOS,flagged,4x_cluster,5,"3 flagged, random",4529.786033333333,1318,1313,3.4368634547293877,3.449951282051282
KR-Nj1,KOF,ICOS,flagged,4x_cluster,5,"3 flagged, random",4503.488766666666,1306,1310.4,3.4483068657478304,3.4367283017908012
KR-Nj2,KOF,ICOS,flagged,4x_cluster,5,"3 flagged, random",4503.488766666666,1306,1310.4,3.4483068657478304,3.4367283017908012
KR-HPK,KOF,ICOS,control,not_in_4x_or_8x_cluster,5,"3 flagged, random",917.2693,1301,1282,0.7050494235203689,0.7154986739469579
AU-Fog,TERN,TERN,flagged,4x_cluster,1,all flagged (network has <3),5851.212966666667,1466,NA,3.991277603456117,NA
AU-Ya1,TERN,TERN,control,not_in_4x_or_8x_cluster,1,all flagged (network has <3),742.3492666666666,843,NA,0.8806041122973507,NA
