site_id,product_source_network,role,variable,mean_hh_mm,n_years_hh,mean_dd_mm,n_years_dd,mean_mm_mm,n_years_mm,mean_yy_mm,n_years_yy,bio12_mm,badm_map_mm
US-PFi,AMF,flagged,P_ERA,3207.074888888889,45,3206.996755555556,45,3207.0025111111113,45,3206.9966444444444,45,834,823
US-PFi,AMF,flagged,P_F,3818.9779999999996,1,3818.9039999999986,1,3818.9120000000003,1,3818.91,1,834,823
US-DFK,AMF,flagged,P_ERA,3284.0455111111105,45,3283.962044444445,45,3283.9693555555555,45,3283.9634444444446,45,799,787
US-DFK,AMF,flagged,P_F,4042.883333333333,3,4042.8213333333338,3,4042.7933333333335,3,4042.8213333333333,3,799,787
CA-Cbo,AMF,flagged,P_ERA,3332.8041333333326,45,3332.7216000000003,45,3332.729977777778,45,3332.7214222222224,45,874,876.34
CA-Cbo,AMF,flagged,P_F,3346.7591034482753,29,3346.6730000000002,29,3346.685,29,3346.6722413793104,29,874,876.34
US-Bar,AMF,control,P_ERA,1158.7357777777775,45,1158.8181555555554,45,1158.8220222222221,45,1158.8184888888889,45,1233,1245.77
US-Bar,AMF,control,P_F,1198.7412499999996,20,1198.7414499999998,20,1198.7552,20,1198.7413999999999,20,1233,1245.77
CN-HeD,CNF,flagged,P_ERA,140.9212,45,140.90028888888887,45,140.8924888888889,45,140.90064444444445,45,34,37
CN-HeD,CNF,flagged,P_F,108.89966666666666,6,108.88383333333331,6,108.90083333333334,6,108.88566666666667,6,34,37
CN-Dda,CNF,flagged,P_ERA,1161.4990909090907,44,1161.451886363636,44,1161.4543636363637,44,1161.451659090909,44,261,NA
CN-Dda,CNF,flagged,P_F,1010.2429999999999,4,1010.193,4,1010.2120000000001,4,1010.1945,4,261,NA
CN-Jng,CNF,flagged,P_ERA,3012.2394999999997,44,3012.109136363636,44,3012.10175,44,3012.109409090909,44,481,400
CN-Jng,CNF,flagged,P_F,3109.186285714285,7,3109.0897142857148,7,3109.0764285714286,7,3109.089142857143,7,481,400
CN-Aro,CNF,control,P_ERA,2493.298622222222,45,2493.1826222222226,45,2493.1808,45,2493.1815333333334,45,411,400
CN-Aro,CNF,control,P_F,2525.2805,12,2525.164166666667,12,2525.1625833333333,12,2525.1635,12,411,400
DE-Zrk,EUF,flagged,P_ERA,2660.8690222222217,45,2660.743177777778,45,2660.751511111111,45,2660.743288888889,45,594,584
DE-Zrk,EUF,flagged,P_F,2565.5111999999995,10,2565.4017000000003,10,2565.3962,10,2565.4015,10,594,584
FI-Nsv,EUF,flagged,P_ERA,2625.2927999999997,45,2625.197333333333,45,2625.202133333333,45,2625.1966666666667,45,607,633
FI-Nsv,EUF,flagged,P_F,2965.086,4,2964.97275,4,2964.95725,4,2964.97025,4,607,633
DE-Akm,EUF,flagged,P_ERA,2406.2383999999993,45,2406.1171777777777,45,2406.117511111111,45,2406.1182444444444,45,563,562
DE-Akm,EUF,flagged,P_F,2451.2742499999995,16,2451.159125,16,2451.1528125,16,2451.16225,16,563,562
DE-SfS,EUF,control,P_ERA,5264.55288888889,45,5264.495822222222,45,5264.504155555555,45,5264.497577777778,45,1115,1127
DE-SfS,EUF,control,P_F,5117.242727272727,11,5117.171909090909,11,5117.1810000000005,11,5117.173727272728,11,1115,1127
CN-Sb2,FLX,flagged,P_ERA,2108.0196888888886,45,2107.923311111111,45,2107.920711111111,45,2107.9226,45,460,452
CN-Sb2,FLX,flagged,P_F,1973.0271999999995,5,1972.9387999999997,5,1972.9324,5,1972.936,5,460,452
KE-Chk,FLX,control,P_ERA,440.9524666666665,45,440.9950888888888,45,440.9922,45,440.99606666666665,45,700,500
KE-Chk,FLX,control,P_F,391.6203333333333,3,391.64099999999996,3,391.60266666666666,3,391.6396666666667,3,700,500
IE-Cra,ICOS,flagged,P_ERA,3463.515422222222,45,3463.3761999999997,45,3463.3711333333335,45,3463.375488888889,45,1026,883
IE-Cra,ICOS,flagged,P_F,3617.9896666666664,6,3665.1334,5,3665.1494000000002,5,3665.1344,5,1026,883
DE-Hzd,ICOS,flagged,P_ERA,3265.154444444444,45,3284.146954545455,44,3284.1471818181817,44,3284.1467045454547,44,759,877
DE-Hzd,ICOS,flagged,P_F,3174.3748749999995,16,3204.379666666668,3,3204.3946666666666,3,3204.380666666667,3,759,877
GF-Guy,ICOS,control,P_ERA,2932.164777777778,45,2607.48525,44,2607.474681818182,44,2607.483863636364,44,2796,3101
GF-Guy,ICOS,control,P_F,3170.713227272726,22,3243.812499999999,8,3243.809625,8,3243.8125,8,2796,3101
JP-Mse,JPF,flagged,P_ERA,5102.785288888888,45,5102.7171777777785,45,5102.714,45,5102.717,45,1307,1200
JP-Mse,JPF,flagged,P_F,5331.2300000000005,8,5331.149750000002,8,5331.1407500000005,8,5331.150625,8,1307,1200
JP-Nkm,JPF,flagged,P_ERA,8249.574311111111,45,8249.434244444445,45,8249.438288888889,45,8249.435533333333,45,1951,NA
JP-Nkm,JPF,flagged,P_F,9053.144857142857,7,9053.004714285715,7,9053.004285714285,7,9053.007428571429,7,1951,NA
RU-Ege,JPF,flagged,P_ERA,1356.0005909090908,44,1355.8753636363635,44,1355.8777045454544,44,1355.8775227272727,44,324,312
RU-Ege,JPF,flagged,P_F,1366.760888888889,9,1366.656444444444,9,1366.6536666666666,9,1366.6585555555555,9,324,312
MY-LHP,JPF,control,P_ERA,2614.7807045454542,44,2614.874386363636,44,2614.8712045454545,44,2614.874409090909,44,3088,2751
MY-LHP,JPF,control,P_F,2728.3743636363633,11,2728.3804545454545,11,2728.385181818182,11,2728.3804545454545,11,3088,2751
KR-TwC,KOF,flagged,P_ERA,4665.531681818182,44,4665.450727272728,44,4665.452454545454,44,4665.452,44,1318,1313
KR-TwC,KOF,flagged,P_F,5026.760000000003,1,5026.7270000000035,1,5026.67,1,5026.729,1,1318,1313
KR-Nj1,KOF,flagged,P_ERA,4658.389636363637,44,4658.299545454546,44,4658.295772727272,44,4658.299909090909,44,1306,1310.4
KR-Nj1,KOF,flagged,P_F,5621.751000000002,2,5621.651500000001,2,5621.612499999999,2,5621.643,2,1306,1310.4
KR-Nj2,KOF,flagged,P_ERA,4654.371866666667,45,4654.283666666667,45,4654.279888888889,45,4654.284044444445,45,1306,1310.4
KR-Nj2,KOF,flagged,P_F,5621.751000000002,2,5621.651500000001,2,5621.612499999999,2,5621.643,2,1306,1310.4
KR-HPK,KOF,control,P_ERA,940.8990444444443,45,940.9653999999998,45,940.9628666666666,45,940.9666,45,1301,1282
KR-HPK,KOF,control,P_F,920.4223333333333,3,920.4259999999999,3,920.4150000000001,3,920.428,3,1301,1282
AU-Fog,TERN,flagged,P_ERA,5814.535266666668,45,5814.444511111113,45,5814.456355555556,45,5814.445066666666,45,1466,NA
AU-Fog,TERN,flagged,P_F,6376.312333333338,3,6376.214333333333,3,6376.227666666667,3,6376.214666666667,3,1466,NA
AU-Ya1,TERN,control,P_ERA,799.3364888888888,45,799.3781111111109,45,799.3800666666666,45,799.3789333333333,45,843,NA
AU-Ya1,TERN,control,P_F,788.9493333333336,3,788.9573333333335,3,788.9463333333334,3,788.9576666666667,3,843,NA
