site_id,n_years,map_a,map_b,map_c,bio12_mm,n_years_pf,pf_obs_mm,ratio_a_bio12,ratio_b_bio12,ratio_c_bio12,ratio_a_pf,ratio_b_pf,ratio_c_pf,excluded,data_hub,product_source_network,oneflux_code_version,fluxnet_product_name
AR-Bal,30,422.36246666666665,13.8959,422.95645625,835,2,432.5245,0.5058233133732535,0.01664179640718563,0.5065346781437126,0.9765053000851204,0.03212742861965045,0.9778786086106105,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-Bal_FLUXNET_2012-2013_v1.3_r1.zip
AR-CCa,30,3554.8036,116.99896666666666,3561.1560479166665,1018,9,3415.2034444444444,3.4919485265225934,0.11493022265880812,3.498188652177472,1.0408760877137921,0.03425827145290287,1.042736137347731,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-CCa_FLUXNET_2012-2020_v1.3_r1.zip
AR-CCg,30,3460.358333333333,113.90646666666667,3467.028079166667,1004,3,2971.905333333333,3.446572045152722,0.11345265604249669,3.4532152182934928,1.1643568503079282,0.03832775741174349,1.1666011162199426,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-CCg_FLUXNET_2018-2024_v1.3_r1.zip
AR-TF1,30,3586.691333333333,117.96666666666667,3590.610416666667,658,3,3430.246,5.450898682877406,0.1792806484295846,5.456854736575481,1.0456076133703918,0.03439014772312734,1.0467501213226884,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-TF1_FLUXNET_2016-2018_v1.3_r1.zip
AR-TF2,30,3849.4612666666667,126.5408,3851.5856,596,3,3784.856333333333,6.458827628635347,0.21231677852348993,6.462391946308725,1.0170693224903562,0.0334334486848422,1.0176305943448845,FALSE,AmeriFlux,AMF,v1.3,AMF_AR-TF2_FLUXNET_2016-2018_v1.3_r1.zip
AT-Mmg,30,812.6036333333334,26.638466666666666,810.8083291666667,1150,NA,NA,0.7066118550724638,0.023163884057971013,0.7050507210144927,NA,NA,NA,FALSE,ICOS,EUF,v1.3,EUF_AT-Mmg_FLUXNET_2021-2024_v1.3_r1.zip
AT-Neu,30,769.6289333333333,25.223466666666667,767.7392666666667,997,19,767.5762631578947,0.771944767636242,0.025299364760949516,0.7700494149114009,1.0026742231019412,0.032861186408884635,1.0002123613204261,FALSE,ICOS,EUF,v1.3,EUF_AT-Neu_FLUXNET_2002-2020_v1.3_r1.zip
AT-Nsd,30,490.758,16.096866666666667,489.94837916666665,576,3,493.2056666666667,0.8520104166666667,0.027945949074074074,0.8506048249421296,0.9950372292289152,0.03263722976959578,0.9933956811120715,FALSE,ICOS,EUF,v1.3,EUF_AT-Nsd_FLUXNET_2018-2022_v1.3_r1.zip
AT-PsM,30,1263.2589,41.4218,1260.7760375,1165,5,1272.5804,1.0843424034334763,0.03555519313304721,1.0822111909871246,0.9926751189944463,0.032549456207246315,0.9907240733080598,FALSE,ICOS,EUF,v1.3,EUF_AT-PsM_FLUXNET_2015-2019_v1.3_r1.zip
AT-Zoe,30,1781.0322333333334,58.408033333333336,1777.7945145833332,936,7,1739.8991428571428,1.902812215099715,0.062401745014245016,1.8993531138710824,1.0236410774986904,0.03356978108364355,1.0217802117334005,FALSE,ICOS,EUF,v1.3,EUF_AT-Zoe_FLUXNET_2014-2024_v1.3_r1.zip
AU-APL,30,4208.4393,138.21266666666668,4206.848041666667,1655,4,3984.294,2.5428636253776435,0.08351218529707956,2.541902139979859,1.0562572189702868,0.03468937449562374,1.0558578362105475,FALSE,TERN,TERN,v1.3,TERN_AU-APL_FLUXNET_2017-2022_v1.3_r1.zip
AU-ASM,30,311.54563333333334,10.289966666666666,313.20086041666667,366,11,349.70181818181817,0.851217577413479,0.028114663023679418,0.8557400557832423,0.8908893724177135,0.029424973310595348,0.8956226251412459,FALSE,TERN,TERN,v1.3,TERN_AU-ASM_FLUXNET_2010-2025_v1.3_r1.zip
AU-Ade,30,1611.3440666666665,53.298566666666666,1622.2751229166665,1409,3,1781.132,1.1436082801040925,0.03782722971374497,1.1513663044121125,0.9046741435596387,0.029923984671920253,0.9108112834515726,FALSE,TERN,TERN,v1.3,TERN_AU-Ade_FLUXNET_2007-2009_v1.3_r1.zip
AU-Boy,30,508.7504333333333,16.665866666666666,507.26731666666666,469,4,473.2255,1.0847557213930348,0.035534896943852166,1.0815934257285003,1.0750697782206016,0.03521760062943917,1.0719357191585548,FALSE,TERN,TERN,v1.3,TERN_AU-Boy_FLUXNET_2017-2025_v1.3_r1.zip
AU-Col,30,2023.5442333333333,66.2477,2016.41436875,767,3,1967.185,2.638258452846588,0.08637249022164276,2.6289626711212515,1.0286496863962125,0.033676395458485095,1.0250252867676402,FALSE,TERN,TERN,v1.3,TERN_AU-Col_FLUXNET_2017-2019_v1.3_r1.zip
AU-Cow,30,3341.9243666666666,110.48246666666667,3362.8100791666666,3105,12,3795.23275,1.0763041438539989,0.03558211486849168,1.0830306213097154,0.8805584760688699,0.029110854048850276,0.8860616201118802,FALSE,TERN,TERN,v1.3,TERN_AU-Cow_FLUXNET_2009-2025_v1.3_r1.zip
AU-Cpr,30,256.2216666666667,8.429366666666667,256.56884791666664,268,11,257.8698181818182,0.9560509950248757,0.03145286069651741,0.9573464474502487,0.9936085908511038,0.032688457788896064,0.994954933949524,FALSE,TERN,TERN,v1.3,TERN_AU-Cpr_FLUXNET_2010-2025_v1.3_r1.zip
AU-Ctr,30,3882.7596333333336,128.33913333333334,3906.3223708333335,3102,9,4401.419777777778,1.2516955620030088,0.04137302815387922,1.2592915444336987,0.8821607184429227,0.029158576053413873,0.8875141586257848,FALSE,TERN,TERN,v1.3,TERN_AU-Ctr_FLUXNET_2010-2018_v1.3_r1.zip
AU-Cum,30,839.5806,27.722466666666666,843.8025791666666,843,7,856.5544285714286,0.9959437722419929,0.032885488335310395,1.0009520512060102,0.9801835960386805,0.03236509641646768,0.9851126221762351,FALSE,TERN,TERN,v1.3,TERN_AU-Cum_FLUXNET_2014-2025_v1.3_r1.zip
AU-DaP,30,1249.5877,41.3455,1258.45365625,1174,6,1363.0953333333334,1.0643847529812607,0.035217632027257244,1.0719366748296422,0.9167280302722773,0.030332067749724523,0.9232323121322401,FALSE,TERN,TERN,v1.3,TERN_AU-DaP_FLUXNET_2008-2013_v1.3_r1.zip
AU-DaS,30,1165.4386333333332,38.561933333333336,1173.7288458333333,1140,14,1188.6494285714286,1.0223145906432747,0.03382625730994152,1.029586706871345,0.9804729681601823,0.03244180530139889,0.9874474488613286,FALSE,TERN,TERN,v1.3,TERN_AU-DaS_FLUXNET_2007-2025_v1.3_r1.zip
